Column1,Time,WR/01102023/16072048/L_NR_2022_08,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/13082046/L_NR_2021_12,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,WR/01102023/30052048/L_NR_2022_10,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,SR/01102023/07102043/L_NR_2018_61,NR/01102023/30042040/GNA_LT_36,NR/01102023/22052037/LT-59,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07,NR/01102023/31102037/L_NR_2019_11,NR/01102023/31052040/LT-31,NR/01082024/31082024/SKS-Raigarh,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/15082024/APL-Raigarh,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug'24,NR/01102023/06022042/L_NR_2012_02,NR/01102023/05012040/L_NR_2020_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_07,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/30092023/26122029/SH-06,NR/01082024/30092024/LT_MEJA_DELHI,NR/01082024/31082024/jitpl
1,00:00-00:15,31.66,0,32.5,0,32.5,0,0,0,97.5,73.33,0,0,0,0,0,73.33,0,0,0,0,9.01,0,0,70.17,0,24.0835,0,0,8.75,29.27,17.28,272.26,72.22,192.58,48.14,261.43,6.62,100.31,86.85,48.14,38.52,24.0835,7.92,8.43

2,00:15-00:30,31.66,0,32.5,0,32.5,0,0,0,97.5,73.33,0,0,0,0,0,73.33,0,0,0,0,9.01,0,0,70.17,0,24.0835,0,0,8.75,29.27,17.28,272.26,72.22,192.58,48.14,261.43,6.62,100.31,86.85,48.14,38.52,24.0835,7.92,8.43

3,00:30-00:45,31.66,0,32.5,0,32.5,0,0,0,97.5,73.33,0,0,0,0,0,73.33,0,0,0,0,9.01,0,0,70.17,0,24.0835,0,0,8.75,29.27,17.28,272.26,72.22,192.58,48.14,261.43,6.62,100.31,86.85,48.14,38.52,24.0835,0,8.43

4,00:45-01:00,31.66,0,32.5,0,32.5,0,0,0,97.5,73.33,0,0,0,0,0,73.33,0,0,0,0,8.61,0,0,70.17,0,24.0835,0,0,8.75,29.27,17.28,272.26,72.22,192.58,48.14,261.43,6.62,100.31,86.85,48.14,38.52,24.0835,0,8.43

5,01:00-01:15,31.66,0,32.5,0,32.5,0,0,0,97.5,73.33,0,0,0,0,0,73.33,0,0,0,0,8.21,0,0,70.17,0,24.0835,0,0,8.75,29.27,17.28,272.26,72.22,192.58,48.14,225.88,6.48,100.31,76.35,48.14,38.52,24.0835,0,8.43

6,01:15-01:30,31.66,0,32.5,0,32.5,0,0,0,97.5,73.33,0,0,0,0,0,73.33,0,0,0,0,7.81,0,0,70.17,0,24.0835,0,0,8.75,29.27,17.28,272.26,72.22,192.58,48.14,225.88,6.48,100.31,76.35,48.14,38.52,24.0835,0,8.43

7,01:30-01:45,31.66,0,32.5,0,32.5,0,0,0,97.5,73.33,0,0,0,0,0,73.33,0,0,0,0,7.41,0,0,70.17,0,24.0835,0,0,8.75,29.27,17.28,272.26,72.22,192.58,48.14,225.88,6.48,52.96,57.49,48.14,38.52,24.0835,0,8.43

8,01:45-02:00,31.66,0,32.5,0,32.5,0,0,0,97.5,73.33,0,0,0,0,0,73.33,0,0,0,0,7.01,0,0,70.17,0,24.0835,0,0,8.75,29.27,17.28,272.26,72.22,192.58,48.14,225.88,6.48,52.96,57.49,48.14,38.52,24.0835,0,8.43

9,02:00-02:15,31.66,0,32.5,0,32.5,0,0,0,97.5,73.33,0,0,0,0,0,73.33,0,0,0,0,7.01,0,0,70.17,0,26.8708,0,0,8.75,0,17,272.26,72.22,192.58,48.14,198.97,6.3,52.96,57.49,48.14,38.52,26.8708,0,8.43

10,02:15-02:30,31.66,0,32.5,0,32.5,0,0,0,97.5,73.33,0,0,0,0,0,73.33,0,0,0,0,7.01,0,0,70.17,0,26.8708,0,0,8.75,0,17,272.26,72.22,192.58,48.14,170.09,6.3,52.96,57.49,48.14,38.52,26.8708,0,8.43

11,02:30-02:45,33.34,0,37,0,37,0,0,0,111,80,0,0,0,0,0,80,0,0,0,0,7.01,0,0,70.17,0,26.8708,0,0,8.75,0,17,272.26,72.22,192.58,48.14,170.09,6.3,52.96,57.49,48.14,38.52,26.8708,0,8.43

12,02:45-03:00,33.34,0,37.16,0,37.17,0,0,0,111.5,80,0,0,0,0,0,80,0,0,0,0,7.01,0,0,70.17,0,26.8708,0,0,8.75,0,17,272.26,72.22,192.58,48.14,170.09,6.3,52.96,57.49,48.14,38.52,26.8708,0,8.43

13,03:00-03:15,33.34,0,37.34,0,37.33,0,0,0,112,80,0,0,0,0,0,80,0,0,0,0,7.01,0,0,70.17,0,26.8708,0,0,8.75,0,17,272.26,72.22,192.58,48.14,170.09,5.92,52.96,57.49,48.14,0,26.8708,0,8.43

14,03:15-03:30,33.34,0,37,0,37,0,0,0,111,80,0,0,0,0,0,80,0,0,0,0,7.01,0,0,70.17,0,26.8708,0,0,8.75,0,17,272.26,72.22,192.58,48.14,170.09,5.92,52.96,57.49,48.14,0,26.8708,0,8.43

15,03:30-03:45,33.34,0,36.66,0,36.67,0,0,0,110,80,0,0,0,0,0,80,0,0,0,0,7.01,0,0,70.17,0,26.8708,0,0,8.75,0,17,272.26,72.22,192.58,48.14,170.09,5.92,52.96,57.49,48.14,0,26.8708,0,8.43

16,03:45-04:00,33.34,0,36.5,0,36.5,0,0,0,109.5,79.67,0,0,0,0,0,79.67,0,0,0,0,7.01,0,0,70.17,0,26.8708,0,0,8.75,0,17,272.26,72.22,192.58,48.14,225.88,5.92,52.96,57.49,48.14,0,26.8708,0,8.43

17,04:00-04:15,32.66,0,36,0,36,0,0,0,108,78,0,0,0,0,0,78,0,0,0,0,7.01,0,0,70.17,0,26.8708,0,0,8.75,0,16.82,272.26,72.22,192.58,48.14,225.88,5.74,52.96,57.49,48.14,0,26.8708,0,8.43

18,04:15-04:30,32,0,35.5,0,35.5,0,0,0,106.5,76.67,0,0,0,0,0,76.67,0,0,0,0,7.01,0,0,70.17,0,26.8708,0,0,8.75,0,16.82,272.26,72.22,192.58,48.14,225.88,5.74,52.96,57.49,48.14,0,26.8708,0,8.43

19,04:30-04:45,32.34,0,35,0,35,0,0,0,105,76.33,0,0,0,0,0,76.33,0,0,0,0,7.01,0,0,70.17,0,26.8708,0,0,8.75,0,16.82,272.26,72.22,192.58,48.14,225.88,5.56,52.96,57.49,48.14,0,26.8708,0,8.43

20,04:45-05:00,32.34,0,34.66,0,34.67,0,0,0,104,77,0,0,0,0,0,77,0,0,0,0,7.01,0,0,70.17,0,26.8708,0,0,8.75,0,16.82,272.26,72.22,192.58,48.14,225.88,5.56,52.96,57.49,48.14,0,26.8708,0,8.43

21,05:00-05:15,33,0,34.34,0,34.33,0,0,0,103,78.33,0,0,0,0,0,78.33,0,0,0,0,7.01,0,0,70.17,0,26.8708,0,0,8.75,0,16.82,272.26,72.22,192.58,48.14,225.88,5.37,52.96,57.49,48.14,0,26.8708,0,8.43

22,05:15-05:30,33,0,33.84,0,33.83,0,0,0,101.5,77.33,0,0,0,0,0,77.33,0,0,0,0,7.01,0,0,70.17,0,26.8708,0,0,8.75,0,16.82,272.26,72.22,192.58,48.14,225.88,5.37,52.96,57.49,48.14,0,26.8708,0,8.43

23,05:30-05:45,33,0,33.5,0,33.5,0,0,0,100.5,77,0,0,0,0,0,77,0,0,0,0,7.01,0,0,70.17,0,26.8708,0,0,8.75,0,16.82,272.26,72.22,192.58,48.14,225.88,5.37,52.96,57.49,48.14,0,26.8708,0,8.43

24,05:45-06:00,33,0,33.16,0.37,33.17,0,0,0,99.5,76.67,0,0,0,0,0,76.67,0,0,0,0,7.01,0,0,70.17,0,26.8708,0,0,8.75,0,16.82,272.26,72.22,192.58,48.14,225.88,5.37,52.96,57.49,48.14,0,26.8708,0,8.43

25,06:00-06:15,32.34,1,32.5,1.89,32.5,0.09,9.2,0.47,97.5,76.67,1,5.6,8.74,0.82,1,76.67,0,1,0,0,7.01,0,0,70.17,0,26.8708,0,0,8.75,30.77,16.36,272.26,72.22,192.58,48.14,225.88,5.19,100.31,57.49,48.14,0,26.8708,0,8.43

