Time,Block,NR/2023/13165/A,NR/2023/16291/F,NR/2023/17003/C,NR/2023/13254/A,NR/2023/16291/F/II,NR/2023/13253/A,NR/2023/13387/A,NR/2023/17029/C,NR/2023/15770/A,NR/2023/13242/A,NR/2023/16073/A,NR/2023/13385/A,NR/2023/13150/A,NR/2023/16191/A,NR/2023/16914/D,NR/2023/17008/C,NR/2023/16995/C,NR/2023/16077/A,NR/2023/13636/A,NR/2023/13383/A,NR/2023/13376/A,NR/2023/16865/F,NR/2023/13148/A,NR/2023/13908/A,NR/2023/16185/A,NR/2023/16520/F,NR/2023/16912/D,NR/2023/16437/F,NR/2023/13519/A,ER/2023/10818/C,NR/2023/16998/C,NR/2023/16991/D,WR/2023/19067/C,Total
,,GMRETL,ITCLH,TPDDL,APPCPL,ITCLH,APPCPL,NVVNL,HPXL,NVVNL,APPCPL,APPCPL,NVVNL,KEIPL,MANIKARAN,IEXL,PXIL,GBHHPL,APPCPL,NVVNL,APPCPL,APPCPL,SJVNL,KEIPL,TPTCL,MANIKARAN,IEXL,IEXL,NVVNL,STATKRAFT,IEXL,SJVNL,NVVNL,IEXL,Total

,,MEGHALAYA,ANDHRA PRADESH,HIMACHAL PRADESH,MEGHALAYA,ANDHRA PRADESH,UTTARAKHAND,NA,NA,NA,SIKKIM,GOA,MP,MEGHALAYA,HIMACHAL PRADESH,TAMIL NADU,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MEGHALAYA,UTTAR PRADESH,MEGHALAYA,NA,HIMACHAL PRADESH,UTTAR PRADESH,TAMIL NADU,NA,HIMACHAL PRADESH,DELHI,NA,NA,DELHI,
,,Meghalaya_Ben,ITCWIND,CHANJUII,Meghalaya_Ben,ITCWIND,UTTARAKHAND,JPNIGRIE_JNSTPP,JHABUA_IPP,SKS Raigarh,SIKKIM,GOA_Beneficiary,JP BINA,Meghalaya_Ben,HP,OPGPGPLU4TN,BYPL,GBHHPL,HP,KAMENG,HP,Meghalaya_Ben,BCMLB001,Meghalaya_Ben,JPL,HP,PPGCL,OPGPGUNIT1TN,KAMENG,HP,BYPL,RSRPL_BKN,SOLAPUR_SOLAR,BYPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,WEST BENGAL,DELHI,DELHI,BALCO_WR,
,,BYPL,ITCLH,TPDDL,BYPL,ITCLH,BYPL,BRPL,BYPL,NDMC,BYPL,BRPL,BRPL,BYPL,BRPL,BRPL,AMBASTL,DIAPL,BRPL,BRPL,BYPL,BYPL,NDMC,BYPL,BRPL,BRPL,BRPL,BRPL,TPDDL,BYPL,IPCL_WB,NDMC,MES (Delhi),BALCO_LOAD,
,,North East-East-North,South-West-North,North-North,North East-East-North,South-East-North,North-North,West-North,West-North,West-North,East-North,West-North,West-North,North East-East-North,North-North,South-East-North,North-North,North-North,North-North,North East-East-North,North-North,North East-East-North,North-North,North East-East-North,West-North,North-North,North-North,South-East-North,North East-East-North,North-North,North-East,North-North,West-North,North-East-West,
1,00:00-00:15,22.310000,0.810000,10.000000,19.690000,0.060000,48.510000,100.420000,0.000000,63.060000,29.690000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,4.040000,107.980000,19.230000,46.280000,20.370000,0.000000,36.610000,175.680000,77.620000,0.000000,4.850000,148.580000,58.640000,25.000000,0,0,82.000000,1430.2

2,00:15-00:30,22.310000,0.810000,10.000000,19.690000,0.060000,48.510000,100.420000,0.000000,63.060000,29.690000,24.260000,30.720000,63.260000,142.620000,67.910000,0.000000,4.040000,107.980000,19.230000,46.280000,20.370000,0.000000,36.610000,175.680000,77.620000,0.000000,4.850000,148.580000,58.640000,25.000000,0,0,82.000000,1430.2
