Block,Time,URI,URI2,TANDA2,UNCHAHAR4,AURY_RF,TANAKPUR,DULHASTI,RAPPB,ANTA_GF,UNCHAHAR2,DADRT2,ANTA_RF,PARBATI3,KOLDAM,ANTA_LF,AURY_LF,TEHRI,CHAMERA1,NJPC,SALAL,AURY_GF,UNCHAHAR3,KISHANGANGA,SEWA2,RAPPC,NAPP,DHAULIGNGA,TALA,SASAN,KHSTPP-II,FSTPP I & II,KHSTPP-I,BRBCL,AURY_CRF,DADRI_LF,DADRI_GF,DADRI_RF,UNCHAHAR1,RIHAND2,JHAJJAR,SINGRAULI,ANTA_CRF,RIHAND1,DADRI_CRF,RAMPUR,KOTESHWR,CHAMERA3,RIHAND3,BSIUL,SINGRAULI_HYDRO,CHAMERA2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,39.500016,31.479563,0.000000,0.000000,0.000000,0.867109,15.935050,0.000000,0.000000,35.338822,401.421040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.766063,0.000000,19.388834,0.000000,15.282514,52.152728,41.103689,0.000000,0.000000,404.950590,142.647609,17.280290,44.867910,19.340000,0.000000,0.000000,0.000000,0.000000,8.076094,96.255180,281.397000,134.712770,0.000000,88.964000,0.000000,0.000000,8.581158,0.000000,119.584659,12.611227,0.647455,0.000000,0,0,0,0,0

2,00:15-00:30,39.500016,31.479563,0.000000,0.000000,0.000000,5.698144,15.935050,0.000000,0.000000,35.338822,401.421040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76.756805,0.000000,19.388834,0.000000,15.282514,52.152728,41.103689,0.000000,0.000000,404.950590,142.647609,17.280290,44.867910,17.889500,0.000000,0.000000,0.000000,0.000000,8.076094,96.255180,235.948000,134.712770,0.000000,88.964000,0.000000,0.000000,8.581158,0.000000,119.584659,12.611227,0.647455,0.000000,0,0,0,0,0

3,00:30-00:45,33.094608,31.479563,0.000000,0.000000,0.000000,5.698144,15.935050,0.000000,0.000000,30.729036,362.741040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76.756805,0.000000,19.388834,0.000000,15.282514,52.152728,41.103689,0.000000,0.000000,404.950590,142.647609,17.280290,44.867910,16.777450,0.000000,0.000000,0.000000,0.000000,8.076094,96.255180,235.948000,134.712770,0.000000,88.964000,0.000000,0.000000,8.581158,0.000000,119.584659,12.611227,0.647455,0.000000,0,0,0,0,0

4,00:45-01:00,33.094608,31.479563,0.000000,0.000000,0.000000,5.698144,15.935050,0.000000,0.000000,30.729036,362.741040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76.756805,0.000000,19.388834,0.000000,15.282514,52.152728,41.103689,0.000000,0.000000,404.950590,142.647609,17.280290,44.867910,14.098860,0.000000,0.000000,0.000000,0.000000,8.076094,96.255180,235.948000,134.712770,0.000000,88.964000,0.000000,0.000000,8.581158,0.000000,119.584659,12.611227,0.647455,0.000000,0,0,0,0,0

5,01:00-01:15,33.094608,31.479563,0.000000,0.000000,0.000000,5.698144,15.935050,0.000000,0.000000,30.729036,362.741040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76.756805,0.000000,14.949820,0.000000,15.282514,52.152728,41.103689,0.000000,0.000000,404.950590,142.647609,17.280290,41.674799,14.195560,0.000000,0.000000,0.000000,0.000000,6.343520,96.255180,233.047000,134.712770,0.000000,88.964000,0.000000,0.000000,8.581158,0.000000,119.584659,12.611227,0.647455,0.000000,0,0,0,0,0

