Block,Time,BSIUL,KKNP,KKNPPU2,NLCTS2EXP,NNTPP,RIHAND1,RIHAND2,SIMHST1,URI2,CHAMERA2,CHAMERA3,KUDGI,MAPS,NJPC,NLCEXP,SEWA2,TelanganaSTPP,UNCHAHAR3,DADRI_LF,KHSTPP-I,KHSTPP-II,NLCIIST1,PARBATI3,RAPPB,DADRI_GF,DULHASTI,KGSU1AND2,KISHANGANGA,NLCIIST2,NTPL,SASAN,SIMHST2,TANAKPUR,AURY_LF,DADRI_RF,FSTPP I & II,PARBATI2,SALAL,TEHRI,UNCHAHAR2,VALLURNTECL,ANTA_CRF,ANTA_GF,ANTA_LF,AURY_CRF,AURY_GF,DADRT2,JHAJJAR,KOTESHWR,RAPPC,RSTPSU7,TANDA2,DHAULIGNGA,KGSU3AND4,RAMPUR,RIHAND3,RSTPSU1TO6,SINGRAULI_HYDRO,AURY_RF,BRBCL,CHAMERA1,KOLDAM,NAPP,SINGRAULI,TALA,TALST2,UNCHAHAR1,UNCHAHAR4,URI,ANTA_RF,DADRI_CRF
1,00:00-00:15,13.04,0,0,0,0,95.98,123.13,0,38.05,32.49,11.65,0,0,0,0,18.88,0,27.67,0,45.83,148.3,0,19.92,0,0,19.81,0,8.45,0,0,418.77,0,0,0,74.38,14.6,7.49,2.33,26.44,44.87,0,0,0,0,0,0,344.43,670.51,10.41,69.94,0,5.65,0,0,0,129.05,0,0.71,85.35,20,0,0,52.39,109.74,0,0,21.63,1.88,34.78,53.44,0

2,00:15-00:30,13.04,0,0,0,0,95.98,123.13,0,38.05,32.49,11.65,0,0,0,0,18.88,0,27.67,0,45.83,148.3,0,19.92,0,0,19.81,0,8.45,0,0,418.77,0,0,0,74.38,14.6,7.49,2.33,13.22,44.87,0,0,0,0,0,0,344.43,670.51,10.41,69.94,0,5.65,0,0,0,129.05,0,0.71,85.35,20,0,0,52.39,109.74,0,0,21.63,1.88,34.78,53.44,0

3,00:30-00:45,13.04,0,0,0,0,95.98,123.13,0,36.59,32.49,11.65,0,0,0,0,18.88,0,27.67,0,45.83,148.3,0,19.92,0,0,19.81,0,8.45,0,0,418.77,0,0,0,74.38,14.6,7.49,2.33,0,44.87,0,0,0,0,0,0,344.43,670.51,10.41,69.94,0,5.65,0,0,0,129.05,0,0.71,85.35,20,0,0,52.39,109.74,0,0,21.63,1.88,34.78,53.44,0

4,00:45-01:00,13.04,0,0,0,0,95.98,123.13,0,36.59,16.25,11.65,0,0,0,0,18.88,0,27.67,0,45.83,148.3,0,4.29,0,0,19.81,0,8.45,0,0,418.77,0,0,0,74.38,14.6,7.49,2.33,0,44.87,0,0,0,0,0,0,344.43,670.51,10.41,69.94,0,5.65,0,0,0,129.05,0,0.71,85.35,20,0,0,52.39,109.74,0,0,21.63,1.88,34.78,53.44,0

5,01:00-01:15,13.04,0,0,0,0,95.98,123.13,0,36.59,16.25,11.65,0,0,0,0,18.88,0,27.67,0,45.83,148.3,0,0,0,0,19.81,0,8.45,0,0,418.77,0,0,0,74.38,14.6,7.49,2.33,0,44.87,0,0,0,0,0,0,344.43,670.51,10.41,69.94,0,5.65,0,0,0,129.05,0,0.71,85.35,20,0,0,52.39,109.74,0,0,21.63,1.88,34.78,53.44,0

6,01:15-01:30,13.04,0,0,0,0,95.98,123.13,0,36.59,16.25,11.65,0,0,0,0,18.88,0,27.67,0,45.83,148.3,0,0,0,0,19.81,0,8.45,0,0,418.77,0,0,0,74.38,14.6,7.49,2.33,0,44.87,0,0,0,0,0,0,344.43,670.51,10.41,69.94,0,5.65,0,0,0,129.05,0,0.71,85.35,20,0,0,52.39,109.74,0,0,21.63,1.88,34.78,53.7,0

7,01:30-01:45,13.04,0,0,0,0,95.98,123.13,0,36.59,0,0,0,0,0,0,18.88,0,27.67,0,45.83,148.3,0,0,0,0,19.81,0,8.45,0,0,418.77,0,0,0,74.38,14.6,7.49,2.33,0,44.87,0,0,0,0,0,0,344.43,670.51,10.41,69.94,0,5.65,0,0,0,129.05,0,0.71,85.35,20,0,0,52.39,109.74,0,0,21.63,1.88,34.78,53.7,0

8,01:45-02:00,13.04,0,0,0,0,95.98,123.13,0,36.59,0,0,0,0,0,0,18.88,0,27.67,0,45.83,148.3,0,0,0,0,19.81,0,8.45,0,0,418.77,0,0,0,74.38,14.6,7.49,2.33,0,44.87,0,0,0,0,0,0,344.43,670.51,10.41,69.94,0,5.65,0,0,0,129.05,0,0.71,85.35,20,0,0,52.39,109.74,0,0,21.63,1.88,34.78,53.7,0

9,02:00-02:15,13.04,0,0,0,0,95.98,123.13,0,39.63,0,0,0,0,0,0,18.88,0,27.67,0,45.83,148.3,0,0,0,0,19.81,0,8.45,0,0,418.77,0,0,0,74.38,14.6,7.49,13.36,0,44.87,0,0,0,0,0,0,344.43,670.51,10.41,69.94,0,5.65,0,0,0,129.05,0,0.71,85.35,20,0,0,52.39,109.74,0,0,21.63,1.88,34.78,53.7,0

10,02:15-02:30,13.04,0,0,0,0,95.98,123.13,0,39.63,0,0,0,0,0,0,18.88,0,27.67,0,45.83,148.3,0,0,0,0,19.81,0,8.45,0,0,418.77,0,0,0,74.38,14.6,7.49,70.88,0,44.87,0,0,0,0,0,0,344.43,670.51,10.41,69.94,0,5.65,0,0,0,129.05,0,0.71,85.35,20,0,0,52.39,109.74,0,0,21.63,1.88,34.78,53.7,0

11,02:30-02:45,13.04,0,0,0,0,95.98,123.13,0,39.63,0,0,0,0,0,0,18.88,0,27.67,0,45.83,148.3,0,0,0,0,19.81,0,8.45,0,0,418.77,0,0,0,74.38,14.6,3.75,70.88,0,44.87,0,0,0,0,0,0,344.43,670.51,10.41,69.94,0,5.65,0,0,0,129.05,0,0.71,85.35,20,0,0,52.39,109.74,0,0,21.63,1.88,34.78,53.7,0

12,02:45-03:00,13.04,0,0,0,0,95.98,123.13,0,39.63,0,0,0,0,0,0,12.59,0,27.67,0,45.83,148.3,0,0,0,0,19.81,0,8.45,0,0,418.77,0,0,0,74.38,14.6,3.75,70.88,0,44.97,0,0,0,0,0,0,344.43,670.51,10.41,69.94,0,5.65,0,0,0,129.05,0,0.71,85.35,20,0,0,52.39,109.74,0,0,21.63,1.88,34.78,53.7,0

13,03:00-03:15,13.04,0,0,0,0,95.98,123.13,0,39.63,0,0,0,0,0,0,12.59,0,27.67,0,45.83,148.3,0,0,0,0,19.81,0,8.45,0,0,418.77,0,0,0,74.38,14.6,3.75,70.88,0,44.97,0,0,0,0,0,0,344.43,670.51,10.41,69.94,0,5.65,0,0,0,129.05,0,0.71,85.35,20,0,0,52.39,109.74,0,0,21.63,1.88,34.78,53.97,0

14,03:15-03:30,13.04,0,0,0,0,95.98,123.13,0,39.63,0,0,0,0,0,0,6.29,0,27.67,0,45.83,148.3,0,0,0,0,19.81,0,8.45,0,0,418.77,0,0,0,74.38,14.6,3.75,70.88,0,44.97,0,0,0,0,0,0,344.43,670.51,10.41,69.94,0,5.65,0,0,0,129.05,0,0.71,85.35,20,0,0,52.39,109.74,0,0,21.63,1.88,34.78,54.37,0

