Column1,Time,GNA/WR/2025/03/01/6406,GNA/WR/2025/01/01/9606,NR/01102023/05012040/L_NR_2020_02,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2025/03/01/7500,GNA/WR/2025/01/01/8625,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/22052037/LT-59,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/5143,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/03/01/6891,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/9482,NR/01102023/31102037/L_NR_2019_11,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,GNA/NR/2025/03/01/3469,GNA/NR/2025/03/01/4651,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/19072037/LT-05,GNARE/NR/2024/12/20/3668,NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,GNARE/SR/2025/01/13/4532,L_NR_2019_19
1,00:00-00:15,42,0,0,9.1,200,0,26.99,26.99,100.15,0.78,23.07,23.07,190.26,0,63.42,0,23.07,17.3,0,271.81,195.36,64.04,0,8.65,7.29,27.25,35.06,0,0,0,0,0,0,0,0,0,54.33,0,18.67,54.33,55.99,11.67,0,0,18.67,11.21,0

2,00:15-00:30,42,0,0,9.1,200,0,26.99,26.99,100.15,0.78,23.07,23.07,190.26,0,63.42,0,23.07,17.3,0,271.81,225.83,76.22,0,8.65,7.29,27.25,35.06,0,0,0,0,0,0,0,0,0,54.67,0,18.67,54.67,55.99,11.67,0,0,18.67,11.21,0

3,00:30-00:45,42,0,0,9.1,200,0,26.99,26.99,81.71,0.62,23.07,23.07,190.26,0,63.42,0,23.07,17.3,0,271.81,225.83,76.22,0,8.65,7.29,27.25,35.06,0,0,0,0,0,0,0,0,0,56,0,18.83,56,56.51,11.67,0,0,18.83,11.41,0

4,00:45-01:00,42,0,0,9.1,200,0,26.99,26.99,52.87,0.62,23.07,23.07,190.26,0,63.42,0,23.07,17.3,0,271.81,225.83,76.22,0,8.65,7.29,27.25,35.06,0,0,0,0,0,0,0,0,0,56.67,0,18.83,56.67,56.51,11.33,0,0,18.83,11.81,0

5,01:00-01:15,42,0,0,8.92,200,0,26.99,26.99,52.87,0.62,23.07,23.07,190.26,0,63.42,0,23.07,17.3,0.92,271.81,195.36,64.04,0,8.65,7.29,27.25,35.06,0,0,0,0,0,0,0,0,0,58,0,19,58,57,11.33,0,0,19,12.21,0

6,01:15-01:30,42,0,0,8.92,200,0,26.99,26.99,52.87,0.62,23.07,23.07,190.26,0,63.42,0,23.07,17.3,0.92,271.81,195.36,64.04,0,8.65,7.29,27.25,35.06,0,0,0,0,0,0,0,0,0,58.33,0,19,58.33,57,11,0,0,19,12.61,0

