Column1,Time,SR/01102023/07102043/L_NR_2018_61,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/31032046/L_NR_2020_05,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/09/16/2535,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/09/01/6566,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,NR/30092023/31122025/SH-07,NR/01102023/19072037/LT-05,GNA/NR/2024/09/01/2171,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/09/01/7908,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/09/01/9821,NR/01102023/06022042/L_NR_2012_02,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/05012040/L_NR_2020_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/09/01/7119,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/8090,NR/22102023/11042047/L_NR_2021_17,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16
1,00:00-00:15,33.01,33.67,8.34,9.16,33.67,27.5,0,0,9.17,0,0,28.77,145.38,0,24.23,0,0,0,70.64,2.42,100.97,21.81,0,57.86,32.95,171.2,12.58,4.94,274.04,0,0,16.04,0,96.92,8.81,0,0,0,0,0,0,0,0

2,00:15-00:30,32.41,34,8.34,9.16,34,27.5,0,0,9.17,0,0,28.77,145.38,0,24.23,0,0,0,70.64,2.42,53.31,21.81,0,57.86,32.95,171.2,12.58,4.94,274.04,0,0,16.04,0,96.92,8.81,0,0,0,0,0,0,0,0

3,00:30-00:45,32.01,35.33,8.34,9.16,35.33,27.5,0,0,9.17,0,0,28.77,145.38,0,24.23,0,0,0,70.64,2.42,53.31,21.81,0,57.86,32.95,171.2,12.58,4.94,274.04,0,0,16.04,0,96.92,8.81,0,0,0,0,0,0,0,0

4,00:45-01:00,32.01,35.67,8.34,9.16,35.67,27.5,0,0,9.17,0,0,28.77,145.38,0,24.23,0,0,0,70.64,2.42,53.31,21.81,0,57.86,32.95,171.2,12.58,4.94,274.04,0,0,16.04,0,96.92,8.81,0,0,0,0,0,0,0,0

5,01:00-01:15,31.61,35.67,8.34,9.16,35.67,27.5,0,0,9.17,0,0,28.77,145.38,0,24.23,0,0,0,70.64,0,53.31,21.81,0,57.86,32.95,171.2,12.58,4.94,274.04,0,0,16.04,0,96.92,8.81,0,0,0,0,0,0,0,0

6,01:15-01:30,31.01,35,8.34,9.16,35,27.5,0,0,9.17,0,0,28.77,145.38,0,24.23,0,0,0,70.64,0,53.31,21.81,0,57.86,32.95,171.2,12.58,4.94,274.04,4.39,0,16.04,0,96.92,8.81,0,0,0,0,0,0,0,0

7,01:30-01:45,32.61,39.33,8.34,9.16,39.33,27.5,0,0,9.17,0,0,28.77,145.38,0,24.23,0,0,0,70.64,0,53.31,21.81,0,57.86,32.95,171.2,12.58,4.94,232.61,4.39,0,16.04,0,96.92,8.81,0,0,0,0,0,0,0,0

8,01:45-02:00,32.01,38.67,8.34,9.16,38.67,27.5,0,0,9.17,0,0,28.26,145.38,0,24.23,0,0,0,70.64,0,53.31,21.81,0,57.86,32.95,171.2,12.58,4.94,193.84,3.53,0,16.04,0,96.92,8.81,0,0,0,0,0,0,0,0

