Block,Time Block,DADRT2,CHAMERA2,BRBCL,CHAMERA1,BSIUL,RIHAND2,TALST2,SASAN,RIHAND1,SIMHST1,SINGRAULI_HYDRO,TANDA2,RSTPSU1TO6,SIMHST2,RSTPSU7,SALAL,SEWA2,SINGRAULI,RIHAND3,TANAKPUR,TALA,URI2,UNCHAHAR3,ANTA_LF,TelanganaSTPP,UNCHAHAR2,ANTA_GF,URI,TEHRI,UNCHAHAR1,VALLURNTECL,ANTA_CRF,UNCHAHAR4,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_RF,RAPPC,RAPPB,RAMPUR,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NTPL,MAPS,NLCTS2EXP,PARBATI3,NNTPP,NAPP,CHAMERA3,JHAJJAR,FSTPP I & II,DHAULIGNGA,DULHASTI,KHSTPP-I,KKNPPU2,KUDGI,KOLDAM,KISHANGANGA,KGSU1AND2,KGSU3AND4,KHSTPP-II,KOTESHWR,KKNP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,360.79,0,16.22,0,6.25,113.91,0,382.63,88.25,0,0.72,0,0,0,0,2.23,15.16,133.99,59.62,0,0,23.22,21.61,0,0,34.54,0,31.77,0,12.94,0,0,0,0,0,0,0,0,0,0,0,0,24.83,0,0,0,0,0,0,0,0,0,0,0,22.54,0,231.43,17.46,0,15.81,43.67,0,0,0,0,0,0,142.25,8.51,0,0,0,0,0,0

2,00:15-00:30,360.79,0,16.22,0,6.25,113.91,0,384.16,88.25,0,0.72,0,0,0,0,2.23,15.16,133.99,59.62,0,0,23.22,17.3,0,0,27.6,0,31.77,0,12.94,0,0,0,0,0,0,0,0,0,0,0,0,24.83,0,0,0,0,0,0,0,0,0,0,0,22.54,0,231.43,17.46,0,15.81,43.67,0,0,0,0,0,0,142.25,8.51,0,0,0,0,0,0

3,00:30-00:45,360.79,0,14.95,0,6.25,113.91,0,384.16,88.25,0,0.72,0,0,0,0,16.73,15.16,133.99,59.62,5.52,0,20.65,13.93,0,0,22.36,0,31.77,0,11.55,0,0,0,0,0,0,0,0,0,0,0,0,24.83,0,0,0,0,0,0,0,0,0,0,0,22.54,0,228.39,17.46,0,15.81,43.67,0,0,0,0,0,0,142.25,8.51,0,0,0,0,0,0

4,00:45-01:00,360.79,0,13.43,0,6.25,113.91,0,384.16,88.25,0,0.72,0,0,0,0,66.88,15.16,133.99,59.62,5.52,0,20.65,13.93,0,0,22.36,0,31.77,0,11.55,0,0,0,0,0,0,0,0,0,0,0,0,24.83,0,0,0,0,0,0,0,0,0,0,0,22.54,0,228.39,17.46,0,15.81,43.67,0,0,0,0,0,0,142.25,8.51,0,0,0,0,0,0

5,01:00-01:15,360.79,0,13.91,0,6.25,113.91,0,384.16,88.25,0,0.72,0,0,0,0,66.88,15.16,133.99,59.62,5.52,0,20.65,13.93,0,0,22.36,0,31.77,0,11.55,0,0,0,0,0,0,0,0,0,0,0,0,24.83,0,0,0,0,0,0,0,0,0,0,0,22.54,0,228.39,17.46,0,0,43.67,0,0,0,0,0,0,142.25,8.51,0,0,0,0,0,0

