Block,Time,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31052040/LT-31,NR/01012024/31032024/ ChanjuII,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/31032024/31032024/HP-58,NR/01102023/30042040/GNA_LT_35,NR/31032024/31032024/HP-65,NR/01102023/30042040/GNA_LT_36,NR/30092023/31122025/SH-07,NR/01102023/23072042/L_NR_2012_04,NR/01102023/05012040/L_NR_2020_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01032024/31032024/NVVN/OA/16997,NR/01102023/25122043/GNA_MEJA_DELHI,NR/31032024/31032024/HP-61,NR/01102023/06022042/L_NR_2012_07,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,NR/01102023/19072037/LT-05,NR/22102023/11042047/L_NR_2021_17,WR/01102023/31032046/L_NR_2020_05,NR/01102023/13082046/L_NR_2021_12,WR/01102023/16072048/L_NR_2022_08,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01032024/31032024/SJVN010324NR1588,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,SR/01032024/31032024/SJVN010324NR1590,WR/01102023/24112044/L_NR_2020_07,NR/01102023/02122045/L_NR_2021_13,NR/01102023/14082046/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02012046/L_NR_2021_17,SR/01102023/07102043/L_NR_2018_61,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/L_NR_2019_05,SR/01032024/31032024/SWAP ARRANGEMENT LOA D.NO.366 DT.31-08-2023,NR/01032024/31032024/SJVN010324NR1589,L_NR_2019_19,WR/16032024/31032024/TPDDL/PMG/MSEDCL/Banking/12112023,WR/01102023/01102023/L_NR_2020_06,SR/16032024/31032024/SWAP ARRANGEMENT LOA.NO.365 DT.31-08-2023,NR/01102023/25072045/L_NR_2021_15
1,00:00-00:15,2.770000,261.670000,0.000000,10.620000,29.010000,173.650000,0.000000,29.990000,0.000000,13.430000,271.970000,2.280000,100.200000,48.350000,0.000000,73.370000,87.220000,3.270000,13.430000,0.000000,0,40.5,0,10.66,0,0,0,0,31.67,0,13.5,0,0,0,0,8.16,0,0,31.67,0,48.35,0,0,193.400000,13.5,48.35,0

2,00:15-00:30,2.770000,261.670000,0.000000,10.620000,29.010000,173.650000,0.000000,29.990000,0.000000,13.430000,271.970000,2.280000,100.200000,48.350000,0.000000,73.370000,87.220000,3.270000,13.430000,0.000000,0,41,0,11,0,0,0,0,33.67,0,13.67,0,0,0,0,7.94,0,0,33.67,0,48.35,0,0,193.400000,13.66,48.35,0

3,00:30-00:45,2.770000,261.670000,0.000000,10.620000,29.980000,173.650000,0.000000,29.990000,0.000000,13.430000,271.970000,2.280000,100.200000,48.350000,0.000000,73.370000,87.220000,3.270000,13.430000,0.000000,0,42.5,0,11.34,0,0,0,0,35.67,0,14.17,0,0,0,0,7.51,0,0,35.67,0,48.35,0,0,193.400000,14.16,48.35,0

4,00:45-01:00,2.770000,261.670000,0.000000,10.620000,29.980000,173.650000,0.000000,29.990000,0.000000,13.430000,271.970000,2.280000,100.200000,48.350000,0.000000,73.370000,87.220000,3.270000,13.430000,0.000000,0,43.5,0,11.66,0,0,0,0,37,0,14.5,0,0,0,0,7.14,0,0,37,0,48.35,0,0,193.400000,14.5,48.35,0

5,01:00-01:15,2.770000,261.670000,0.000000,10.620000,29.980000,173.650000,0.000000,29.990000,0.000000,13.430000,271.970000,2.280000,100.200000,48.350000,0.000000,73.370000,87.220000,3.270000,13.430000,0.000000,0,44,0,12,0,0,0,0,36.33,0,14.67,0,0,0,0,6.66,0,0,36.33,0,48.35,0,0,193.400000,14.66,48.35,0

6,01:15-01:30,2.770000,261.670000,0.000000,10.620000,29.980000,173.650000,0.000000,29.990000,0.000000,13.430000,271.970000,2.280000,100.200000,48.350000,0.000000,73.370000,87.220000,3.270000,13.430000,0.000000,0,44.5,0,12.34,0,0,0,0,36.33,0,14.83,0,0,0,0,6.01,0,0,36.33,0,48.35,0,0,193.400000,14.84,48.35,0

