Column1,Time,GNARE/SR/2025/01/13/4532,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,GNARE/NR/2024/12/20/3668,GNA/NR/2025/03/01/9482,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/3469,NR/01102023/30042040/GNA_LT_35,NR/30092023/26122029/SH-06,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,GNA/WR/2025/01/01/9606,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/8036,NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,GNA/NR/2025/03/01/1906,NR/01102023/30042040/GNA_LT_36,GNA/SR/2025/03/01/7500,GNA/WR/2025/03/01/6406,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/6891,NR/01102023/06022042/L_NR_2012_07,NR/30092023/31122025/SH-07,GNA/NR/2025/03/01/4651,GNA/WR/2025/01/01/8625
1,00:00-00:15,2.58,0,15,7.5,22.5,0,7.34,7.5,15,0,0,0,0,0,0,0,0,0,0,0,17.35,30.78,6.55,6.75,0,32,0,2.33,0,2.53,23.41,23.41,0,272.49,1.77,260.78,115.26,23.41,0,200,42,237.82,79.27,86.93,32,8.67,0

2,00:15-00:30,2.58,0,15,7.5,22.5,0,7.34,7.5,15,0,0,0,0,0,0,0,0,0,0,0,17.35,30.78,6.55,6.75,0,32,0,2.33,0,2.53,23.41,23.41,0,272.49,1.77,260.78,115.26,23.41,0,200,42,237.82,79.27,86.93,32,8.67,0

3,00:30-00:45,2.58,0,15,7.5,22.5,0,7.34,7.5,15,0,0,0,0,0,0,0,0,0,0,0,17.35,31.29,6.55,6.75,0,32,0,2.33,0,2.53,23.41,23.41,0,272.49,1.77,260.78,115.26,23.41,0,200,42,237.82,79.27,86.93,32,8.67,0

4,00:45-01:00,2.58,0,15,7.5,22.5,0,7.34,7.5,15,0,0,0,0,0,0,0,0,0,0,0,17.35,31.29,6.55,6.75,0,32,0,2.33,0,2.53,23.41,23.41,0,272.49,1.77,260.78,115.26,23.41,0,200,42,237.82,79.27,86.93,32,8.67,0

5,01:00-01:15,2.74,0,15.67,8.5,25.5,0,7.34,8.5,15.66,0,0,0,0,0,0,0,0,0,0,0,17.35,31.29,6.46,6.75,0,32,0,2.33,0,2.46,23.41,23.41,0,272.49,1.77,260.78,115.26,23.41,0,200,42,237.82,79.27,86.93,32,8.67,0

6,01:15-01:30,2.76,0,16.67,9.33,28.01,0,7.34,9.33,16.66,0,0,0,0,0,0,0,0,0,0,0,17.35,31.29,6.46,6.75,0,32,0,2.33,0,2.46,23.41,23.41,0,272.49,1.77,260.78,115.26,23.41,0,200,42,237.82,79.27,86.93,32,8.67,0

7,01:30-01:45,2.8,0,17.67,10.17,30.49,0,7.34,10.17,17.66,0,0,0,0,0,0,0,0,0,0,0,17.35,30.78,6.46,6.75,0,32,0,2.33,0,2.46,23.41,23.41,0,272.49,1.77,260.78,115.26,23.41,0,200,42,237.82,79.27,86.93,32,8.67,0

8,01:45-02:00,2.82,0,18.67,11.17,33.49,0,7.34,11.17,18.66,0,0,0,0,0,0,0,0,0,0,0,17.35,30.28,6.46,6.75,0,32,0,2.33,0,2.46,23.41,23.41,0,272.49,1.77,260.78,115.26,23.41,0,200,42,237.82,79.27,86.93,32,8.67,0

9,02:00-02:15,2.8,0,38.67,11.67,34.99,0,7.34,11.67,38.66,0,0,0,0,0,0,0,0,0,0,0,17.35,30.28,6.46,6.75,0,32,0,2.1,0,2.46,23.41,23.41,0,272.49,1.77,260.78,66.13,23.41,0,0,42,237.82,79.27,86.93,32,8.67,0

10,02:15-02:30,2.8,0,39,11.17,33.49,0,7.34,11.17,39,0,0,0,0,0,0,0,0,0,0,0,17.35,30.28,6.46,6.75,0,32,0,2.1,0,2.46,23.41,23.41,0,272.49,1.77,260.78,66.13,23.41,0,0,42,237.82,79.27,86.93,32,8.67,0

11,02:30-02:45,2.76,0,50.67,16.67,49.99,0,7.34,16.67,50.66,0,0,0,0,0,0,0,0,0,0,0,17.35,30.28,6.46,6.75,0,32,0,2.1,0,2.46,23.41,23.41,0,272.49,1.77,260.78,66.13,23.41,0,0,42,237.82,79.27,86.93,32,8.67,0

12,02:45-03:00,2.74,0,50.67,16.83,50.51,0,7.34,16.83,50.66,0,0,0,0,0,0,0,0,0,0,0,17.35,30.28,6.46,6.75,0,32,0,2.1,0,2.46,23.41,23.41,0,272.49,1.77,260.78,66.13,23.41,0,0,42,237.82,79.27,86.93,32,8.67,0

13,03:00-03:15,2.74,0,50.67,17.33,52.01,0,7.34,17.33,50.66,0,0,0,0,0,0,0,0,0,0,0,17.35,30.28,6.36,6.75,0,32,0,2.1,0,2.3,23.41,23.41,0,272.49,1.69,260.78,66.13,23.41,0,0,42,237.82,79.27,86.93,32,8.67,0

14,03:15-03:30,2.58,0,50.67,18.33,55.01,0,7.34,18.33,50.66,0,0,0,0,0,0,0,0,0,0,0,17.35,31.29,6.36,6.75,0,32,0,2.1,0,2.3,23.41,23.41,0,272.49,1.69,260.78,66.13,23.41,0,0,42,237.82,79.27,86.93,32,8.67,0

15,03:30-03:45,2.58,0,41.33,19.17,57.49,0,11,19.17,41.34,0,0,0,0,0,0,0,0,0,0,0,17.35,31.29,6.36,6.75,0,32,0,2.1,0,2.3,23.41,23.41,0,272.49,1.69,260.78,66.13,23.41,0,0,42,237.82,79.27,86.93,32,8.67,0

16,03:45-04:00,2.58,0,41.33,19.33,58.01,0,11,19.33,41.34,0,0,0,0,0,0,0,0,0,0,0,17.35,31.29,6.36,6.75,0,32,0,2.1,0,2.3,23.41,23.41,0,272.49,1.69,260.78,66.13,23.41,0,0,42,237.82,79.27,86.93,32,8.67,0

17,04:00-04:15,2.58,0,41.33,19.5,58.5,0,11,19.5,41.34,0,0,0,0,0,0,0,0,0,0,0,17.35,31.29,6.36,6.75,0,32,0,1.95,0,2.3,23.41,23.41,0,272.49,1.69,260.78,66.13,23.41,0,0,42,237.82,79.27,86.93,32,8.67,0

18,04:15-04:30,2.74,0,41.67,20,60,0,10.66,20,41.66,0,0,0,0,0,0,0,0,0,0,0,17.35,31.29,6.36,6.75,0,32,0,1.95,0,2.3,23.41,23.41,0,272.49,1.69,260.78,66.13,23.41,0,0,42,237.82,79.27,86.93,32,8.67,0

19,04:30-04:45,2.58,0,41.67,20.17,60.49,0,10.66,20.17,41.66,0,0,0,0,0,0,0,0,0,0,0,17.35,31.29,6.36,6.75,0,32,0,1.95,0,2.3,23.41,23.41,0,272.49,1.69,260.78,66.13,23.41,0,0,42,237.82,79.27,86.93,32,8.67,0

20,04:45-05:00,2.58,0,42,20.17,60.49,0,11.66,20.17,42,0,0,0,0,0,0,0,0,0,0,0,17.35,31.29,6.36,6.75,0,32,0,1.95,0,2.3,23.41,23.41,0,272.49,1.69,260.78,66.13,23.41,0,0,42,237.82,79.27,86.93,32,8.67,0

21,05:00-05:15,2.58,0,42,20.5,61.5,0,13,20.5,42,0,0,0,0,0,0,0,0,0,0,0,17.35,31.29,6.27,6.75,0,32,0,1.95,0,2.3,23.41,23.41,0,272.49,1.69,260.78,94.47,23.41,0,0,42,237.82,79.27,86.93,32,8.67,0

22,05:15-05:30,2.58,0,42,20.5,61.5,0,14,20.5,42,0,0,0,0,0,0,0,0,0,0,0,17.35,31.29,6.27,6.75,0,32,0,1.95,0,2.3,23.41,23.41,0,272.49,1.69,260.78,115.26,23.41,0,0,42,237.82,79.27,86.93,32,8.67,0

