Time,Block,NR/2023/14815/C,NR/2023/13858/A,NR/2023/14807/D,NR/2023/14187/F,NR/2023/11739/A,NR/2023/13284/A,NR/2023/13859/A,NR/2023/11203/A,NR/2023/13573/A,NR/2023/14804/D,NR/2023/13983/F,NR/2023/11328/A,NR/2023/14688/F,NR/2023/11470/A,NR/2023/11469/A,NR/2023/14688/F/II,NR/2023/14810/C,NR/2023/14797/D,NR/2023/11325/A,NR/2023/14817/C,NR/2023/11458/A,NR/2023/14824/C,NR/2023/13283/A,NR/2023/11954/A,NR/2023/11654/A,NR/2023/11315/A,NR/2023/11697/A,NR/2023/13983/F/II,NR/2023/12646/A,NR/2023/14812/C,NR/2023/14796/D,NR/2023/14800/D,NR/2023/14803/D,Total
,,IEXL,MANIKARAN,KEIPL,GBHHPL,NVVNL,APPCPL,MANIKARAN,KEIPL,NVVNL,SJVNL,ITCLH,APPCPL,GMRETL,NVVNL,NVVNL,GMRETL,TPDDL,NVVNL,APPCPL,IEXL,STATKRAFT,IEXL,APPCPL,KEIPL,TPTCL,GMRETL,APPCPL,ITCLH,MANIKARAN,PXIL,NVVNL,TS1PL_BKN,TS1PL_BKN,Total

,,UTTAR PRADESH,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,MP,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,NA,WEST BENGAL,ANDHRA PRADESH,UTTARAKHAND,GOA,NA,NA,GOA,HIMACHAL PRADESH,NA,MEGHALAYA,NA,TAMIL NADU,KARNATAKA,GOA,MEGHALAYA,NA,MEGHALAYA,HIMACHAL PRADESH,ANDHRA PRADESH,TAMIL NADU,DELHI,NA,NA,NA,
,,BCMLB001,HP,LMEL MSEB,GBHHPL,JP BINA,HP,HP,Meghalaya_Ben,SKS Raigarh,IPCL_WB,ITCWIND,UTTARAKHAND,GOA_Beneficiary,KAMENG,JPNIGRIE_JNSTPP,GOA_Beneficiary,CHANJUII,KAMENG,Meghalaya_Ben,ACBIL,TANGEDCO,NSLSUGAR,GOA_Beneficiary,Meghalaya_Ben,JPL-2,Meghalaya_Ben,HP,ITCWIND,TANGEDCO,BYPL,SOLAPUR_SOLAR,TS1PL_BKN,TS1PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,
,,BRPL,BRPL,BYPL,DIAPL,BRPL,BRPL,BRPL,BYPL,NDMC,NDMC,ITCLH,BYPL,TPDDL,BRPL,BRPL,TPDDL,TPDDL,TPDDL,BYPL,BRPL,BYPL,MES (Delhi),BRPL,BYPL,BRPL,BYPL,BYPL,ITCLH,BRPL,ASIL_UP,MES (Delhi),BYPL,BRPL,
,,North-North,North-North,West-North,North-North,West-North,North-North,North-North,North East-East-North,West-North,East-North,South-West-North,North-North,West-North,North East-East-North,West-North,West-East-North,North-North,North East-East-North,North East-East-North,West-North,South-West-North,South-West-North,West-North,North East-East-North,West-North,North East-East-North,North-North,South-East-North,South-West-North,North-North,West-North,North-North,North-North,
1,00:00-00:15,4.820000,84.400000,0.000000,3.860000,42.430000,85.750000,180.860000,62.940000,28.940000,0.000000,0.690000,48.230000,0.000000,21.210000,84.870000,24.120000,5.450000,192.920000,24.120000,0.000000,98.390000,6.750000,24.120000,36.390000,152.410000,22.190000,36.750000,0.170000,23.080000,0.000000,0,0,0,1295.86

2,00:15-00:30,4.820000,84.400000,0.000000,3.860000,42.430000,85.750000,180.860000,62.940000,28.940000,0.000000,0.690000,48.230000,0.000000,21.210000,84.870000,24.120000,5.450000,192.920000,24.120000,0.000000,98.390000,6.750000,24.120000,36.390000,152.410000,22.190000,36.750000,0.170000,23.080000,0.000000,0,0,0,1295.86

3,00:30-00:45,4.820000,84.400000,0.000000,3.860000,42.430000,85.750000,180.860000,62.940000,28.940000,0.000000,0.690000,48.230000,0.000000,21.210000,84.870000,24.120000,5.450000,192.920000,24.120000,0.000000,98.390000,6.750000,24.120000,36.390000,152.410000,22.190000,36.750000,0.170000,23.080000,0.000000,0,0,0,1295.86

4,00:45-01:00,4.820000,84.400000,0.000000,3.860000,42.430000,85.750000,180.860000,62.940000,28.940000,0.000000,0.690000,48.230000,0.000000,21.210000,84.870000,24.120000,5.450000,192.920000,24.120000,0.000000,98.390000,6.750000,24.120000,36.390000,152.410000,22.190000,36.750000,0.170000,23.080000,0.000000,0,0,0,1295.86

5,01:00-01:15,0.000000,84.400000,0.000000,3.860000,42.430000,85.750000,180.860000,62.940000,28.940000,0.000000,0.540000,48.230000,0.000000,21.210000,84.870000,24.120000,5.450000,192.920000,24.120000,0.000000,98.390000,6.750000,24.120000,36.390000,152.410000,22.190000,36.750000,0.140000,23.080000,0.000000,0,0,0,1290.86

6,01:15-01:30,0.000000,84.400000,0.000000,3.860000,42.430000,85.750000,180.860000,62.940000,28.940000,0.000000,0.540000,48.230000,0.000000,21.210000,84.870000,24.120000,5.450000,192.920000,24.120000,0.000000,98.390000,6.750000,24.120000,36.390000,152.410000,22.190000,36.750000,0.140000,23.080000,0.000000,0,0,0,1290.86

7,01:30-01:45,0.000000,84.400000,0.000000,3.860000,42.430000,85.750000,180.860000,62.940000,28.940000,0.000000,0.540000,48.230000,0.000000,21.210000,84.870000,24.120000,5.450000,192.920000,24.120000,0.000000,98.390000,6.750000,24.120000,36.390000,152.410000,22.190000,36.750000,0.140000,23.080000,0.000000,0,0,0,1290.86

8,01:45-02:00,0.000000,84.400000,0.000000,3.860000,42.430000,85.750000,180.860000,62.940000,28.940000,0.000000,0.540000,48.230000,0.000000,21.210000,84.870000,24.120000,5.450000,192.920000,24.120000,0.000000,98.390000,6.750000,24.120000,36.390000,152.410000,22.190000,36.750000,0.140000,23.080000,0.000000,0,0,0,1290.86

9,02:00-02:15,0.000000,84.400000,0.000000,3.860000,42.430000,85.750000,180.860000,62.940000,28.940000,0.000000,0.460000,48.230000,0.000000,21.210000,84.870000,24.120000,5.450000,192.920000,24.120000,0.000000,98.390000,6.750000,24.120000,36.390000,152.410000,22.190000,36.750000,0.120000,23.080000,0.000000,0,0,0,1290.76

10,02:15-02:30,0.000000,84.400000,0.000000,3.860000,42.430000,85.750000,180.860000,62.940000,28.940000,0.000000,0.460000,48.230000,0.000000,21.210000,84.870000,24.120000,5.450000,192.920000,24.120000,0.000000,98.390000,6.750000,24.120000,36.390000,152.410000,22.190000,36.750000,0.120000,23.080000,0.000000,0,0,0,1290.76

11,02:30-02:45,0.000000,84.400000,0.000000,3.860000,42.430000,85.750000,180.860000,62.940000,28.940000,0.000000,0.460000,48.230000,0.000000,21.210000,84.870000,24.120000,5.450000,192.920000,24.120000,0.000000,98.390000,6.750000,24.120000,36.390000,152.410000,22.190000,36.750000,0.120000,23.080000,0.000000,0,0,0,1290.76

12,02:45-03:00,0.000000,84.400000,0.000000,3.860000,42.430000,85.750000,180.860000,62.940000,28.940000,0.000000,0.460000,48.230000,0.000000,21.210000,84.870000,24.120000,5.450000,192.920000,24.120000,0.000000,98.390000,6.750000,24.120000,36.390000,152.410000,22.190000,36.750000,0.120000,23.080000,0.000000,0,0,0,1290.76

13,03:00-03:15,0.000000,84.400000,0.000000,3.860000,42.430000,85.750000,180.860000,62.940000,28.940000,0.000000,0.530000,48.230000,20.260000,21.210000,84.870000,3.860000,5.450000,192.920000,24.120000,0.000000,98.390000,6.750000,24.120000,0.000000,152.410000,22.190000,36.750000,0.000000,0.000000,0.000000,0,0,0,1231.24

14,03:15-03:30,0.000000,84.400000,0.000000,3.860000,42.430000,85.750000,180.860000,62.940000,28.940000,0.000000,0.530000,48.230000,20.260000,21.210000,84.870000,3.860000,5.450000,192.920000,24.120000,0.000000,98.390000,6.750000,24.120000,0.000000,152.410000,22.190000,36.750000,0.000000,0.000000,0.000000,0,0,0,1231.24

15,03:30-03:45,0.000000,84.400000,0.000000,3.860000,42.430000,85.750000,180.860000,62.940000,28.940000,0.000000,0.530000,48.230000,20.260000,21.210000,84.870000,3.860000,5.450000,192.920000,24.120000,0.000000,98.390000,6.750000,24.120000,0.000000,152.410000,22.190000,36.750000,0.000000,0.000000,0.000000,0,0,0,1231.24

16,03:45-04:00,0.000000,84.400000,0.000000,3.860000,42.430000,85.750000,180.860000,62.940000,28.940000,0.000000,0.530000,48.230000,20.260000,21.210000,84.870000,3.860000,5.450000,192.920000,24.120000,0.000000,98.390000,6.750000,24.120000,0.000000,152.410000,22.190000,36.750000,0.000000,0.000000,0.000000,0,0,0,1231.24

17,04:00-04:15,0.000000,84.400000,0.000000,3.860000,42.430000,85.750000,180.860000,62.940000,28.940000,0.000000,0.530000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,98.390000,6.750000,24.120000,0.000000,152.410000,22.190000,36.750000,0.000000,0.000000,0.000000,0,0,0,1231.24

18,04:15-04:30,0.000000,84.400000,0.000000,3.860000,42.430000,85.750000,180.860000,62.940000,28.940000,0.000000,0.530000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,98.390000,6.750000,24.120000,0.000000,152.410000,22.190000,36.750000,0.000000,0.000000,0.000000,0,0,0,1231.24

