Column1,Block,GNA/WR/2025/03/01/6406,GNA/WR/2025/01/01/9606,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2025/03/01/7500,GNA/WR/2025/01/01/8625,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/6891,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/01/3469,GNA/NR/2025/03/01/4651,NR/2025/25159/A/55417,WR/2025/26427/A/55448,WR/2025/26582/A/55631,WR/2025/26499/A/55528,WR/2025/26426/A/55447,NR/2025/25438/C,GNARE/NR/2024/12/20/3668,NR/2025/25437/C,Total
,,APPCPL,APPCPL,DELHI,APPCPL,TPTCL,BAWANA_GAS,PUNJAB,NDMC,NDMC,PTC,PTC,NDMC,NDMC,NDMC,NDMC,ITCLH,KEIPL,APPCPL,APPCPL,KEIPL,SJVNL,SECI_Trader,SJVNL,
,,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,DELHI_UT,DELHI_UT,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,NA,
,,BRPL,BYPL,CHANJUII,BYPL,BYPL,BAWANA_GAS,BAWANA_GAS,JPL2,RKM_POWER,BRPL,BYPL,RKM_POWER,JIPL,TRN_ENERGY,SKS_Raigarh,ITCWIND,BRPL,BRPL,BRPL,BYPL,RSRPL_BKN,APSEPL_FTG,TPSL_BKN2,
,,MSEB_State,MSEB_State,DELHI_UT,KERALA_State,MSEB_State,HARYANA_STATE,PUNJAB_STATE,DELHI_UT,DELHI_UT,HIMACHAL_STATE,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,CSEB_State,CSEB_State,MSEB_State,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,
,,AEML,AEML,TPDDL,KSEB,TPC_MSEB,HARYANA,PUNJAB,NDMC,NDMC,HP,HP,NDMC,NDMC,NDMC,NDMC,ITCLH,CSEB_Beneficiary,CSEB_Beneficiary,AEML,CSEB_Beneficiary,NDMC,TPDDL,NDMC,
,,North-West,North-West,North-North,North-West-South,North-West,North-North,North-North,West-North,West-North,North-North,North-North,West-North,East-North,West-North,West-North,South-West-North,North-West,North-West,North-West,North-West,North-North,North-North,North-North,
1,00:00-00:15,42,0,9.1,200,0,26.99,26.99,23.07,23.07,190.26,63.42,23.07,17.3,8.65,7.29,0.43,48.06,48.06,0,167.79,0,0,0,925.5499999999997

2,00:15-00:30,42,0,9.1,200,0,26.99,26.99,23.07,23.07,190.26,63.42,23.07,17.3,8.65,7.29,0.43,48.06,48.06,0,167.79,0,0,0,925.5499999999997

3,00:30-00:45,42,0,9.1,200,0,26.99,26.99,23.07,23.07,190.26,63.42,23.07,17.3,8.65,7.29,0.43,48.06,48.06,0,167.79,0,0,0,925.5499999999997

4,00:45-01:00,42,0,9.1,200,0,26.99,26.99,23.07,23.07,190.26,63.42,23.07,17.3,8.65,7.29,0.43,48.06,48.06,0,167.79,0,0,0,925.5499999999997

5,01:00-01:15,42,0,8.92,200,0,26.99,26.99,23.07,23.07,190.26,63.42,23.07,17.3,8.65,7.29,0.43,48.06,48.06,0,167.79,0,0,0,925.3699999999997

6,01:15-01:30,42,0,8.92,200,0,26.99,26.99,23.07,23.07,190.26,63.42,23.07,17.3,8.65,7.29,0.43,48.06,48.06,0,167.79,0,0,0,925.3699999999997

7,01:30-01:45,42,0,8.92,200,0,26.99,26.99,23.07,23.07,190.26,63.42,23.07,17.3,8.65,7.29,0.43,48.06,48.06,0,167.79,0,0,0,925.3699999999997

8,01:45-02:00,42,0,8.92,200,0,26.99,26.99,23.07,23.07,190.26,63.42,23.07,17.3,8.65,7.29,0.43,48.06,48.06,0,167.79,0,0,0,925.3699999999997

9,02:00-02:15,42,0,8.74,0,0,26.99,26.99,23.07,23.07,190.26,63.42,23.07,17.3,8.65,7.29,0.43,48.06,48.06,0,167.79,0,0,0,725.19

10,02:15-02:30,42,0,8.74,0,0,26.99,26.99,23.07,23.07,190.26,63.42,23.07,17.3,8.65,7.29,0.43,48.06,48.06,0,167.79,0,0,0,725.19

11,02:30-02:45,42,0,8.74,0,0,26.99,26.99,23.07,23.07,190.26,63.42,23.07,17.3,8.65,7.29,0.43,48.06,48.06,0,167.79,0,0,0,725.19

12,02:45-03:00,42,0,8.74,0,0,26.99,26.99,23.07,23.07,190.26,63.42,23.07,17.3,8.65,7.29,0.43,48.06,48.06,0,167.79,0,0,0,725.19

13,03:00-03:15,42,0,8.65,0,0,26.99,26.99,23.07,23.07,190.26,63.42,23.07,17.3,8.65,7.29,0.43,48.06,48.06,0,167.79,0,0,0,725.0999999999999

14,03:15-03:30,42,0,8.65,0,0,26.99,26.99,23.07,23.07,190.26,63.42,23.07,17.3,8.65,7.29,0.43,48.06,48.06,0,167.79,0,0,0,725.0999999999999

15,03:30-03:45,42,0,8.65,0,0,26.99,26.99,23.07,23.07,190.26,63.42,23.07,17.3,8.65,7.29,0.43,48.06,48.06,0,167.79,0,0,0,725.0999999999999

16,03:45-04:00,42,0,8.65,0,0,26.99,26.99,23.07,23.07,190.26,63.42,23.07,17.3,8.65,7.29,0.43,48.06,48.06,0,167.79,0,0,0,725.0999999999999

17,04:00-04:15,42,0,8.56,0,0,26.99,26.99,23.07,23.07,190.26,63.42,23.07,17.3,8.65,7.29,0.43,48.06,48.06,0,167.79,0,0,0,725.01

18,04:15-04:30,42,0,8.56,0,0,26.99,26.99,23.07,23.07,190.26,63.42,23.07,17.3,8.65,7.29,0.43,48.06,48.06,0,167.79,0,0,0,725.01

19,04:30-04:45,42,0,8.56,0,0,26.99,26.99,23.07,23.07,190.26,63.42,23.07,17.3,8.65,7.29,0.43,48.06,48.06,0,167.79,0,0,0,725.01

20,04:45-05:00,42,0,8.56,0,0,26.99,26.99,23.07,23.07,190.26,63.42,23.07,17.3,8.65,7.29,0.43,48.06,48.06,0,167.79,0,0,0,725.01

21,05:00-05:15,42,0,8.37,0,0,26.99,26.99,23.07,23.07,190.26,63.42,23.07,17.3,8.65,7.29,0.48,48.06,48.06,0,167.79,0,0,0,724.87

22,05:15-05:30,42,0,8.37,0,0,26.99,26.99,23.07,23.07,190.26,63.42,23.07,17.3,8.65,7.29,0.48,48.06,48.06,0,167.79,0,0,0,724.87

23,05:30-05:45,42,0,8.37,0,0,26.99,26.99,23.07,23.07,190.26,63.42,23.07,17.3,8.65,7.29,0.48,48.06,48.06,0,167.79,0,0,0,724.87

24,05:45-06:00,42,0,8.37,0,0,26.99,26.99,23.07,23.07,190.26,63.42,23.07,17.3,8.65,7.29,0.48,48.06,48.06,0,167.79,0,0,0,724.87

25,06:00-06:15,42,0,8.19,0,0,26.99,26.99,23.07,36.53,0,0,36.53,17.3,8.65,7.29,0.53,0,0,0,167.79,0,0,0,401.86

26,06:15-06:30,42,0,8.19,0,0,23.22,23.22,23.07,36.53,0,0,36.53,17.3,8.65,7.29,0.53,0,0,0,167.79,0,0,0,394.32

27,06:30-06:45,42,0,8.19,0,0,19.71,19.71,23.07,36.53,0,0,36.53,17.3,8.65,7.29,0.53,0,0,0,167.79,0,0,0,387.3

28,06:45-07:00,42,0,8.19,0,0,19.71,19.71,23.07,36.53,0,0,36.53,17.3,8.65,7.29,0.53,0,0,0,167.79,0,0.07,0,387.37

29,07:00-07:15,0,0,8.01,0,0,32,32,23.07,36.53,0,0,36.53,17.3,8.65,7.29,0.58,0,0,40.37,167.79,0,0.54,0,410.66

30,07:15-07:30,0,0,8.01,0,0,32,32,23.07,36.53,0,0,36.53,17.3,8.65,7.29,0.58,0,0,40.37,167.79,0,0.56,0,410.68

31,07:30-07:45,0,0,8.01,0,0,32,32,23.07,36.53,0,0,36.53,17.3,8.65,7.29,0.58,0,0,40.37,167.79,0,0.81,0,410.93

32,07:45-08:00,0,0,8.01,0,0,32,32,23.07,36.53,0,0,36.53,17.3,8.65,7.29,0.58,0,0,40.37,167.79,0,0.92,0,411.04

33,08:00-08:15,0,0,7.82,0,0,25.87,32,23.07,36.53,0,0,36.53,17.3,8.65,7.29,0.96,0,0,40.37,0,0,7.69,0,244.08

34,08:15-08:30,0,0,7.82,0,0,25.87,32,23.07,36.53,0,0,36.53,17.3,8.65,7.29,0.96,0,0,40.37,0,0,15.88,0,252.27

35,08:30-08:45,0,0,7.82,0,0,25.87,32,23.07,36.53,0,0,36.53,17.3,8.65,7.29,0.96,0,0,40.37,0,0,24.45,0,260.84000000000003

