Block,Time,DULHASTI,TANAKPUR,SINGRAULI,ANTA_LF,JHAJJAR,NAPP,NJPC,UNCHAHAR3,CHAMERA1,RIHAND2,TEHRI,DHAULIGNGA,RIHAND3,CHAMERA2,URI,URI2,DADRT2,SINGRAULI_HYDRO,SEWA2,ANTA_RF,RAPPC,UNCHAHAR2,RIHAND1,AURY_LF,KISHANGANGA,AURY_RF,DADRI_CRF,KOLDAM,AURY_GF,UNCHAHAR4,DADRI_GF,RAMPUR,TALA,FSTPP I & II,BRBCL,KHSTPP-II,SASAN,KHSTPP-I,SALAL,TANDA2,DADRI_RF,BSIUL,KOTESHWR,AURY_CRF,RAPPB,CHAMERA3,ANTA_CRF,PARBATI3,ANTA_GF,UNCHAHAR1,DADRI_LF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,57.187109,2.352121,102.775094,0.000000,341.573887,46.320047,159.593245,26.071443,40.731905,117.352078,44.354315,21.036662,123.025136,46.870234,32.007168,36.617398,662.196511,1.046488,12.259727,0.000000,65.219674,42.119964,91.228643,0.000000,7.816150,0.000000,0.000000,8.963170,0.000000,0.000000,0.000000,6.072368,0.000000,19.477792,19.327956,143.317120,399.538450,42.821184,77.484019,5.178057,0.000000,6.301701,27.294924,0.000000,0.000000,33.660923,0.000000,16.219301,0.000000,21.460652,0.000000,0,0,0,0,0

2,00:15-00:30,57.187109,2.352121,102.775094,0.000000,322.245887,46.320047,159.593245,26.071443,40.731905,117.352078,44.354315,21.036662,123.025136,46.870234,32.007168,36.617398,662.196511,1.046488,12.259727,0.000000,65.219674,42.119964,91.228643,0.000000,7.816150,0.000000,0.000000,8.963170,0.000000,0.000000,0.000000,6.072368,0.000000,19.477792,19.327956,143.317120,399.546000,42.821184,77.484019,5.178057,0.000000,6.301701,27.294924,0.000000,0.000000,33.660923,0.000000,16.219301,0.000000,21.460652,0.000000,0,0,0,0,0

3,00:30-00:45,57.187109,2.352121,102.775094,0.000000,322.245887,46.320047,159.593245,26.071443,40.731905,117.352078,44.354315,21.036662,123.025136,46.870234,32.007168,36.617398,662.196511,1.046488,12.259727,0.000000,65.219674,42.119964,91.228643,0.000000,7.816150,0.000000,0.000000,8.963170,0.000000,0.000000,0.000000,6.072368,0.000000,19.477792,19.327956,143.317120,399.546000,42.821184,77.484019,5.178057,0.000000,6.301701,27.294924,0.000000,0.000000,33.660923,0.000000,16.219301,0.000000,21.460652,0.000000,0,0,0,0,0

4,00:45-01:00,57.187109,2.352121,102.775094,0.000000,302.917887,46.320047,159.593245,26.071443,40.731905,117.352078,44.354315,21.036662,123.025136,46.870234,32.007168,36.617398,662.196511,1.046488,12.259727,0.000000,65.219674,42.119964,91.228643,0.000000,7.816150,0.000000,0.000000,8.963170,0.000000,0.000000,0.000000,6.072368,0.000000,19.477792,19.062627,143.317120,399.546000,42.821184,77.484019,5.178057,0.000000,6.301701,27.294924,0.000000,0.000000,33.660923,0.000000,16.219301,0.000000,21.460652,0.000000,0,0,0,0,0

5,01:00-01:15,57.187109,2.352121,102.784468,0.000000,273.576823,46.320047,159.593245,26.081010,40.731905,117.352078,44.354315,21.036662,123.025136,46.870234,32.007168,36.617398,604.994589,1.046488,12.259727,0.000000,65.219674,42.129338,91.238017,0.000000,7.816150,0.000000,0.000000,8.963170,0.000000,0.000000,0.000000,6.072368,0.000000,19.477792,15.220855,143.317120,399.546000,42.821184,77.484019,5.178057,0.000000,6.301701,27.294924,0.000000,0.000000,33.660923,0.000000,16.219301,0.000000,21.460652,0.000000,0,0,0,0,0

6,01:15-01:30,57.187109,2.352121,102.784468,0.000000,263.912823,46.320047,159.593245,26.081010,40.731905,117.352078,44.354315,21.036662,123.025136,46.870234,32.007168,36.617398,590.945965,1.046488,12.259727,0.000000,65.219674,42.129338,91.238017,0.000000,7.816150,0.000000,0.000000,8.963170,0.000000,0.000000,0.000000,6.072368,0.000000,19.477792,14.274506,143.317120,399.546000,42.821184,77.484019,5.178057,0.000000,6.301701,27.294924,0.000000,0.000000,33.660923,0.000000,16.219301,0.000000,21.460652,0.000000,0,0,0,0,0

7,01:30-01:45,57.187109,2.352121,102.784468,0.000000,234.920823,46.320047,159.593245,26.081010,40.731905,117.352078,44.354315,21.036662,123.025136,46.870234,32.007168,36.617398,590.945965,1.046488,12.259727,0.000000,65.219674,42.129338,91.238017,0.000000,7.816150,0.000000,0.000000,8.963170,0.000000,0.181119,0.000000,6.072368,0.000000,19.477792,16.467628,143.317120,399.546000,42.821184,77.484019,5.178057,0.000000,6.301701,27.294924,0.000000,0.000000,33.660923,0.000000,0.000000,0.000000,21.460652,0.000000,0,0,0,0,0

8,01:45-02:00,57.187109,2.352121,102.784468,0.000000,215.592823,46.320047,159.593245,26.081010,40.731905,117.352078,44.354315,21.036662,123.025136,46.870234,32.007168,36.617398,590.945965,1.046488,12.259727,0.000000,65.219674,42.129338,91.238017,0.000000,7.816150,0.000000,0.000000,8.963170,0.000000,0.384850,0.000000,6.072368,0.000000,19.477792,13.873135,143.317120,399.546000,42.821184,77.484019,5.178057,0.000000,6.301701,27.294924,0.000000,0.000000,33.660923,0.000000,0.000000,0.000000,21.460652,0.000000,0,0,0,0,0

9,02:00-02:15,57.187109,2.352121,102.784468,0.000000,292.904823,46.320047,159.593245,26.081010,40.731905,117.352078,44.354315,21.036662,123.025136,46.870234,32.007168,36.617398,642.831981,1.046488,12.259727,0.000000,65.219674,42.129338,91.238017,0.000000,7.816150,0.000000,0.000000,8.963170,0.000000,0.577275,0.000000,6.072368,0.000000,20.102156,12.427894,143.317120,399.546000,42.821184,77.484019,5.178057,0.000000,6.301701,27.294924,0.000000,0.000000,33.660923,0.000000,0.000000,0.000000,21.460652,0.000000,0,0,0,0,0

