Time,Block,NR/2024/18711/C,NR/2024/18388/A/5524,WR/2024/21675/A/5699,NER/2024/2023/A/5696,WR/2024/21740/A/5731,WR/2024/21710/A/5733,NR/2024/18710/C,NR/2024/18691/A/5728,Total
62,15:15-15:30,6.750000,0.770000,0.000000,25.000000,100.000000,0.000000,6.08,182.660000,321.26

63,15:30-15:45,6.750000,0.770000,0.000000,25.000000,100.000000,0.000000,5.79,182.660000,320.97

64,15:45-16:00,6.750000,0.770000,0.000000,25.000000,100.000000,0.000000,5.59,182.660000,320.77

65,16:00-16:15,2.890000,0.530000,0.000000,25.000000,100.000000,0.000000,4.34,182.660000,315.42

66,16:15-16:30,2.890000,0.530000,0.000000,25.000000,100.000000,0.000000,4.15,182.660000,315.23

67,16:30-16:45,2.890000,0.530000,0.000000,25.000000,100.000000,0.000000,3.86,182.660000,314.94

68,16:45-17:00,2.890000,0.530000,0.000000,25.000000,100.000000,0.000000,3.38,182.660000,314.46

69,17:00-17:15,0.000000,0.530000,0.000000,25.000000,100.000000,0.000000,3.09,182.660000,311.28

70,17:15-17:30,0.000000,0.530000,0.000000,25.000000,100.000000,0.000000,2.7,182.660000,310.89

71,17:30-17:45,0.000000,0.530000,0.000000,25.000000,100.000000,0.000000,1.93,182.660000,310.12

72,17:45-18:00,0.000000,0.530000,0.000000,25.000000,100.000000,0.000000,1.74,182.660000,309.93

73,18:00-18:15,0.000000,0.530000,57.760000,25.000000,100.000000,25.000000,0.96,102.010000,311.26

74,18:15-18:30,0.000000,0.530000,57.760000,25.000000,100.000000,25.000000,0.48,102.010000,310.78

75,18:30-18:45,0.000000,0.530000,57.760000,25.000000,100.000000,25.000000,0,102.010000,310.3

76,18:45-19:00,0.000000,0.530000,57.760000,25.000000,100.000000,25.000000,0,102.010000,310.3

77,19:00-19:15,0.000000,0.630000,57.760000,25.000000,100.000000,25.000000,0,102.010000,310.4

78,19:15-19:30,0.000000,0.630000,57.760000,25.000000,100.000000,25.000000,0,102.010000,310.4

79,19:30-19:45,0.000000,0.630000,57.760000,25.000000,100.000000,25.000000,0,102.010000,310.4

80,19:45-20:00,0.000000,0.630000,57.760000,25.000000,100.000000,25.000000,0,102.010000,310.4

81,20:00-20:15,0.000000,0.630000,57.760000,25.000000,100.000000,25.000000,0,102.010000,310.4

82,20:15-20:30,0.000000,0.630000,57.760000,25.000000,100.000000,25.000000,0,102.010000,310.4

83,20:30-20:45,0.000000,0.630000,57.760000,25.000000,100.000000,25.000000,0,102.010000,310.4

84,20:45-21:00,0.000000,0.630000,57.760000,25.000000,100.000000,25.000000,0,102.010000,310.4

85,21:00-21:15,0.000000,0.630000,57.760000,25.000000,100.000000,25.000000,0,102.010000,310.4

86,21:15-21:30,0.000000,0.630000,57.760000,25.000000,100.000000,25.000000,0,102.010000,310.4

87,21:30-21:45,0.000000,0.630000,57.760000,25.000000,100.000000,25.000000,0,102.010000,310.4

88,21:45-22:00,0.000000,0.630000,57.760000,25.000000,100.000000,25.000000,0,102.010000,310.4

89,22:00-22:15,0.000000,0.530000,57.760000,25.000000,100.000000,0.000000,0,0.000000,183.29

90,22:15-22:30,0.000000,0.530000,57.760000,25.000000,100.000000,0.000000,0,0.000000,183.29

91,22:30-22:45,0.000000,0.530000,57.760000,25.000000,100.000000,0.000000,0,0.000000,183.29

92,22:45-23:00,0.000000,0.530000,57.760000,25.000000,100.000000,0.000000,0,0.000000,183.29

93,23:00-23:15,0.000000,0.480000,0.000000,25.000000,100.000000,0.000000,0,0.000000,125.48

94,23:15-23:30,0.000000,0.480000,0.000000,25.000000,100.000000,0.000000,0,0.000000,125.48

95,23:30-23:45,0.000000,0.480000,0.000000,25.000000,100.000000,0.000000,0,0.000000,125.48

96,23:45-24:00,0.000000,0.480000,0.000000,25.000000,100.000000,0.000000,0,0.000000,125.48

