Block,Time,L_NR_2021_16,L_NR_2021_15,L_NR_2021_17,L_NR_2019_06,L_NR_2018_61,LT-36,L_NR_2012_02,L_NR_2012_07,L_NR_2022_09,L_NR_2023_04,L_NR_2019_05,LT-35,LT-05,L_NR_2020_07,L_NR_2020_06,L_NR_2019_07,LT-31,L_NR_2020_05,L_NR_2022_10,L_NR_2022_08,L_NR_2021_12,SH-06,L_NR_2019_11,L_NR_2020_02,L_NR_2012_04,L_NR_2021_13,SH-07,L_NR_2021_14,L_NR_2019_19,LT_MEJA_Delhi,L_NR_2012_01,LT-59
1,00:00-00:15,0,0,0,0,7.06,0.000000,261.810000,87.270000,47.32,0.000000,0,0.000000,108.010000,16.28,16.27,0,0.000000,48.82,47.32,6.7,0,0.000000,6.000000,6.790000,272.110000,0,0.000000,0,0.000000,6.780000,101.350000,5.450000

2,00:15-00:30,0,0,0,0,7.14,0.000000,261.810000,87.270000,38.75,0.000000,0,0.000000,108.010000,16.4,16.39,0,0.000000,49.18,38.75,4.57,0,0.000000,6.000000,6.790000,272.110000,0,0.000000,0,0.000000,6.780000,101.350000,5.450000

3,00:30-00:45,0,0,0,0,7.03,0.000000,261.810000,87.270000,39.22,0.000000,0,0.000000,108.010000,16.58,16.57,0,0.000000,49.72,39.22,4.74,0,0.000000,6.000000,6.790000,272.110000,0,0.000000,0,0.000000,6.780000,101.350000,5.450000

4,00:45-01:00,0,0,0,0,7.19,0.000000,261.810000,87.270000,39.29,0.000000,0,0.000000,108.010000,16.76,16.75,0,0.000000,50.26,39.29,4.86,0,0.000000,6.000000,6.790000,272.110000,0,0.000000,0,0.000000,6.780000,101.350000,5.450000

5,01:00-01:15,0,0,0,0,7.14,0.000000,261.810000,87.270000,24.67,0.000000,0,0.000000,108.010000,8.06,8.08,0,0.000000,24.23,24.67,4.95,0,0.000000,6.000000,6.790000,272.110000,0,0.000000,0,0.000000,6.780000,101.350000,5.760000

6,01:15-01:30,0,0,0,0,7.2,0.000000,261.810000,87.270000,25.05,0.000000,0,0.000000,108.010000,8.13,8.13,0,0.000000,24.39,25.05,5.03,0,0.000000,6.000000,6.790000,272.110000,0,0.000000,0,0.000000,6.780000,101.350000,5.760000

7,01:30-01:45,0,0,0,0,7.12,0.000000,261.810000,87.270000,25.88,0.000000,0,0.000000,108.010000,8.21,8.2,0,0.000000,24.6,25.88,5.42,0,0.000000,6.000000,6.790000,272.110000,0,0.000000,0,0.000000,6.780000,101.350000,5.760000

8,01:45-02:00,0,0,0,0,7.03,0.000000,261.810000,87.270000,26.64,0.000000,0,0.000000,108.010000,8.28,8.27,0,0.000000,24.83,26.64,4.36,0,0.000000,6.000000,6.790000,272.110000,0,0.000000,0,0.000000,6.780000,101.350000,5.760000

9,02:00-02:15,0,0,0,0,7.06,0.000000,261.810000,87.270000,27.64,0.000000,0,0.000000,108.010000,8.4,8.41,0,0.000000,25.23,27.64,4.36,0,0.000000,6.000000,6.610000,272.110000,0,0.000000,0,0.000000,6.780000,101.350000,5.760000

10,02:15-02:30,0,0,0,0,7.14,0.000000,261.810000,87.270000,12.34,0.000000,0,0.000000,108.010000,7.4,7.41,0,0.000000,22.23,12.34,4.39,0,0.000000,6.000000,6.610000,272.110000,0,0.000000,0,0.000000,6.780000,101.350000,5.760000

11,02:30-02:45,0,0,0,0,7.03,0.000000,261.810000,87.270000,12.37,0.000000,0,0.000000,108.010000,7.42,7.41,0,0.000000,22.24,12.37,4.39,0,0.000000,6.000000,6.610000,272.110000,0,0.000000,0,0.000000,6.780000,101.350000,5.760000

12,02:45-03:00,0,0,0,0,7.19,0.000000,261.810000,87.270000,12.47,0.000000,0,0.000000,108.010000,7.41,7.4,0,0.000000,22.21,12.47,4.4,0,0.000000,6.000000,6.610000,272.110000,0,0.000000,0,0.000000,6.780000,101.350000,5.760000

13,03:00-03:15,0,0,0,0,7.14,0.000000,261.810000,87.240000,12.49,0.000000,0,0.000000,108.010000,7.43,7.44,0,0.000000,22.31,12.49,4.41,0,0.000000,5.840000,6.610000,272.110000,0,0.000000,0,0.000000,6.780000,101.350000,5.680000

