Block,Time,ANTA_GF,KISHANGANGA,ANTA_CRF,ANTA_RF,NJPC,UNCHAHAR4,DADRT2,RAPPB,RAPPC,BSIUL,DADRI_GF,URI,CHAMERA1,AURY_GF,TANDA2,KOTESHWR,SINGRAULI,RIHAND1,UNCHAHAR3,RIHAND3,ANTA_LF,KOLDAM,UNCHAHAR1,AURY_RF,DADRI_LF,SALAL,URI2,CHAMERA3,DADRI_CRF,AURY_LF,RAMPUR,UNCHAHAR2,AURY_CRF,TANAKPUR,NAPP,DADRI_RF,DHAULIGNGA,SINGRAULI_HYDRO,TEHRI,PARBATI3,RIHAND2,CHAMERA2,SEWA2,DULHASTI,JHAJJAR,SASAN,KHSTPP-II,TALA,KHSTPP-I,KUDGI,BRBCL,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,1.408976,0.000000,0.000000,115.034376,0.788351,304.904626,0.000000,54.195901,0.000000,0.000000,51.269760,40.778267,0.000000,1.347466,16.338078,137.385000,76.548600,18.023170,121.223194,0.000000,2.350173,14.835935,0.000000,0.000000,82.181578,33.318819,29.579951,0.000000,0.000000,1.307315,41.650875,0.000000,1.735114,40.749363,0.000000,9.260571,0.976585,25.419974,3.239180,57.852485,40.503969,16.049727,50.297625,362.303692,405.159975,142.721246,0.000000,41.696348,45.80,14.411931,20.056275,0,0,0,0,0

2,00:15-00:30,0.000000,1.408976,0.000000,0.000000,86.275782,0.783675,275.879626,0.000000,54.195901,0.000000,0.000000,51.269760,40.778267,0.000000,1.347466,16.338078,137.385000,76.548600,18.023170,121.223194,0.000000,2.350173,14.835935,0.000000,0.000000,82.181578,33.318819,29.579951,0.000000,0.000000,0.979511,41.650875,0.000000,1.735114,40.749363,0.000000,9.260571,0.976585,25.419974,3.239180,57.852485,40.503969,16.049727,50.297625,362.303692,405.159975,142.721246,0.000000,41.696348,40.00,12.477600,20.056275,0,0,0,0,0

3,00:30-00:45,0.000000,1.408976,0.000000,0.000000,57.517188,0.783675,246.854626,0.000000,54.195901,0.000000,0.000000,47.531340,27.185512,0.000000,1.347466,16.338078,137.385000,76.548600,18.023170,121.223194,0.000000,1.762630,14.835935,0.000000,0.000000,82.181578,33.318819,29.579951,0.000000,0.000000,0.655609,41.650875,0.000000,1.735114,40.749363,0.000000,9.260571,0.976585,25.419974,3.239180,57.852485,40.503969,16.049727,50.297625,362.303692,405.159975,142.721246,0.000000,41.696348,37.09,10.624543,20.056275,0,0,0,0,0

4,00:45-01:00,0.000000,1.408976,0.000000,0.000000,57.517188,0.206580,227.504626,0.000000,54.195901,0.000000,0.000000,47.531340,13.592756,0.000000,1.069188,16.338078,137.385000,76.548600,11.358450,121.223194,0.000000,1.175087,10.217477,0.000000,0.000000,82.181578,33.318819,29.579951,0.000000,0.000000,0.655609,32.739426,0.000000,1.735114,40.749363,0.000000,9.260571,0.976585,25.419974,3.239180,57.852485,40.503969,16.049727,50.297625,356.498692,405.159975,142.721246,0.000000,29.786906,36.13,11.774272,15.117381,0,0,0,0,0

5,01:00-01:15,0.000000,1.408976,0.000000,0.000000,57.517188,0.217214,227.504626,0.000000,54.195901,0.000000,0.000000,47.531340,0.000000,0.000000,1.069188,16.338078,137.385000,76.548600,11.358450,121.223194,0.000000,0.474782,10.217477,0.000000,0.000000,82.181578,33.318819,29.579951,0.000000,0.000000,0.655609,32.739426,0.000000,1.735114,40.749363,0.000000,9.260571,0.976585,25.419974,3.239180,57.852485,40.503969,16.049727,50.297625,356.498692,405.159975,142.721246,0.000000,29.786906,39.03,11.016999,15.117381,0,0,0,0,0

