Block,Time Block,MAPS,NLCIIST1,NJPC,NLCIIST2,KOTESHWR,NAPP,NLCTS2EXP,KUDGI,NNTPP,NLCEXP,RAPPB,RIHAND2,SASAN,RIHAND1,RAMPUR,SIMHST1,SINGRAULI,RSTPSU1TO6,RAPPC,SIMHST2,RSTPSU7,NTPL,SALAL,SEWA2,RIHAND3,PARBATI3,KHSTPP-I,KHSTPP-II,DADRT2,CHAMERA3,JHAJJAR,KGSU1AND2,KGSU3AND4,BRBCL,CHAMERA2,CHAMERA1,BSIUL,DHAULIGNGA,FSTPP I & II,DULHASTI,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,TALST2,TANAKPUR,TelanganaSTPP,UNCHAHAR3,TALA,UNCHAHAR2,TEHRI,UNCHAHAR1,TANDA2,URI,VALLURNTECL,UNCHAHAR4,URI2,SINGRAULI_HYDRO,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,45.1,0,8.55,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,116.43,0,50.03,0,0,0,12.32,0,119.84,0,43.3,142.96,303.33,9.33,408.77,0,0,14.46,12.7,0,0,8.78,13.79,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,1.93,40.87,45.01,19.82,0,5.32,0,0,25.93,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,45.1,0,8.55,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,116.43,0,50.03,0,0,0,12.32,0,119.84,0,43.3,142.96,274.41,9.33,408.77,0,0,14.46,12.7,0,0,8.78,13.79,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,1.93,40.87,28.79,19.82,0,5.32,0,0,25.93,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,45.1,0,8.55,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,116.43,0,50.03,0,0,0,12.32,0,119.84,0,44.72,142.96,250.31,9.33,408.77,0,0,14.46,12.7,0,0,8.78,13.79,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,2.92,40.87,14.39,19.82,0,5.32,0,0,25.93,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,45.1,0,8.55,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,116.43,0,50.03,0,0,0,12.32,0,119.84,0,44.73,142.96,226.21,9.33,408.77,0,0,14.46,12.7,0,0,8.78,13.79,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,2.92,40.87,14.39,19.82,0,5.32,0,0,25.93,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,45.1,0,8.55,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,123.22,0,50.03,0,0,0,12.32,0,119.84,0,44.73,142.96,217.54,9.33,379.85,0,0,14.46,12.7,0,0,8.78,13.79,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,2.92,40.87,14.39,19.82,0,5.32,0,0,25.93,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,0,45.1,0,8.55,40.15,0,0,0,0,0,114.48,390.42,88.69,0,0,123.22,0,50.03,0,0,0,12.32,0,119.84,0,44.73,142.96,217.54,9.33,360.57,0,0,14.14,12.7,0,0,8.78,13.79,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,2.92,40.87,14.39,19.82,0,5.32,0,0,25.93,0,0,0,0,0,0,0,0,0,0

