Block,Time,TEHRI,DHAULIGNGA,ANTA_LF,URI,SALAL,RAPPC,RAMPUR,UNCHAHAR2,RAPPB,RIHAND3,ANTA_GF,AURY_CRF,UNCHAHAR4,TANAKPUR,CHAMERA2,DADRI_GF,RIHAND1,DADRI_RF,SINGRAULI,BSIUL,URI2,DADRI_LF,ANTA_RF,AURY_LF,NJPC,DADRI_CRF,JHAJJAR,CHAMERA3,UNCHAHAR1,PARBATI3,AURY_GF,NAPP,KOLDAM,ANTA_CRF,SEWA2,TANDA2,UNCHAHAR3,SINGRAULI_HYDRO,KISHANGANGA,CHAMERA1,AURY_RF,DADRT2,KOTESHWR,RIHAND2,DULHASTI,SASAN,BRBCL,FSTPP I & II,KUDGI,KHSTPP-II,TALA,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,8.822312,0.000000,36.331094,76.828243,25.056608,0.000000,24.369302,0.000000,119.695958,0.000000,0.000000,0.000000,11.158919,0.000000,0.000000,89.046800,55.162557,99.810325,0.000000,10.416153,0.000000,26.932398,0.000000,38.497255,0.000000,632.183982,0.000000,19.343482,0.000000,0.000000,38.350908,0.000000,0.000000,0.000000,0.000000,25.542978,0.759153,0.000000,0.000000,56.757075,661.207878,0.000000,56.709261,47.849643,337.772902,18.658193,17.687940,62.91,142.533825,18.212006,42.887615,0,0,0,0,0

2,00:15-00:30,0.000000,8.822312,0.000000,36.331094,76.828243,25.056608,0.000000,24.369302,0.000000,119.695958,0.000000,0.000000,0.000000,11.158919,0.000000,0.000000,89.046800,55.162557,99.814688,0.000000,30.873476,0.000000,26.932398,0.000000,38.497255,0.000000,632.183982,0.000000,19.343482,0.000000,0.000000,38.350908,0.000000,0.000000,0.000000,0.000000,25.542978,0.759153,0.000000,0.000000,56.757075,661.207878,0.000000,56.709261,47.849643,337.772902,16.263519,19.813276,60.01,142.533825,18.212006,42.887649,0,0,0,0,0

3,00:30-00:45,0.000000,8.822312,0.000000,8.548493,76.828243,25.056608,0.000000,24.369302,0.000000,119.695958,0.000000,0.000000,0.000000,10.538979,0.000000,0.000000,89.046800,55.162557,99.814688,0.000000,30.873476,0.000000,26.932398,0.000000,38.497255,0.000000,632.183982,0.000000,19.343482,0.000000,0.000000,38.350908,0.000000,0.000000,0.000000,0.000000,25.542978,0.759153,0.000000,0.000000,56.757075,661.207878,0.000000,56.709261,47.849643,337.772902,16.185432,20.066358,58.07,142.533825,18.212006,42.887649,0,0,0,0,0

4,00:45-01:00,0.000000,8.822312,0.000000,8.548493,76.828243,25.056608,0.000000,24.369302,0.000000,119.695958,0.000000,0.000000,0.000000,10.538979,0.000000,0.000000,89.046800,55.162557,99.814688,0.000000,30.873476,0.000000,26.932398,0.000000,38.497255,0.000000,632.183982,0.000000,19.343482,0.000000,0.000000,38.350908,0.000000,0.000000,0.000000,0.000000,25.542978,0.759153,0.000000,0.000000,56.757075,661.207878,0.000000,56.709261,47.849643,337.772902,13.860372,20.066358,56.14,142.533825,18.212006,42.887649,0,0,0,0,0

5,01:00-01:15,0.000000,8.822312,0.000000,8.548493,76.828243,25.056608,0.000000,24.369302,0.000000,119.695958,0.000000,0.000000,0.000000,12.683971,0.000000,0.000000,89.046800,27.093457,99.814688,0.000000,30.873476,0.000000,10.801764,0.000000,38.497255,0.000000,632.183982,0.000000,19.343482,0.000000,0.000000,38.350908,0.000000,0.000000,0.000000,0.000000,25.542978,0.759153,0.000000,0.000000,44.957904,661.207878,0.000000,56.709261,47.849643,337.772902,15.299839,20.066358,54.20,142.533825,18.212006,42.887649,0,0,0,0,0

