Block,Time,KGSU3AND4,KISHANGANGA,MAPS,NLCIIST1,RIHAND3,TALA,UNCHAHAR1,UNCHAHAR3,BRBCL,CHAMERA2,KKNP,NLCEXP,ANTA_CRF,DADRI_CRF,DADRI_LF,DHAULIGNGA,JHAJJAR,NLCTS2EXP,RIHAND2,RSTPSU7,SIMHST2,UNCHAHAR2,URI,VALLURNTECL,ANTA_RF,AURY_RF,DADRI_GF,DADRT2,KHSTPP-I,KUDGI,RAMPUR,RAPPC,SEWA2,TANDA2,TEHRI,BSIUL,KGSU1AND2,KOTESHWR,NAPP,RAPPB,SALAL,SINGRAULI_HYDRO,TelanganaSTPP,AURY_CRF,DADRI_RF,CHAMERA1,DULHASTI,FSTPP I & II,KKNPPU2,NJPC,NLCIIST2,SINGRAULI,TALST2,UNCHAHAR4,AURY_GF,KHSTPP-II,NNTPP,PARBATI3,RIHAND1,RSTPSU1TO6,SIMHST1,URI2,ANTA_GF,ANTA_LF,AURY_LF,CHAMERA3,KOLDAM,NTPL,SASAN,TANAKPUR
1,00:00-00:15,0,1.44,0,0,127.6,10.37,20.96,27.05,20.01,44.22,0,0,0,0,0,40.4,413.81,0,121.71,0,0,43.71,13.25,0,48.13,77.33,0,686.07,44.31,0,3.54,60.23,0,2.89,35.44,6.52,0,19.54,45.23,0,83.67,0,0,0,97.42,28.1,53.79,20.15,0,167.1,0,120.74,0,1.62,0,98.87,0,17.56,90.54,0,0,36.05,0,0,0,32.08,5.35,0,393.75,11.27

2,00:15-00:30,0,1.44,0,0,127.6,10.37,20.96,27.05,20.01,44.22,0,0,0,0,0,40.4,413.81,0,121.71,0,0,43.71,13.25,0,48.13,77.33,0,686.07,44.31,0,3.54,60.23,0,2.89,35.44,6.52,0,19.32,45.23,0,83.67,0,0,0,97.42,28.1,53.79,20.15,0,167.1,0,120.74,0,1.62,0,98.87,0,17.56,90.54,0,0,36.05,0,0,0,32.08,5.35,0,393.75,11.27

3,00:30-00:45,0,1.44,0,0,127.6,10.37,20.96,27.05,20.01,44.22,0,0,0,0,0,40.4,413.81,0,121.71,0,0,43.71,22.08,0,48.13,77.33,0,686.07,44.31,0,3.54,60.23,0,2.89,35.44,6.52,0,19.32,45.23,0,83.67,0,0,0,97.42,28.1,53.79,20.15,0,167.1,0,120.74,0,1.62,0,98.87,0,17.56,90.54,0,0,36.05,0,0,0,32.08,5.35,0,393.75,11.27

4,00:45-01:00,0,1.44,0,0,127.6,10.37,20.96,27.05,20.01,44.22,0,0,0,0,0,40.4,413.81,0,121.71,0,0,43.71,22.08,0,48.13,77.33,0,686.07,44.31,0,3.54,60.23,0,2.89,35.44,6.52,0,19.32,45.23,0,83.67,0,0,0,97.42,28.1,53.79,20.15,0,167.1,0,120.74,0,1.62,0,98.87,0,17.56,90.54,0,0,20.68,0,0,0,32.08,5.35,0,393.75,11.27

5,01:00-01:15,0,1.44,0,0,127.6,10.37,20.96,27.05,20.01,44.22,0,0,0,0,0,40.4,413.81,0,121.71,0,0,43.71,22.08,0,48.13,77.33,0,686.07,44.31,0,3.54,60.23,0,2.89,35.44,6.52,0,19.32,45.23,0,83.67,0,0,0,97.42,28.1,53.79,20.15,0,167.1,0,120.74,0,1.62,0,98.87,0,17.56,90.54,0,0,20.68,0,0,0,32.08,5.35,0,393.75,11.27

6,01:15-01:30,0,1.44,0,0,127.6,10.37,20.96,27.05,20.01,44.22,0,0,0,0,0,40.4,413.81,0,121.71,0,0,43.71,22.08,0,48.13,77.33,0,686.07,44.31,0,3.54,60.23,0,2.89,35.44,6.52,0,19.32,45.23,0,83.67,0,0,0,97.42,28.1,53.79,20.15,0,167.1,0,120.74,0,1.62,0,98.87,0,17.56,90.54,0,0,20.68,0,0,0,32.08,5.35,0,393.75,11.27

7,01:30-01:45,0,1.44,0,0,127.6,10.49,20.96,27.05,20.01,44.22,0,0,0,0,0,40.4,413.81,0,121.71,0,0,43.71,8.83,0,48.13,77.33,0,686.07,44.31,0,3.54,60.23,0,2.89,35.44,6.52,0,19.32,45.23,0,83.67,0,0,0,97.42,28.1,53.79,20.15,0,167.1,0,120.74,0,1.62,0,98.87,0,3.94,90.54,0,0,20.68,0,0,0,32.08,5.35,0,393.75,11.27

8,01:45-02:00,0,1.44,0,0,127.6,10.49,20.96,27.05,20.01,44.22,0,0,0,0,0,40.4,413.81,0,121.71,0,0,43.71,8.83,0,48.13,77.33,0,686.07,44.31,0,3.54,60.23,0,2.89,35.44,6.52,0,19.32,45.23,0,83.67,0,0,0,97.42,28.1,53.79,20.15,0,167.1,0,120.74,0,1.62,0,98.87,0,3.94,90.54,0,0,20.68,0,0,0,32.08,5.35,0,393.75,11.27

9,02:00-02:15,0,1.44,0,0,127.6,10.49,20.96,27.05,20.01,44.22,0,0,0,0,0,40.4,413.81,0,121.71,0,0,43.71,8.83,0,48.13,77.33,0,686.07,44.31,0,3.54,60.23,0,2.89,35.44,6.52,0,19.32,45.23,0,83.67,0,0,0,97.42,28.1,53.79,20.15,0,167.1,0,120.74,0,1.62,0,98.87,0,3.94,90.54,0,0,36.05,0,0,0,32.08,5.35,0,393.75,11.27

10,02:15-02:30,0,1.44,0,0,127.6,10.49,20.96,27.05,20.01,44.22,0,0,0,0,0,40.4,413.81,0,121.71,0,0,43.71,8.83,0,48.13,77.33,0,686.07,44.31,0,3.54,60.23,0,2.89,35.44,6.52,0,19.32,45.23,0,83.67,0,0,0,97.42,28.1,53.79,20.15,0,167.1,0,120.74,0,1.62,0,98.87,0,3.94,90.54,0,0,36.05,0,0,0,32.08,5.35,0,393.75,11.27

11,02:30-02:45,0,1.44,0,0,127.6,10.35,20.96,27.05,20.01,44.22,0,0,0,0,0,40.4,413.81,0,121.71,0,0,43.71,8.83,0,48.13,77.33,0,686.07,44.31,0,3.54,60.23,0,2.89,35.44,6.52,0,19.32,45.23,0,83.67,0,0,0,97.42,28.1,53.79,20.15,0,167.1,0,120.74,0,1.62,0,98.87,0,17.99,90.54,0,0,36.05,0,0,0,32.08,5.35,0,393.75,11.27

12,02:45-03:00,0,1.44,0,0,127.6,10.35,20.96,27.05,20.01,44.22,0,0,0,0,0,40.4,413.81,0,121.71,0,0,43.71,8.83,0,48.13,77.33,0,686.07,44.31,0,3.54,60.23,0,2.89,35.44,6.52,0,19.32,45.23,0,83.67,0,0,0,97.42,28.1,53.79,20.15,0,167.1,0,120.74,0,1.62,0,98.87,0,17.56,90.54,0,0,20.68,0,0,0,32.08,5.35,0,393.75,11.27

13,03:00-03:15,0,1.44,0,0,127.6,10.35,20.96,27.05,20.01,44.22,0,0,0,0,0,40.4,413.81,0,121.71,0,0,43.71,13.25,0,48.13,77.33,0,686.07,44.31,0,3.54,60.23,0,2.89,35.44,13.04,0,9.66,45.23,0,79.01,0,0,0,97.42,28.1,53.79,20.15,0,167.1,0,120.74,0,1.62,0,98.87,0,17.56,90.54,0,0,36.05,0,0,0,32.08,5.35,0,393.75,11.27

14,03:15-03:30,0,1.44,0,0,127.6,10.35,20.96,27.05,20.01,44.22,0,0,0,0,0,40.4,413.81,0,121.71,0,0,43.71,13.25,0,48.13,77.33,0,686.07,44.31,0,3.54,60.23,0,2.89,35.44,13.04,0,9.66,45.23,0,79.01,0,0,0,97.42,28.1,53.79,20.15,0,167.1,0,120.74,0,1.62,0,98.87,0,17.56,90.54,0,0,36.05,0,0,0,32.08,5.35,0,393.75,11.27

15,03:30-03:45,0,1.44,0,0,127.6,10.35,20.96,27.05,20.01,44.22,0,0,0,0,0,40.4,413.81,0,121.71,0,0,43.71,13.25,0,48.13,77.33,0,686.07,44.31,0,3.54,60.23,0,2.89,35.44,13.04,0,9.66,45.23,0,79.01,0,0,0,97.42,28.1,53.79,20.15,0,167.1,0,120.74,0,1.62,0,98.87,0,17.56,90.54,0,0,20.68,0,0,0,32.08,5.35,0,393.75,11.27

16,03:45-04:00,0,1.44,0,0,127.6,10.35,20.96,27.05,20.01,44.22,0,0,0,0,0,40.4,413.81,0,121.71,0,0,43.71,13.25,0,48.13,77.33,0,686.07,44.31,0,3.54,60.23,0,2.89,35.44,13.04,0,9.66,45.23,0,79.01,0,0,0,97.42,28.1,53.79,20.15,0,167.1,0,120.74,0,1.62,0,98.87,0,17.56,90.54,0,0,20.68,0,0,0,32.08,5.35,0,393.75,11.27

17,04:00-04:15,0,1.44,0,0,127.6,10.35,20.96,27.05,20.01,44.22,0,0,0,0,0,40.4,413.81,0,121.71,0,0,43.71,13.25,0,48.13,77.33,0,686.07,44.31,0,3.54,60.23,0,2.89,35.44,13.04,0,9.66,45.23,0,79.01,0,0,0,97.42,28.1,53.79,20.15,0,167.1,0,120.74,0,1.62,0,98.87,0,3.94,90.54,0,0,20.68,0,0,0,32.08,5.35,0,393.75,11.27

18,04:15-04:30,0,1.44,0,0,127.6,10.17,20.96,27.05,20.01,44.22,0,0,0,0,0,40.4,413.81,0,121.71,0,0,43.71,13.25,0,48.13,77.33,0,686.07,44.31,0,3.54,60.23,0,2.89,35.44,13.04,0,9.66,45.23,0,79.01,0,0,0,97.42,28.1,53.79,20.15,0,167.1,0,120.74,0,1.62,0,98.87,0,3.94,90.54,0,0,20.68,0,0,0,32.08,5.35,0,393.75,11.27

19,04:30-04:45,0,1.44,0,0,127.6,10.17,20.96,27.05,20.01,44.22,0,0,0,0,0,40.4,413.81,0,121.71,0,0,43.71,13.25,0,48.13,77.33,0,686.07,44.31,0,3.54,60.23,0,2.89,35.44,13.04,0,9.66,45.23,0,79.01,0,0,0,97.42,28.1,53.79,20.15,0,167.1,0,120.74,0,1.62,0,98.87,0,3.51,90.54,0,0,20.68,0,0,0,32.08,5.35,0,393.75,11.27

20,04:45-05:00,0,1.44,0,0,127.6,10,20.96,27.05,20.01,44.22,0,0,0,0,0,40.4,413.81,0,121.71,0,0,43.71,13.25,0,48.13,77.33,0,686.07,44.31,0,3.54,60.23,0,2.89,35.44,13.04,0,9.66,45.23,0,79.01,0,0,0,97.42,28.1,53.79,20.15,0,167.1,0,120.74,0,1.62,0,98.87,0,3.51,90.54,0,0,20.68,0,0,0,32.08,5.35,0,393.75,11.27

21,05:00-05:15,0,1.44,0,0,127.6,9.82,20.96,27.05,20.01,44.22,0,0,0,0,0,40.4,413.81,0,121.71,0,0,43.71,13.25,0,48.13,77.33,0,686.07,44.31,0,3.54,60.23,0,2.89,35.44,13.04,0,9.66,45.23,0,79.01,0,0,0,97.42,28.1,53.79,20.15,0,167.1,0,120.74,0,1.62,0,98.87,0,3.51,90.54,0,0,20.68,0,0,0,32.08,5.35,0,410.62,11.78

22,05:15-05:30,0,1.44,0,0,127.6,9.47,20.96,27.05,20.01,44.22,0,0,0,0,0,40.4,413.81,0,121.71,0,0,43.71,13.25,0,48.13,77.33,0,686.07,44.31,0,3.54,60.23,0,2.89,35.44,13.04,0,9.66,45.23,0,79.01,0,0,0,97.42,28.1,53.79,20.15,0,167.1,0,120.74,0,1.62,0,98.87,0,16.87,90.54,0,0,20.68,0,0,0,32.08,5.35,0,410.62,11.78

23,05:30-05:45,0,1.44,0,0,127.6,9.15,20.96,27.05,20.01,44.22,0,0,0,0,0,40.4,413.81,0,121.71,0,0,43.71,8.83,0,48.13,77.33,0,686.07,44.31,0,3.54,60.23,0,2.89,35.44,13.04,0,9.66,45.23,0,79.01,0,0,0,97.42,28.1,53.79,20.15,0,167.1,0,120.74,0,1.62,0,98.87,0,19.68,90.54,0,0,36.05,0,0,0,32.08,5.35,0,410.62,11.78

24,05:45-06:00,0,1.44,0,0,127.6,8.88,20.96,27.05,20.01,44.22,0,0,0,0,0,40.4,413.81,0,121.71,0,0,43.71,8.83,0,48.13,77.33,0,686.07,44.31,0,3.54,60.23,0,2.89,35.44,13.04,0,9.66,45.23,0,79.01,0,0,0,97.42,28.1,53.79,20.15,0,167.1,0,120.74,0,1.62,0,98.87,0,36.54,90.54,0,0,36.05,0,0,0,32.08,5.35,0,410.62,11.78

