Block,Time,FSTPP I & II,BRBCL,KHSTPP-II,SASAN,KHSTPP-I,TALA,NAPP,DADRI_RF,BSIUL,TANAKPUR,AURY_GF,ANTA_GF,DADRT2,DADRI_CRF,CHAMERA2,UNCHAHAR3,AURY_CRF,RAMPUR,SINGRAULI_HYDRO,SEWA2,CHAMERA3,SALAL,DHAULIGNGA,TANDA2,CHAMERA1,JHAJJAR,URI2,ANTA_RF,RAPPC,RIHAND2,TEHRI,DADRI_LF,DADRI_GF,UNCHAHAR1,AURY_LF,UNCHAHAR4,KOTESHWR,RAPPB,KISHANGANGA,PARBATI3,RIHAND1,RIHAND3,NJPC,URI,ANTA_LF,SINGRAULI,ANTA_CRF,DULHASTI,KOLDAM,UNCHAHAR2,AURY_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,13.822936,19.252000,139.066918,403.108002,30.596722,0.000000,41.841912,0.000000,0.000000,0.000000,0.000000,0.000000,361.080886,0.000000,0.000000,18.382291,0.000000,0.000000,0.791825,0.000000,0.000000,2.460791,0.000000,0.000000,0.000000,231.024000,23.825967,0.000000,52.037578,101.275146,0.000000,0.000000,0.000000,8.035015,0.000000,0.000000,8.542112,0.000000,0.000000,0.000000,88.559200,59.517558,0.000000,26.567760,0.000000,120.890528,0.000000,1.852524,0.000000,28.320152,0.000000,0,0,0,0,0

2,00:15-00:30,13.822936,18.106506,114.039318,403.108002,30.596722,0.000000,41.841912,0.000000,0.000000,0.000000,0.000000,0.000000,361.080886,0.000000,0.000000,18.382291,0.000000,0.000000,0.791825,0.000000,0.000000,2.460791,0.000000,0.000000,0.000000,231.024000,23.825967,0.000000,52.037578,101.275146,0.000000,0.000000,0.000000,8.035015,0.000000,0.000000,8.542112,0.000000,0.000000,0.000000,88.559200,59.517558,0.000000,26.567760,0.000000,120.890528,0.000000,1.852524,0.000000,28.883102,0.000000,0,0,0,0,0

3,00:30-00:45,13.822936,19.252000,114.039318,403.108002,30.596722,0.000000,41.841912,0.000000,0.000000,0.000000,0.000000,0.000000,361.080886,0.000000,0.000000,18.382291,0.000000,0.000000,0.791825,0.000000,0.000000,2.460791,0.000000,0.000000,0.000000,231.024000,23.825967,0.000000,52.037578,101.275146,0.000000,0.000000,0.000000,8.035015,0.000000,0.000000,8.542112,0.000000,0.000000,0.000000,70.486963,59.517558,0.000000,3.188131,0.000000,120.890528,0.000000,1.852524,0.000000,28.883102,0.000000,0,0,0,0,0

4,00:45-01:00,13.822936,17.509694,114.039318,403.108002,30.596722,0.000000,41.841912,0.000000,0.000000,0.000000,0.000000,0.000000,361.080886,0.000000,0.000000,14.920300,0.000000,0.000000,0.791825,0.000000,0.000000,2.460791,0.000000,0.000000,0.000000,231.024000,23.825967,0.000000,52.037578,90.722451,0.000000,0.000000,0.000000,7.046232,0.000000,0.000000,8.542112,0.000000,0.000000,0.000000,60.860963,59.517558,0.000000,2.125421,0.000000,120.890528,0.000000,1.852524,0.000000,23.294920,0.000000,0,0,0,0,0

5,01:00-01:15,11.069900,17.731092,94.691058,403.108002,24.594430,0.000000,41.841912,0.000000,0.000000,0.000000,0.000000,0.000000,361.080886,0.000000,0.000000,14.920300,0.000000,0.000000,0.791825,0.000000,0.000000,2.460791,0.000000,0.000000,0.000000,231.024000,16.056630,0.000000,52.037578,90.722451,0.000000,0.000000,0.000000,7.046232,0.000000,0.000000,8.542112,0.000000,0.000000,0.000000,60.860963,43.499413,0.000000,2.125421,0.000000,120.890528,0.000000,1.852524,0.000000,23.294920,0.000000,0,0,0,0,0

6,01:15-01:30,11.069900,14.833666,94.691058,403.108002,24.594430,0.000000,41.841912,0.000000,0.000000,0.000000,0.000000,0.000000,361.080886,0.000000,0.000000,14.920300,0.000000,0.000000,0.791825,0.000000,0.000000,2.460791,0.000000,0.000000,0.000000,231.024000,16.056630,0.000000,52.037578,90.722451,0.000000,0.000000,0.000000,7.046232,0.000000,0.000000,8.542112,0.000000,0.000000,0.000000,60.860963,43.499413,0.000000,2.125421,0.000000,120.890528,0.000000,1.852524,0.000000,23.294920,0.000000,0,0,0,0,0

7,01:30-01:45,11.069900,14.872170,94.691058,403.108002,24.594430,0.000000,41.841912,0.000000,6.276922,0.000000,0.000000,0.000000,361.080886,0.000000,0.000000,14.920300,0.000000,0.000000,0.791825,0.000000,0.000000,2.460791,0.000000,0.000000,0.000000,231.024000,4.402624,0.000000,52.037578,90.722451,0.000000,0.000000,0.000000,7.046232,0.000000,0.000000,8.542112,0.000000,0.000000,0.000000,60.860963,43.499413,0.000000,1.594066,0.000000,120.890528,0.000000,1.852524,0.000000,23.294920,0.000000,0,0,0,0,0

8,01:45-02:00,11.069900,14.593016,94.691058,403.108002,24.594430,0.000000,41.841912,0.000000,6.276922,0.000000,0.000000,0.000000,361.080886,0.000000,0.000000,14.920300,0.000000,0.000000,0.791825,0.000000,0.000000,2.460791,0.000000,0.000000,0.000000,231.024000,4.402624,0.000000,52.037578,90.722451,0.000000,0.000000,0.000000,7.046232,0.000000,0.000000,8.542112,0.000000,0.000000,0.000000,60.860963,43.499413,0.000000,1.594066,0.000000,120.890528,0.000000,1.852524,0.000000,23.294920,0.000000,0,0,0,0,0

