Column1,Block,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/8090,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/6566,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/16/2535,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/7908,NR/2024/23119/A/39565,NR/2024/23121/A/39566,NR/2024/23411/C,NR/2024/23038/A/39244,NR/2024/23413/C,NR/2024/23217/A/39344,NR/2024/22803/A/39569,NR/2024/22848/A/39543,NR/2024/21658/A/39297,NR/2024/23122/A/39564,NR/2024/23118/A/39563,NR/2024/23388/C,NR/2024/22754/A/39524,NR/2024/23392/C,NR/2024/22874/A/39568,NR/2024/22835/A/39558,NR/2024/22820/A/39248,NR/2024/23410/C,Total
,,DELHI,DELHI,BAWANA_GAS,MANIKARAN,APPCPL,TPTCL,PUNJAB,JITPL,PTC,INSTINCT,MANIKARAN,NVVNL,NVVNL,NVVNL,IEXL,NVVNL,DIAPL,NVVNL,APPCPL,ITCLH,NVVNL,NVVNL,TPDDL,PTC,DIAPL,NVVNL,MANIKARAN,IEXL,NVVNL,
,,HIMACHAL_STATE,NA,DELHI_UT,ODISHA_STATE,Arunachal_State,NA,DELHI_UT,NA,HIMACHAL_STATE,NA,MP_State,NA,NA,NA,MSEB_State,NA,HIMACHAL_STATE,NA,UTTARAKHAND_STATE,ANDHRA_PRADESH_STATE,NA,NA,NA,HIMACHAL_STATE,HIMACHAL_STATE,MP_State,MSEB_State,KARNATAKA_STATE,NA,
,,CHANJUII,SKS_Raigarh,BAWANA_GAS,MAADURGA_THERMAL,Arunachal_Ben,JITPL,BAWANA_GAS,JITPL,HP,JPL2,BLAPOWER_MP,RKM_POWER,RKM_POWER,SORANG_HEP,A_A_Energy_MH_Bio,Kameng,GBHHPL,JPNIGRIE_JNSTPP,UTTARAKHAND,ITCWIND,JPL2,TRN_ENERGY,JHAJJAR,HP,GBHHPL,JP_BINA,AEML,NSLSUGAR,SOLAPUR_SOLAR,
,,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,NDMC,HARYANA,BRPL,BRPL,BRPL,PUNJAB,NDMC,BRPL,BRPL,BRPL,NDMC,NDMC,TPDDL,MES_Delhi,TPDDL,DIAPL,TPDDL,BYPL,ITCLH,NDMC,NDMC,TPDDL,BYPL,DIAPL,TPDDL,BYPL,MES_Delhi,MES_Delhi,
,,North-North,West-North,North-North,East-North,North East-East-North,East-North,North-North,East-North,North-North,West-North,West-North,West-North,West-North,North-North,West-North,North East-East-North,North-North,West-North,North-North,South-West-North,West-North,West-North,North-North,North-North,North-North,West-North,West-North,South-West-North,West-North,
1,00:00-00:15,8.23,8.8,32,2.42,32.9,24.19,32,17.5,163.3,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.87,26.39,8.8,241.92,54.43,0.97,48.38,90.96,4.84,0,1258.3300000000002

2,00:15-00:30,8.23,8.8,32,2.42,32.9,24.19,32,17.5,163.3,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.87,26.39,8.8,241.92,54.43,0.97,48.38,90.96,4.84,0,1258.3300000000002

3,00:30-00:45,8.23,8.8,18.55,2.42,32.9,24.19,32,17.5,163.3,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.87,26.39,8.8,241.92,54.43,0.97,48.38,90.96,4.84,0,1244.88

4,00:45-01:00,8.23,8.8,18.55,2.42,32.9,24.19,32,17.5,163.3,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.87,26.39,8.8,241.92,54.43,0.97,48.38,90.96,4.84,0,1244.88

5,01:00-01:15,8.13,8.8,24.08,2.42,32.9,24.19,24.08,17.5,163.3,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.68,26.39,8.8,241.92,54.43,0.97,48.38,90.96,4.84,0,1242.2

6,01:15-01:30,8.13,8.8,24.08,2.42,32.9,24.19,24.08,17.5,163.3,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.68,26.39,8.8,241.92,54.43,0.97,48.38,90.96,4.84,0,1242.2

7,01:30-01:45,8.13,8.8,24.08,2.42,32.9,24.19,24.08,17.5,163.3,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.68,26.39,8.8,241.92,54.43,0.97,48.38,90.96,4.84,0,1242.2

8,01:45-02:00,8.13,8.8,24.08,2.42,32.9,24.19,24.08,17.5,163.3,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.68,26.39,8.8,241.92,54.43,0.97,48.38,90.96,4.84,0,1242.2

9,02:00-02:15,8.04,8.8,24.08,2.42,32.9,24.19,24.08,17.5,163.3,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.68,26.39,8.8,241.92,54.43,0.97,48.38,90.96,4.84,0,1242.11

10,02:15-02:30,8.04,8.8,24.08,2.42,32.9,24.19,24.08,17.5,163.3,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.68,26.39,8.8,241.92,54.43,0.97,48.38,90.96,4.84,0,1242.11

11,02:30-02:45,8.04,8.8,24.08,2.42,32.9,24.19,24.08,17.5,163.3,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.68,26.39,8.8,241.92,54.43,0.97,48.38,90.96,4.84,0,1242.11

12,02:45-03:00,8.04,8.8,24.08,2.42,32.9,24.19,24.08,17.5,163.3,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.68,26.39,8.8,241.92,54.43,0.97,48.38,90.96,4.84,0,1242.11

13,03:00-03:15,7.94,8.8,24.08,2.42,0,24.19,24.08,17.5,163.3,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.63,26.39,8.8,241.92,54.43,0.97,48.38,90.96,4.84,0,1209.06

14,03:15-03:30,7.94,8.8,24.08,2.42,0,24.19,24.08,17.5,163.3,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.63,26.39,8.8,241.92,54.43,0.97,48.38,90.96,4.84,0,1209.06

15,03:30-03:45,7.94,8.8,26.87,2.42,0,24.19,26.87,17.5,163.3,96.77,21.77,26.39,26.39,30,3.87,163.11,6.77,0,84.36,0.63,26.39,8.8,241.92,54.43,0.97,48.38,90.96,4.84,0,1214.6399999999999

