Column1,Time,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/16/1380,GNA/SR/2025/02/01/6460,NR/01102023/30042040/GNA_LT_35,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/02/16/1676,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/8625,GNA/WR/2025/01/01/9606,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/5886,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,WR/01102023/01102023/L_NR_2022_09,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_17,GNARE/SR/2025/01/13/4532,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,NR/30092023/26122029/SH-06,GNA/SR/2025/02/01/7432,NR/01102023/31052040/LT-31,GNA/NR/2025/02/01/9969,GNA/NR/2025/02/01/4863,NR/01102023/05012040/L_NR_2020_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_07,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/31102037/L_NR_2019_11,NR/01102023/22052037/LT-59,NR/30092023/31122025/SH-07
1,00:00-00:15,23.07,15.85,75,0,100.15,0,47.56,0,0,0,23.07,8.65,271.81,15,0,0,0,0,0,0,0,9,0,28.41,15,7.33,0,0,9,27,0,0,0,26.87,0,0,23.07,7.21,1.2,27.75,74.53,225.82,35.06,1.59,0.92,0.78,0

2,00:15-00:30,23.07,15.85,75,0,100.15,0,47.56,0,0,0,23.07,8.65,271.81,16,0,0,0,0,0,0,0,9.17,0,28.41,16,7.33,0,0,9.17,27.49,0,0,0,26.87,0,0,23.07,7.21,1.2,27.75,74.53,194.84,35.06,1.59,0.92,0.78,0

3,00:30-00:45,23.07,15.85,75,0,100.15,0,47.56,0,0,0,23.07,8.65,271.81,17,0,0,0,0,0,0,0,9.17,0,28.61,17,7.33,0,0,9.17,27.49,0,0,0,26.87,0,0,23.07,7.21,1.2,27.75,74.53,170.8,35.06,3.12,0.92,0.78,26.87

4,00:45-01:00,23.07,15.85,75,0,100.15,0,47.56,0,0,0,23.07,8.65,271.81,18,0,0,0,0,0,0,0,9.33,0,28.61,18,7.33,0,0,9.33,28.01,0,0,0,26.87,0,0,23.07,7.21,1.2,28.26,57.34,166,35.06,3.12,0.92,0.78,26.87

5,01:00-01:15,23.07,15.85,75,0,100.15,0,47.56,0,0,0,23.07,8.65,271.81,19.33,0,0,0,0,0,0,0,8.33,0,28.61,19.34,7.33,0,0,8.33,25.01,0,0,0,26.87,0,0,23.07,7.21,1.2,28.26,57.34,166,35.06,3.04,0.92,0.78,26.87

6,01:15-01:30,23.07,15.85,75,0,100.15,0,47.56,0,0,0,23.07,8.65,271.81,20.33,0,0,0,0,0,0,0,8.33,0,28.61,20.34,7.33,0,0,8.33,25.01,0,0,0,26.87,0,0,23.07,7.21,1.2,28.26,57.34,166,35.06,3.04,0.92,0.78,26.87

