Column1,Block,GNA/NR/2024/12/01/1475,GNA/NR/2024/12/01/2197,NR/2024/24060/A/44434,NR/2024/24097/A/44301,NR/2024/24088/A/44235,NR/2024/23952/A/44221,NR/30092023/26122029/SH-06,GNA/WR/2024/10/15/7089,GNA/WR/2024/11/01/4200,GNA/SR/2024/12/01/6968,WR/2024/25054/A/44376,NR/2024/24052/A/44229,NR/2024/24051/A/44228,GNA/NR/2024/12/01/1766,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/1599,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/24071/A/44230,NR/2024/24118/C,NR/2024/24119/C,Total
,,NDMC,NDMC,NVVNL,IEXL,IEXL,ITCLH,PUNJAB,APPCPL,MANIKARAN,KSEB,APPCPL,IEXL,IEXL,NDMC,BAWANA_GAS,NDMC,NDMC,PTC,PTC,DELHI,IEXL,SJVNL,SJVNL,
,,NA,NA,NA,KARNATAKA_STATE,KARNATAKA_STATE,ANDHRA_PRADESH_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TELANGANA_State,TELANGANA_State,NA,DELHI_UT,NA,NA,DELHI_UT,DELHI_UT,HIMACHAL_STATE,NA,NA,NA,
,,JPL2,RKM_POWER,JITPL,NSLSUGARALAND,NSLSTUNGBHDRA,ITCWIND,BAWANA_GAS,BYPL,BRPL,BYPL,BRPL,NSLKSLWPRTY,NSLKSLWPRTY,RKM_POWER,BAWANA_GAS,SKS_Raigarh,TRN_ENERGY,BYPL,BRPL,CHANJUII,TESPL_BKN2,RSRPL_BKN,TPSL_BKN2,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,MSEB_State,MSEB_State,KERALA_State,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,HIMACHAL_STATE,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,NDMC,MES_Delhi,MES_Delhi,ITCLH,PUNJAB,AEML,AEML,KSEB,GOA_Beneficiary,MES_Delhi,MES_Delhi,NDMC,HARYANA,NDMC,NDMC,HP,HP,TPDDL,MES_Delhi,NDMC,NDMC,
,,West-North,West-North,East-North,South-West-North,South-West-North,South-West-North,North-North,North-West,North-West,North-West-South,North-West,South-West-North,South-West-North,West-North,North-North,West-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,
1,00:00-00:15,25.9,25.9,17.27,7.67,0.96,0.43,0,0,0,150,0,2.88,0,25.9,0,8.63,8.63,31.71,95.13,2.2,0,0,0,403.2099999999999

2,00:15-00:30,25.9,25.9,17.27,7.67,0.96,0.43,0,0,0,150,0,2.88,0,25.9,0,8.63,8.63,31.71,95.13,2.2,0,0,0,403.2099999999999

3,00:30-00:45,25.9,25.9,17.27,7.67,0.96,0.43,0,0,0,150,0,2.88,0,25.9,0,8.63,8.63,31.71,95.13,2.2,0,0,0,403.2099999999999

4,00:45-01:00,25.9,25.9,17.27,7.67,0.96,0.43,0,0,0,150,0,2.88,0,25.9,0,8.63,8.63,31.71,95.13,2.2,0,0,0,403.2099999999999

5,01:00-01:15,25.9,25.9,17.27,7.67,0.96,0.38,0,0,0,150,0,2.88,0,25.9,0,8.63,8.63,31.71,95.13,2.2,0,0,0,403.1599999999999

6,01:15-01:30,25.9,25.9,17.27,7.67,0.96,0.38,0,0,0,150,0,2.88,0,25.9,0,8.63,8.63,31.71,95.13,2.2,0,0,0,403.1599999999999

7,01:30-01:45,25.9,25.9,17.27,7.67,0.96,0.38,0,0,0,150,0,2.88,0,25.9,0,8.63,8.63,31.71,95.13,2.2,0,0,0,403.1599999999999

8,01:45-02:00,25.9,25.9,17.27,7.67,0.96,0.38,0,0,0,150,0,2.88,0,25.9,0,8.63,8.63,31.71,95.13,2.2,0,0,0,403.1599999999999

9,02:00-02:15,25.9,25.9,17.27,7.67,0.96,0.38,0,0,0,150,0,2.88,0,25.9,0,8.63,8.63,31.71,95.13,2.2,0,0,0,403.1599999999999

10,02:15-02:30,25.9,25.9,17.27,7.67,0.96,0.38,0,0,0,150,0,2.88,0,25.9,0,8.63,8.63,31.71,95.13,2.2,0,0,0,403.1599999999999

11,02:30-02:45,25.9,25.9,17.27,7.67,0.96,0.38,0,0,0,150,0,2.88,0,25.9,0,8.63,8.63,31.71,95.13,2.2,0,0,0,403.1599999999999

12,02:45-03:00,25.9,25.9,17.27,7.67,0.96,0.38,0,0,0,150,0,2.88,0,25.9,0,8.63,8.63,31.71,95.13,2.2,0,0,0,403.1599999999999

13,03:00-03:15,25.9,25.9,17.27,7.67,0.96,0.34,0,0,0,150,0,2.88,0,25.9,0,8.63,8.63,31.71,95.13,2.2,0,0,0,403.11999999999995

14,03:15-03:30,25.9,25.9,17.27,7.67,0.96,0.34,0,0,0,150,0,2.88,0,25.9,0,8.63,8.63,31.71,95.13,2.2,0,0,0,403.11999999999995

15,03:30-03:45,25.9,25.9,17.27,7.67,0.96,0.34,0,0,0,150,0,2.88,0,25.9,0,8.63,8.63,31.71,95.13,2.2,0,0,0,403.11999999999995

16,03:45-04:00,25.9,25.9,17.27,7.67,0.96,0.34,0,0,0,150,0,2.88,0,25.9,0,8.63,8.63,31.71,95.13,2.2,0,0,0,403.11999999999995

