Block,Time,BSIUL,KGSU3AND4,KOLDAM,MAPS,RSTPSU7,SALAL,UNCHAHAR2,ANTA_LF,DADRT2,DHAULIGNGA,JHAJJAR,KHSTPP-II,KKNP,NTPL,RAPPC,RIHAND2,SINGRAULI,TALST2,TANDA2,TelanganaSTPP,UNCHAHAR3,AURY_CRF,AURY_RF,DULHASTI,NLCTS2EXP,RAPPB,RIHAND3,SIMHST1,URI,AURY_GF,CHAMERA1,CHAMERA2,KHSTPP-I,KKNPPU2,NAPP,PARBATI3,SEWA2,TEHRI,DADRI_CRF,CHAMERA3,KGSU1AND2,NJPC,NLCEXP,RIHAND1,SIMHST2,TANAKPUR,ANTA_RF,AURY_LF,DADRI_GF,FSTPP I & II,KOTESHWR,KUDGI,UNCHAHAR1,URI2,VALLURNTECL,DADRI_LF,KISHANGANGA,NLCIIST1,UNCHAHAR4,ANTA_GF,DADRI_RF,BRBCL,NLCIIST2,NNTPP,RAMPUR,RSTPSU1TO6,SASAN,SINGRAULI_HYDRO,TALA,ANTA_CRF
1,00:00-00:15,6.52,0,0,0,0,26.73,42.39,0,683.14,0,434.65,148.3,0,0,25.51,118.76,139.69,0,0,0,26.4,0,68.96,0,0,0,124.33,0,35.55,0,0,0,45.53,0,20.61,0,15.81,0,0,0,0,0,0,92,0,0,43.26,0,0,18.2,8.87,0,9.71,31.9,0,0,0,0,0,0,59.74,20,0,0,0,0,410.62,0.77,0,0

2,00:15-00:30,6.52,0,0,0,0,26.73,42.39,0,594.82,0,434.65,148.3,0,0,25.51,118.76,139.69,0,0,0,26.4,0,68.96,0,0,0,124.33,0,35.55,0,0,0,45.53,0,20.61,0,15.81,0,0,0,0,0,0,92,0,0,43.26,0,0,18.2,8.87,0,9.71,31.9,0,0,0,0,0,0,59.74,20,0,0,0,0,410.62,0.77,0,0

3,00:30-00:45,6.52,0,0,0,0,26.73,42.39,0,594.82,0,434.65,148.3,0,0,25.51,118.76,139.69,0,0,0,26.4,0,68.96,0,0,0,124.33,0,35.55,0,0,0,45.53,0,20.61,0,15.81,0,0,0,0,0,0,92,0,0,43.26,0,0,18.2,8.87,0,9.71,31.9,0,0,0,0,0,0,59.74,20,0,0,0,0,410.62,0.77,0,0

4,00:45-01:00,6.52,0,0,0,0,26.73,42.39,0,634.82,0,434.65,148.3,0,0,25.51,118.76,139.69,0,0,0,26.4,0,68.96,0,0,0,124.33,0,35.55,0,0,0,45.53,0,20.61,0,15.81,0,0,0,0,0,0,92,0,0,43.26,0,0,18.2,8.87,0,9.71,31.9,0,0,0,0,0,0,59.74,20,0,0,0,0,410.62,0.77,0,0

5,01:00-01:15,6.52,0,0,0,0,70.88,42.39,0,679.01,0,434.65,148.3,0,0,25.51,118.76,139.69,0,0,0,26.4,0,68.96,0,0,0,124.33,0,35.55,0,0,0,45.53,0,20.61,0,15.81,0,0,0,0,0,0,92,0,5.76,43.47,0,0,18.2,8.87,0,9.71,31.9,0,0,0,0,0,0,59.74,20,0,0,0,0,410.62,0.77,0,0

6,01:15-01:30,6.52,0,0,0,0,70.88,42.39,0,679.01,0,434.65,148.3,0,0,25.51,118.76,139.69,0,0,0,26.4,0,68.96,0,0,0,124.33,0,35.55,0,0,0,45.53,0,20.61,0,15.81,0,0,0,0,0,0,92,0,5.76,43.47,0,0,18.2,8.87,0,9.71,31.9,0,0,0,0,0,0,59.74,20,0,0,0,0,410.62,0.77,0,0

7,01:30-01:45,6.52,0,0,0,0,70.88,42.39,0,679.01,0,434.65,148.3,0,0,25.51,118.76,139.69,0,0,0,26.4,0,68.96,0,0,0,124.33,0,35.55,0,0,0,45.53,0,20.61,0,15.81,0,0,0,0,0,0,92,0,5.76,43.47,0,0,18.2,8.87,0,9.71,31.9,0,0,0,0,0,0,59.74,20,0,0,0,0,410.62,0.77,0,0

