Block,Time,KHSTPP-II,KKNPPU2,SIMHST1,UNCHAHAR4,VALLURNTECL,DADRI_GF,DADRI_RF,BSIUL,CHAMERA3,DADRT2,DHAULIGNGA,FSTPP I & II,KKNP,RSTPSU1TO6,SASAN,TelanganaSTPP,UNCHAHAR1,URI,AURY_RF,KISHANGANGA,RAMPUR,RIHAND2,SINGRAULI,AURY_CRF,AURY_GF,DADRI_LF,KGSU1AND2,NJPC,NLCEXP,PARBATI3,RAPPB,RIHAND1,SEWA2,SIMHST2,SINGRAULI_HYDRO,TALST2,TANDA2,ANTA_CRF,AURY_LF,BRBCL,KGSU3AND4,KOLDAM,KUDGI,NAPP,NLCIIST1,URI2,CHAMERA2,DULHASTI,KHSTPP-I,KOTESHWR,MAPS,NLCTS2EXP,NTPL,SALAL,TANAKPUR,TEHRI,ANTA_LF,JHAJJAR,RAPPC,RIHAND3,RSTPSU7,TALA,ANTA_GF,ANTA_RF,CHAMERA1,NLCIIST2,NNTPP,UNCHAHAR2,UNCHAHAR3,DADRI_CRF
1,00:00-00:15,98.87,0,0,0,0,0,88.77,0,19.36,341.57,27.48,20.8,0,0,343.12,0,20.56,50.79,68.96,0,0,118.76,138,0,0,0,0,85.23,0,0,0,46,0,0,0,0,0,0,0,15,0,0,0,40.47,0,31.9,20,49.43,44.92,8.87,0,0,0,51.13,13,46.69,0,474.31,51.39,124.32,0,10.44,0,28.35,14.05,0,0,42.4,0,0

2,00:15-00:30,98.87,0,0,0,0,0,88.77,0,19.36,341.57,27.48,20.8,0,0,343.12,0,20.56,50.79,68.96,0,0,118.76,138,0,0,0,0,85.23,0,0,0,46,0,0,0,0,0,0,0,15,0,0,0,40.47,0,31.9,20,49.43,44.92,8.87,0,0,0,51.13,13,46.69,0,474.31,51.39,124.32,0,10.44,0,28.35,0,0,0,42.4,0,0

3,00:30-00:45,98.87,0,0,0,0,0,88.77,0,19.36,341.57,27.48,20.8,0,0,343.12,0,20.56,16.56,68.96,0,0,118.76,138,0,0,0,0,85.23,0,0,0,46,0,0,0,0,0,0,0,15,0,0,0,40.47,0,31.9,20,49.43,44.92,8.87,0,0,0,79.38,13,46.69,0,474.31,51.39,124.32,0,10.44,0,28.35,0,0,0,42.4,0,0

4,00:45-01:00,98.87,0,0,0,0,0,88.77,0,19.36,341.57,27.48,20.8,0,0,343.12,0,20.56,11.04,68.96,0,0,118.76,138,0,0,0,0,85.23,0,0,0,46,0,0,0,0,0,0,0,15,0,0,0,40.47,0,31.9,20,49.43,44.92,8.87,0,0,0,79.38,13,31.13,0,474.31,51.39,124.32,0,10.44,0,28.35,0,0,0,42.4,0,0

5,01:00-01:15,98.87,0,0,0,0,0,88.77,0,19.36,341.57,27.48,20.8,0,0,343.12,0,20.56,11.04,68.96,0,0,118.76,138,0,0,0,0,85.23,0,0,0,46,0,0,0,0,0,0,0,15,0,0,0,40.47,0,31.9,22.66,49.43,44.92,8.87,0,0,0,79.38,13,31.13,0,474.31,51.39,124.32,0,10.44,0,28.35,0,0,0,42.4,0,0

