Block,Time,BSIUL,CHAMERA2,CHAMERA3,DADRT2,DHAULIGNGA,DULHASTI,CHAMERA1,UNCHAHAR3,URI,URI2,UNCHAHAR4,NJPC,RAPPB,RAPPC,RIHAND1,RIHAND3,SALAL,SINGRAULI,SINGRAULI_HYDRO,TANDA2,TEHRI,UNCHAHAR2,KISHANGANGA,KOLDAM,NAPP,RIHAND2,SEWA2,JHAJJAR,UNCHAHAR1,TANAKPUR,KOTESHWR,PARBATI3,RAMPUR,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,SIMHST1,SIMHST2,TALST2,TelanganaSTPP,VALLURNTECL,NNTPP,NTPL,RSTPSU1TO6,RSTPSU7,KGSU3AND4,KKNP,KKNPPU2,KUDGI,MAPS,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,KGSU1AND2,KHSTPP-II,KHSTPP-I,FSTPP I & II,TALA,BRBCL,SASAN
1,00:00-00:15,6.5208,48.499828,34.831253,681.915948,0,59.175403,42.14808,26.93898,36.432,37.89052,3.094586,179.962454,0,67.990881,97.055942,129.980717,76.692,147.682313,1.191161,5.534072,0,43.506625,8.340651,10.235073,49.11236,124.284995,0,390.3438,22.130299,12.1695,0,16.783217,6.745515,0,32.585525,0,0,0,0,0,77.578921,0,0,0,76.039376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.502375,32.578,20.601072,4.41,15.00135,416.25

2,00:15-00:30,6.5208,48.499828,34.831253,681.915948,0,59.175403,42.14808,26.93898,36.432,37.89052,3.094586,179.962454,0,67.990881,97.055942,129.980717,76.692,147.682313,1.191161,5.534072,0,43.506625,8.340651,10.235073,49.11236,124.284995,0,390.3438,22.130299,12.1695,0,16.783217,6.745515,0,32.585525,0,0,0,0,0,77.578921,0,0,0,76.039376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.502375,32.578,20.601072,4.41,15.00135,416.25

3,00:30-00:45,6.5208,48.499828,34.831253,681.915948,0,59.175403,42.14808,26.93898,36.432,37.89052,3.094586,179.962454,0,67.990881,97.055942,129.980717,76.692,147.682313,1.191161,5.534072,0,43.506625,8.340651,10.235073,49.11236,124.284995,0,390.3438,22.130299,12.1695,0,4.272092,6.745515,0,32.585525,0,0,0,0,0,77.578921,0,0,0,76.039376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.502375,32.578,20.601072,4.116,15.00135,416.25

4,00:45-01:00,6.5208,48.499828,34.831253,681.915948,0,59.175403,42.14808,26.93898,36.432,37.89052,3.094586,179.962454,0,67.990881,97.055942,129.980717,76.692,147.682313,1.191161,5.534072,0,43.506625,8.340651,10.235073,49.11236,124.284995,0,390.3438,22.130299,12.1695,0,4.272092,6.745515,0,32.585525,0,0,0,0,0,77.578921,0,0,0,76.039376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.502375,32.578,20.601072,4.116,15.00135,416.25

5,01:00-01:15,13.0416,48.499828,34.831253,681.915948,0,59.175403,42.14808,26.93898,36.432,37.89052,3.094586,179.962454,0,67.990881,97.055942,129.980717,76.692,147.682313,1.191161,5.534072,0,43.506625,8.340651,10.235073,49.11236,124.284995,0,390.3438,22.130299,12.1695,0,16.783217,6.745515,0,32.585525,0,0,0,0,0,77.578921,0,0,0,76.039376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.502375,32.578,20.601072,4.116,15.00135,416.25

