Block,Time,NR/16022024/29022024/HP-40,NR/01022024/29022024/79,NR/16022024/29022024/HP-38,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05406,NR/01022024/29022024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/20022024/20022024/DD20240220NR22887,NR/01102023/31052040/LT-31,NR/19022024/29022024/NVVN/OA/16907,NR/16022024/29022024/HP-36,NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05420,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_07,NR/01102023/15082037/GNA_NR_2012_01,NR/16022024/29022024/HP-45,NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,NR/01012024/31032024/ ChanjuII,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_02,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05713,NR/20122023/29022024/IEX_LDC_231218_00502,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05718,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01102023/05012040/L_NR_2020_02,NR/30092023/31122025/SH-07,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05714,NR/01102023/31102037/L_NR_2019_11,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02012046/L_NR_2021_17,WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,NR/22102023/11042047/L_NR_2021_16,NR/01022024/29022024/SJVN010224NR1469,NR/01022024/29022024/SJVN010224NR1468,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_07),SR/01102023/07102043/L_NR_2018_61,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,NR/01102023/14082046/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,WR/01102023/16072048/L_NR_2022_08,SR/14022024/29022024/SJVN140224NR1518
1,00:00-00:15,0.000000,0.000000,128.130000,0.000000,4.820000,96.350000,24.090000,0.000000,0.000000,19.270000,38.170000,0.000000,33.050000,6.740000,25.930000,32.760000,52.030000,16.320000,173.430000,0.000000,2.020000,1.090000,112.730000,18.310000,11.560000,6.740000,8.190000,1.390000,25.930000,5.780000,0.950000,0,0,52,19.26,0,0,0,0,0,15.09,52,0,19.27,0,0,0,0,57.79,0,0,0,0,12.84,0

2,00:15-00:30,0.000000,0.000000,128.130000,0.000000,4.820000,96.350000,24.090000,0.000000,0.000000,19.270000,38.170000,0.000000,33.050000,6.740000,25.930000,32.760000,52.030000,16.320000,173.430000,0.000000,2.020000,1.090000,112.730000,18.310000,11.560000,6.740000,8.190000,1.390000,25.930000,5.780000,0.950000,0,0,51.44,19.04,0,0,0,0,0,13.32,51.44,0,19.03,0,0,0,0,57.11,0,0,0,0,13.84,0

3,00:30-00:45,0.000000,0.000000,128.130000,0.000000,4.820000,96.350000,24.090000,0.000000,0.000000,19.270000,38.170000,0.000000,35.130000,6.740000,25.930000,32.760000,52.030000,16.320000,173.430000,0.000000,2.020000,1.090000,112.730000,18.310000,11.560000,6.740000,8.190000,1.390000,25.930000,5.780000,0.950000,0,0,51.49,19.06,0,0,0,0,0,12.08,51.49,0,19.05,0,0,0,0,57.18,0,0,0,0,14.51,0

4,00:45-01:00,0.000000,0.000000,128.130000,0.000000,4.820000,96.350000,24.090000,0.000000,0.000000,19.270000,38.170000,0.000000,35.130000,6.740000,25.930000,32.760000,52.030000,16.320000,173.430000,0.000000,2.020000,1.090000,112.730000,18.310000,11.560000,6.740000,8.190000,1.390000,25.930000,5.780000,0.950000,0,0,51.53,19.07,0,0,0,0,0,10.54,51.53,0,19.08,0,0,0,0,57.22,0,0,0,0,14.84,0

5,01:00-01:15,0.000000,0.000000,128.130000,0.000000,4.820000,96.350000,24.090000,0.000000,0.000000,19.270000,38.170000,0.000000,35.130000,6.740000,25.930000,32.760000,52.030000,16.320000,173.430000,0.000000,2.020000,1.090000,112.730000,18.310000,11.560000,6.740000,8.190000,1.390000,25.930000,5.780000,0.950000,0,0,50.97,18.85,0,0,0,0,0,9.06,50.97,0,18.85,0,0,0,0,56.55,0,0,0,0,15.1,0

6,01:15-01:30,0.000000,0.000000,128.130000,0.000000,4.820000,96.350000,24.090000,0.000000,0.000000,19.270000,38.170000,0.000000,35.130000,6.740000,25.930000,32.760000,52.030000,16.320000,173.430000,0.000000,2.020000,1.090000,112.730000,18.310000,11.560000,6.740000,8.190000,1.390000,25.930000,5.780000,0.950000,0,0,51.16,18.93,0,0,0,0,0,7.91,51.16,0,18.92,0,0,0,0,56.78,0,0,0,0,15.16,0

7,01:30-01:45,0.000000,0.000000,128.130000,0.000000,4.820000,96.350000,24.090000,0.000000,0.000000,19.270000,38.170000,0.000000,35.130000,6.740000,25.930000,32.760000,52.030000,16.320000,173.430000,0.000000,2.020000,1.090000,112.730000,18.310000,11.560000,6.740000,8.190000,1.390000,25.930000,5.780000,0.950000,0,0,50.67,18.73,0,0,0,0,0,12.1,50.67,0,18.72,0,0,0,0,56.19,0,0,0,0,10.84,0

8,01:45-02:00,0.000000,0.000000,128.130000,0.000000,4.820000,96.350000,24.090000,0.000000,0.000000,19.270000,38.170000,0.000000,35.130000,6.740000,25.930000,32.760000,52.030000,16.320000,173.430000,0.000000,2.020000,1.090000,112.730000,18.310000,11.560000,6.740000,8.190000,1.390000,25.930000,5.780000,0.950000,0,0,50.57,18.69,0,0,0,0,0,11.66,50.57,0,18.69,0,0,0,0,56.06,0,0,0,0,10.82,0

9,02:00-02:15,0.000000,0.000000,128.130000,0.000000,4.820000,96.350000,24.090000,0.000000,0.000000,19.270000,38.170000,0.000000,35.130000,6.740000,25.930000,32.760000,52.030000,16.320000,173.430000,0.000000,2.020000,1.010000,112.730000,18.310000,11.560000,6.740000,8.190000,1.390000,25.930000,5.780000,0.950000,0,0,51.67,18.09,0,0,0,0,0,11.05,51.67,0,18.09,0,0,0,0,54.26,0,0,0,0,10.51,0

10,02:15-02:30,0.000000,0.000000,128.130000,0.000000,4.820000,96.350000,24.090000,0.000000,0.000000,19.270000,38.170000,0.000000,35.130000,6.740000,25.930000,32.760000,52.030000,16.320000,173.430000,0.000000,2.020000,1.010000,112.730000,18.310000,11.560000,6.740000,8.190000,1.390000,25.930000,5.780000,0.950000,0,0,51.67,17.63,0,0,0,0,0,10.31,51.67,0,17.63,0,0,0,0,52.88,0,0,0,0,10.27,0

11,02:30-02:45,0.000000,0.000000,128.130000,0.000000,4.820000,96.350000,24.090000,0.000000,0.000000,19.270000,38.170000,0.000000,35.130000,6.740000,25.930000,32.760000,52.030000,16.320000,184.990000,0.000000,2.020000,1.010000,112.730000,18.310000,11.560000,6.740000,8.190000,1.390000,25.930000,5.780000,0.950000,0,0,51,17.81,0,0,0,0,0,9.94,51,0,17.82,0,0,0,0,53.44,0,0,0,0,9.98,0

12,02:45-03:00,0.000000,0.000000,128.130000,0.000000,4.820000,96.350000,24.090000,0.000000,0.000000,19.270000,38.170000,0.000000,35.130000,6.740000,25.930000,32.760000,52.030000,16.320000,184.990000,0.000000,2.020000,1.010000,112.730000,18.310000,11.560000,6.740000,8.190000,1.390000,25.930000,5.780000,0.950000,0,0,50.31,17.8,0,0,0,0,0,9.54,50.31,0,17.79,0,0,0,0,53.4,0,0,0,0,9.71,0

