Block,Time,AURY_GF,NAPP,RAMPUR,ANTA_GF,KOTESHWR,UNCHAHAR2,URI2,TANDA2,SEWA2,TANAKPUR,AURY_CRF,JHAJJAR,TEHRI,KOLDAM,DADRI_CRF,RIHAND2,UNCHAHAR1,SINGRAULI,DADRI_LF,DULHASTI,ANTA_LF,SINGRAULI_HYDRO,SALAL,BSIUL,ANTA_RF,DADRT2,DADRI_RF,RIHAND1,CHAMERA2,KISHANGANGA,ANTA_CRF,RAPPC,NJPC,DHAULIGNGA,RAPPB,AURY_LF,UNCHAHAR3,CHAMERA3,PARBATI3,URI,DADRI_GF,CHAMERA1,UNCHAHAR4,RIHAND3,AURY_RF,KAWAS-RLNG,KAWAS-zLIQ,RSTPSU1TO6,GANDHAR-RLNG,MOUDA_II,VALLURNTECL,KHARGONE-I,VSTPS IV,KGSU3AND4,KHSTPP-II,BRBCL,NTPL,MOUDA,GANDHAR-APM,SASAN,MAPS,FSTPP I & II,KAWAS-ComGas,TAPS-II,NLCEXP,SOLAPUR,GANDHAR-ComGas,GANDHAR-NAPM,LARA-I,KGSU1AND2,KSTPS I&II,NLCIIST2,KSTPS7,GADARWARA-I,VSTPS I,NLCTS2EXP,NLCIIST1,TALST2,SIPAT I,SIPAT II,NNTPP,TALA,KAPS,KUDGI,KAWAS-NAPM,KKNP,VSTPS V,KAWAS-APM,RSTPSU7,VSTPS II,VSTPS III,SIMHST2,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,46.660082,0.000000,0.000000,8.812865,38.156926,35.210761,3.944705,17.465872,0.247105,0.000000,643.395416,47.978374,0.000000,0.000000,118.083735,0.000000,127.998795,0.000000,54.905879,0.000000,1.016289,67.244940,12.642280,0.000000,564.950281,0.000000,45.235146,44.776114,6.112886,0.000000,62.950813,0.000000,0.000000,0.000000,0.000000,26.379075,21.518384,0.000000,48.448764,0.000000,40.651823,0.000000,123.890121,0.000000,0.000000,0.000000,6.93,0.000000,3.363787,3.44,3.393268,2.570658,2.10,142.278820,14.467514,3.65,1.856470,0.000000,279.946125,0.23,19.994085,0.000000,1.313349,1.78,1.696634,0.000000,0.000000,4.078779,1.94,2.680725,1.47,1.285329,2.001685,2.201474,0.00,0.98,2.92,5.089903,1.791457,0.19,0.000000,1.099695,0.00,0.000000,0.00,1.271619,0.000000,1.87,1.861130,1.877149,1.78,43.616137,0,0,0,0,0

2,00:15-00:30,0.000000,46.660082,0.000000,0.000000,8.812865,42.747769,35.210761,3.944705,17.465872,0.247105,0.000000,643.395416,47.978374,0.000000,0.000000,118.083735,0.000000,127.998795,0.000000,54.905879,0.000000,1.016289,67.244940,12.642280,0.000000,536.015281,0.000000,45.235146,44.776114,6.112886,0.000000,62.950813,0.000000,0.000000,0.000000,0.000000,26.379075,21.518384,0.000000,48.448764,0.000000,40.651823,0.000000,123.890121,0.000000,0.000000,0.000000,6.93,0.000000,3.363787,3.44,3.393268,2.570658,2.10,142.278820,14.043019,3.65,1.856470,0.000000,279.946125,0.23,19.994085,0.000000,1.313349,1.78,1.696634,0.000000,0.000000,4.078779,1.94,2.680725,1.47,1.285329,2.001685,2.201510,0.00,0.98,2.92,5.089903,1.791457,0.19,0.000000,1.099695,0.00,0.000000,0.00,1.271619,0.000000,1.87,1.861130,1.877149,1.78,43.616137,0,0,0,0,0

3,00:30-00:45,0.000000,46.660082,0.000000,0.000000,8.812865,42.752489,35.210761,3.944705,17.465872,0.247105,0.000000,599.079499,47.978374,0.000000,0.000000,118.083735,0.000000,127.998795,0.000000,54.905879,0.000000,1.016289,67.244940,12.642280,0.000000,447.641308,0.000000,45.235146,44.776114,6.112886,0.000000,62.950813,0.000000,0.000000,0.000000,0.000000,26.379075,21.518384,0.000000,48.448764,0.000000,27.101215,0.000000,123.890121,0.000000,0.000000,0.000000,6.93,0.000000,3.363787,3.44,3.393268,2.570658,2.10,142.278820,13.768075,3.65,1.856470,0.000000,279.946125,0.23,19.994085,0.000000,1.313349,1.78,1.696634,0.000000,0.000000,4.078779,1.94,2.680725,1.47,1.285329,2.001685,2.201510,0.00,0.98,2.92,5.089903,1.791457,0.19,0.000000,1.099695,0.00,0.000000,0.00,1.271619,0.000000,1.87,1.861130,1.877149,1.78,43.616137,0,0,0,0,0

4,00:45-01:00,0.000000,46.660082,0.000000,0.000000,8.812865,42.752489,35.210761,3.944705,17.465872,0.247105,0.000000,513.729158,47.978374,0.000000,0.000000,118.083735,0.000000,127.998795,0.000000,36.478524,0.000000,1.016289,67.244940,12.642280,0.000000,417.872615,0.000000,45.235146,44.776114,6.112886,0.000000,62.950813,0.000000,0.000000,0.000000,0.000000,22.429640,21.518384,0.000000,48.448764,0.000000,27.101215,0.000000,123.890121,0.000000,0.000000,0.000000,6.93,0.000000,3.363787,3.44,3.393268,2.570658,2.10,142.278820,14.433938,3.65,1.856470,0.000000,279.946125,0.23,19.994085,0.000000,1.313349,1.78,1.696634,0.000000,0.000000,4.078779,1.94,2.680725,1.47,1.285329,2.001685,2.201510,0.00,0.98,2.92,5.089903,1.791457,0.19,0.000000,1.099695,0.00,0.000000,0.00,1.271619,0.000000,1.87,1.861130,1.877149,1.78,43.616137,0,0,0,0,0

5,01:00-01:15,0.000000,46.660082,0.000000,0.000000,8.812865,42.752489,35.210761,3.944705,17.465872,0.247105,0.000000,494.439158,47.978374,0.000000,0.000000,118.083735,0.000000,127.998795,0.000000,36.478524,0.000000,1.016289,47.071458,12.642280,0.000000,354.364237,0.000000,45.235146,44.776114,6.112886,0.000000,62.950813,0.000000,0.000000,0.000000,0.000000,22.429640,21.518384,0.000000,48.448764,0.000000,27.101215,0.000000,123.890121,0.000000,0.000000,0.000000,7.13,0.000000,3.363787,3.44,3.393268,2.570658,2.10,142.278820,14.467514,3.65,1.856470,0.000000,282.875794,0.23,19.994085,0.000000,1.313349,1.67,1.696634,0.000000,0.000000,4.078779,1.94,2.680725,1.47,1.285329,2.001685,2.201510,0.00,0.98,2.92,5.089903,1.791457,0.19,0.000000,1.099695,0.00,0.000000,0.00,1.271619,0.000000,1.87,1.861130,1.877149,1.78,43.616137,0,0,0,0,0

