Block,Time,L_NR_2019_19,L_NR_2012_01,SH-06,LT-31,L_NR_2012_02,L_NR_2020_02,L_NR_2012_04,LT-35,LT-59,LT-36,LT-05,L_NR_2022_10,L_NR_2018_61,L_NR_2021_13,L_NR_2019_07,L_NR_2022_09,L_NR_2020_06,L_NR_2021_16,L_NR_2020_05,LT_MEJA_Delhi,L_NR_2022_08,L_NR_2021_15,L_NR_2019_06,L_NR_2021_14,L_NR_2012_07,L_NR_2019_11,L_NR_2021_12,SH-07,L_NR_2019_05,L_NR_2021_17,L_NR_2020_07
1,00:00-00:15,0.000000,51.220000,30.930000,0.000000,101.480000,4.370000,271.830000,0.000000,3.580000,0.000000,70.540000,21.23,4.97,0,0,21.23,9.32,0,27.95,5.810000,6.89,0,0,0,36.400000,3.770000,0,30.930000,0,0,9.32

2,00:15-00:30,0.000000,51.220000,30.930000,0.000000,101.480000,4.370000,271.830000,0.000000,3.580000,0.000000,70.540000,19.68,4.66,0,0,19.68,9.21,0,27.62,5.810000,6.91,0,0,0,36.400000,3.770000,0,30.930000,0,0,9.21

3,00:30-00:45,0.000000,51.220000,30.930000,0.000000,101.480000,4.370000,231.960000,0.000000,3.580000,0.000000,70.540000,18.25,4.36,0,0,18.25,10.1,0,30.31,5.810000,5.94,0,0,0,36.400000,3.770000,0,30.930000,0,0,10.11

4,00:45-01:00,0.000000,51.220000,30.930000,0.000000,101.480000,4.370000,193.300000,0.000000,3.580000,0.000000,70.540000,16.76,4.22,0,0,16.76,10.03,0,30.08,5.810000,5.94,0,0,0,36.400000,3.770000,0,30.930000,0,0,10.02

5,01:00-01:15,0.000000,51.220000,30.930000,0.000000,101.480000,4.370000,149.500000,0.000000,3.580000,0.000000,70.540000,16.51,4.12,0,0,16.51,9.92,0,29.75,5.810000,5.91,0,0,0,36.400000,3.770000,0,30.930000,0,0,9.92

6,01:15-01:30,0.000000,51.220000,30.930000,0.000000,101.480000,4.370000,149.500000,0.000000,3.580000,0.000000,70.540000,16.25,3.9,0,0,16.25,9.91,0,29.73,5.810000,5.91,0,0,0,36.400000,3.770000,0,30.930000,0,0,9.9

7,01:30-01:45,0.000000,51.220000,30.930000,0.000000,101.480000,4.370000,149.500000,0.000000,3.580000,0.000000,70.540000,16,3.77,0,0,16,10.05,0,30.15,5.810000,5.87,0,0,0,36.400000,3.770000,0,30.930000,0,0,10.05

