Block,Time,BSIUL,DADRT2,NJPC,RIHAND3,SALAL,SINGRAULI,AURY_CRF,KGSU1AND2,KOTESHWR,NLCTS2EXP,RAMPUR,RIHAND2,SIMHST1,TALST2,UNCHAHAR1,ANTA_LF,DADRI_LF,KISHANGANGA,RIHAND1,RSTPSU7,SASAN,SINGRAULI_HYDRO,URI,VALLURNTECL,DADRI_RF,DULHASTI,JHAJJAR,KHSTPP-I,KKNPPU2,KUDGI,NAPP,RAPPB,TEHRI,UNCHAHAR3,CHAMERA2,DHAULIGNGA,TANDA2,UNCHAHAR2,URI2,DADRI_CRF,CHAMERA1,KGSU3AND4,NLCEXP,NNTPP,NTPL,PARBATI3,RAPPC,TANAKPUR,ANTA_RF,CHAMERA3,FSTPP I & II,KHSTPP-II,KKNP,KOLDAM,NLCIIST1,NLCIIST2,PARBATI2,RAPPD,SEWA2,SIMHST2,TALA,TelanganaSTPP,AURY_LF,BRBCL,MAPS,RSTPSU1TO6,UNCHAHAR4,ANTA_CRF,ANTA_GF,AURY_GF,AURY_RF,DADRI_GF
1,00:00-00:15,19.56,684.57,82.95,104.06,29.04,150.31,0,0,10.42,0,3.29,124.56,0,0,21.64,0,0,8.6,46.5,0,418.77,0.98,52.36,0,92.2,59.48,458.61,45.53,0,0,25.75,0,12.11,27.67,48.78,0,5.68,44.48,39.67,0,28.1,0,0,0,0,19.94,68.67,0.25,53.5,35.01,18.2,148.3,0,0,0,0,15.02,29.48,18.9,0,0,0,0,20,0,0,2.29,0,0,0,85.43,0

2,00:15-00:30,19.56,684.57,82.95,104.06,79.38,150.31,0,0,10.42,0,3.29,124.56,0,0,21.64,0,0,8.6,46.5,0,418.77,0.98,52.36,0,92.2,59.48,458.61,45.53,0,0,25.75,0,12.11,27.67,48.78,0,5.68,44.48,39.67,0,28.1,0,0,0,0,19.94,68.67,0.25,53.5,35.01,18.2,148.3,0,0,0,0,15.02,29.48,18.9,0,0,0,0,20,0,0,2.29,0,0,0,85.43,0

3,00:30-00:45,19.56,684.57,55.3,104.06,79.38,150.31,0,0,10.42,0,2.19,124.56,0,0,21.64,0,0,8.6,46.5,0,418.77,0.98,52.36,0,92.2,59.48,458.61,45.53,0,0,25.75,0,0,27.67,48.78,0,5.68,44.48,39.67,0,28.1,0,0,0,0,19.94,68.67,0.25,53.5,35.01,18.2,148.3,0,0,0,0,15.02,29.48,18.9,0,0,0,0,20,0,0,2.29,0,0,0,85.43,0

4,00:45-01:00,19.56,684.57,55.3,104.06,79.38,150.31,0,0,10.42,0,2.19,124.56,0,0,21.64,0,0,8.6,46.5,0,418.77,0.98,52.36,0,92.2,59.48,458.61,45.53,0,0,25.75,0,0,27.67,48.78,0,5.68,44.48,39.67,0,28.1,0,0,0,0,19.94,68.67,0.25,53.5,35.01,18.2,148.3,0,0,0,0,15.02,29.48,18.9,0,0,0,0,20,0,0,2.29,0,0,0,85.43,0

5,01:00-01:15,19.56,684.68,55.3,130.77,79.38,150.31,0,0,10.42,0,2.19,124.56,0,0,21.64,0,0,8.6,46.5,0,418.77,0.98,52.36,0,92.2,59.48,458.61,45.53,0,0,25.75,0,0,27.67,48.78,0,5.68,44.48,37.25,0,28.1,0,0,0,0,19.94,68.67,0.25,53.5,35.01,18.2,148.3,0,0,0,0,15.02,29.48,18.9,0,0,0,0,20,0,0,2.29,0,0,0,85.43,0

6,01:15-01:30,19.56,684.68,55.3,130.77,25.57,150.31,0,0,10.42,0,2.19,124.56,0,0,21.64,0,0,8.6,46.5,0,418.77,0.98,52.36,0,92.2,59.48,458.61,45.53,0,0,25.75,0,0,27.67,48.78,0,5.68,44.48,37.25,0,28.1,0,0,0,0,19.94,68.67,0.25,53.5,35.01,18.2,148.3,0,0,0,0,15.02,29.48,18.9,0,0,0,0,20,0,0,2.29,0,0,0,85.43,0

