Block,Time,CHAMERA3,KGSU1AND2,KISHANGANGA,KOTESHWR,NTPL,RIHAND1,RSTPSU1TO6,RSTPSU7,TANAKPUR,UNCHAHAR3,URI,DADRI_GF,BSIUL,CHAMERA2,DULHASTI,NJPC,NNTPP,SEWA2,UNCHAHAR1,VALLURNTECL,AURY_GF,DADRI_LF,FSTPP I & II,KUDGI,NAPP,NLCIIST1,RAMPUR,TANDA2,TEHRI,UNCHAHAR2,ANTA_LF,DADRT2,KGSU3AND4,KOLDAM,MAPS,SIMHST1,NLCEXP,NLCTS2EXP,RAPPB,SALAL,SIMHST2,TALA,TALST2,UNCHAHAR4,ANTA_GF,AURY_CRF,DADRI_RF,DHAULIGNGA,NLCIIST2,RAPPC,RIHAND3,SASAN,ANTA_CRF,DADRI_CRF,BRBCL,CHAMERA1,PARBATI3,RIHAND2,SINGRAULI,SINGRAULI_HYDRO,TelanganaSTPP,URI2,AURY_LF,AURY_RF,JHAJJAR,KHSTPP-I,KHSTPP-II,KKNP,KKNPPU2,ANTA_RF
1,00:00-00:15,0,0,0,8.88,0,92,0,0,1.79,26.39,1.11,0,0,0,16.48,0,0,0,20.56,0,0,23.57,18.2,0,43.46,0,0,0,0,20.14,0,683.14,0,0,0,0,0,0,0,2.33,0,0,0,0,0,71.46,5.48,0,0,53.43,124.32,339.75,44.83,41.1,20,0,0,118.75,125.96,0,0,4.31,0,0,654.3,32.78,148.3,0,0,0

2,00:15-00:30,0,0,0,8.88,0,92,0,0,1.79,26.39,1.11,0,0,0,16.48,0,0,0,20.56,0,0,23.57,18.2,0,43.46,0,0,0,0,20.14,0,683.14,0,0,0,0,0,0,0,2.33,0,0,0,0,0,71.46,5.48,0,0,53.43,124.32,339.75,44.83,41.1,20,0,0,118.75,125.96,0,0,4.31,0,0,654.3,32.78,148.3,0,0,0

3,00:30-00:45,0,0,0,8.88,0,92,0,0,1.79,26.39,1.11,0,0,0,16.48,0,0,0,20.56,0,0,23.57,18.2,0,43.46,0,0,0,0,20.14,0,683.14,0,0,0,0,0,0,0,2.33,0,0,0,0,0,71.46,5.48,0,0,53.43,124.32,339.75,44.83,41.1,20,0,0,118.75,125.96,0,0,4.31,0,0,654.3,32.78,148.3,0,0,0

4,00:45-01:00,0,0,0,8.88,0,92,0,0,1.79,26.39,1.11,0,0,0,16.48,0,0,0,20.56,0,0,23.57,18.2,0,43.46,0,0,0,0,20.14,0,683.14,0,0,0,0,0,0,0,2.33,0,0,0,0,0,71.46,5.48,0,0,53.43,124.32,339.75,44.83,41.1,20,0,0,118.75,125.96,0,0,4.31,0,0,654.3,32.78,148.3,0,0,0

5,01:00-01:15,0,0,0,8.88,0,92,0,0,5.76,26.39,1.11,0,0,0,16.48,0,0,0,20.56,0,0,23.57,18.2,0,43.46,0,0,0,0,20.14,0,683.14,0,0,0,0,0,0,0,2.33,0,0,0,0,0,71.46,5.48,0,0,53.43,124.32,339.75,44.83,41.1,20,0,0,118.75,125.96,0,0,4.31,0,0,654.3,32.78,148.3,0,0,0

6,01:15-01:30,0,0,0,8.88,0,92,0,0,5.76,26.39,1.11,0,0,0,16.48,0,0,0,20.56,0,0,23.57,18.2,0,43.46,0,0,0,0,20.14,0,683.14,0,0,0,0,0,0,0,2.33,0,0,0,0,0,71.46,5.48,0,0,53.43,124.32,339.75,44.83,41.1,20,0,0,118.75,125.96,0,0,4.31,0,0,654.3,32.78,148.3,0,0,0

7,01:30-01:45,0,0,0,8.88,0,92,0,0,5.76,26.39,1.11,0,0,0,16.48,0,0,0,20.56,0,0,23.57,18.2,0,43.46,0,0,0,0,20.14,0,683.14,0,0,0,0,0,0,0,2.33,0,0,0,0,0,71.46,5.48,0,0,53.43,124.32,339.75,44.83,41.1,20,0,0,118.75,125.96,0,0,4.31,0,0,654.3,32.78,148.3,0,0,0

8,01:45-02:00,0,0,0,8.88,0,92,0,0,5.76,26.39,1.11,0,0,0,16.48,0,0,0,20.56,0,0,23.57,18.2,0,43.46,0,0,0,0,20.14,0,683.14,0,0,0,0,0,0,0,2.33,0,0,0,0,0,71.46,5.48,0,0,53.43,124.32,339.75,44.83,41.1,20,0,0,118.75,125.96,0,0,4.31,0,0,654.3,32.78,148.3,0,0,0

9,02:00-02:15,0,0,0,8.88,0,92,0,0,5.76,26.39,1.11,0,0,0,16.48,0,0,0,20.56,0,0,23.57,18.2,0,43.46,0,0,0,0,20.14,0,683.14,0,0,0,0,0,0,0,2.33,0,0,0,0,0,71.46,5.48,0,0,53.43,124.32,339.75,44.83,41.1,20,0,0,118.75,125.96,0,0,4.31,0,0,654.3,32.78,148.3,0,0,0

10,02:15-02:30,0,0,0,8.88,0,92,0,0,5.76,26.39,1.11,0,0,0,16.48,0,0,0,20.56,0,0,23.57,18.2,0,43.46,0,0,0,0,20.14,0,683.14,0,0,0,0,0,0,0,2.33,0,0,0,0,0,71.46,5.48,0,0,53.43,124.32,339.75,44.83,41.1,20,0,0,118.75,125.96,0,0,4.31,0,0,654.3,32.78,148.3,0,0,0

11,02:30-02:45,0,0,0,8.88,0,92,0,0,5.76,26.39,1.11,0,0,0,16.48,0,0,0,20.56,0,0,23.57,18.2,0,43.46,0,0,0,0,20.14,0,683.14,0,0,0,0,0,0,0,2.33,0,0,0,0,0,71.46,5.48,0,0,53.43,124.32,339.75,44.83,41.1,20,0,0,118.75,125.96,0,0,4.31,0,0,654.3,32.78,148.3,0,0,0

12,02:45-03:00,0,0,0,8.88,0,92,0,0,5.76,26.39,1.11,0,0,0,16.48,0,0,0,20.56,0,0,23.57,18.2,0,43.46,0,0,0,0,20.14,0,683.14,0,0,0,0,0,0,0,2.33,0,0,0,0,0,71.46,5.48,0,0,53.43,124.32,339.75,45.05,41.1,20,0,0,118.75,125.96,0,0,4.31,0,0,654.3,32.78,148.3,0,0,0

13,03:00-03:15,0,0,0,8.88,0,92,0,0,0,26.39,1.11,0,0,0,16.48,0,0,0,20.56,0,0,23.57,18.2,0,43.46,0,0,0,0,20.14,0,683.14,0,0,0,0,0,0,0,9.29,0,0,0,0,0,71.46,5.48,0,0,53.43,124.32,339.75,45.05,41.1,20,0,0,118.75,125.96,0,0,4.31,0,0,654.3,32.78,148.3,0,0,0

14,03:15-03:30,0,0,0,8.88,0,92,0,0,0,26.39,1.11,0,0,0,16.48,0,0,0,20.56,0,0,23.57,18.2,0,43.46,0,0,0,0,20.14,0,683.14,0,0,0,0,0,0,0,41.83,0,0,0,0,0,71.46,5.48,0,0,53.43,124.32,339.75,45.05,41.1,20,0,0,118.75,125.96,0,0,4.31,0,0,654.3,32.78,148.3,0,0,0

15,03:30-03:45,0,0,0,8.88,0,92,0,0,0,26.39,1.11,0,0,0,16.48,0,0,0,20.56,0,0,23.57,17.38,0,43.46,0,0,0,0,20.14,0,683.14,0,0,0,0,0,0,0,41.83,0,0,0,0,0,71.46,5.48,0,0,53.43,124.32,339.75,45.05,41.1,20,0,0,118.75,125.96,0,0,4.31,0,0,654.3,32.78,148.3,0,0,0

16,03:45-04:00,0,0,0,8.88,0,92,0,0,0,26.39,1.11,0,0,0,16.48,0,0,0,20.56,0,0,23.57,17.38,0,43.46,0,0,0,0,20.14,0,683.14,0,0,0,0,0,0,0,41.83,0,0,0,0,0,71.46,5.48,0,0,53.43,124.32,339.75,45.05,41.1,20,0,0,118.75,125.96,0,0,4.31,0,0,654.3,32.78,148.3,0,0,0

17,04:00-04:15,0,0,0,8.88,0,92,0,0,0,26.39,1.11,0,0,0,16.48,0,0,0,20.56,0,0,23.57,17.38,0,43.46,0,0,0,0,20.14,0,683.14,0,0,0,0,0,0,0,41.83,0,0,0,0,0,71.46,5.48,0,0,53.43,124.32,339.75,45.05,41.1,20,0,0,118.75,125.96,0,0,4.31,0,0,654.3,32.78,148.3,0,0,0

18,04:15-04:30,0,0,0,8.88,0,92,0,0,0,26.39,1.11,0,0,0,16.48,0,0,0,20.56,0,0,23.57,17.38,0,43.46,0,0,0,0,20.14,0,683.14,0,0,0,0,0,0,0,9.29,0,0,0,0,0,71.46,5.48,0,0,53.43,124.32,339.75,45.05,41.1,20,0,0,118.75,125.96,0,0,4.31,0,0,654.3,32.78,148.3,0,0,0

19,04:30-04:45,0,0,0,8.88,0,92,0,0,0,26.39,1.11,0,0,0,16.48,0,0,0,20.56,0,0,23.57,17.38,0,43.46,0,0,0,0,20.14,0,683.14,0,0,0,0,0,0,0,1.4,0,0,0,0,0,71.46,5.48,0,0,53.43,124.32,339.75,45.25,41.1,20,0,0,118.75,125.96,0,0,4.31,0,0,654.3,32.78,148.3,0,0,0

20,04:45-05:00,0,0,0,8.88,0,92,0,0,0,26.39,1.11,0,0,0,16.48,20.83,0,0,20.56,0,0,23.57,17.38,0,43.46,0,0,0,0,20.14,0,683.14,0,0,0,0,0,0,0,1.4,0,0,0,0,0,71.46,5.48,0,0,53.43,124.32,339.75,45.25,41.1,20,0,0,118.75,125.96,0,0,4.31,0,0,654.3,32.78,148.3,0,0,0

21,05:00-05:15,0,0,0,8.88,0,92,0,0,5.76,26.39,1.11,0,0,0,16.48,46.79,0,0,20.56,0,0,23.57,17.38,0,43.46,0,0,0,0,20.14,0,683.14,0,0,0,0,0,0,0,1.4,0,0,0,0,0,71.46,5.48,0,0,53.43,124.32,339.75,45.25,41.1,20,0,0,118.75,125.96,0,0,4.31,0,0,654.3,32.78,148.3,0,0,0

22,05:15-05:30,0,0,0,8.88,0,92,0,0,5.76,26.39,1.11,0,0,0,16.48,46.79,0,0,20.56,0,0,23.57,17.38,0,43.46,0,0,0,0,20.14,0,683.14,0,0,0,0,0,0,0,1.4,0,0,0,0,0,71.46,5.48,0,0,53.43,124.32,339.75,45.25,41.1,20,0,0,118.75,125.96,0,0,4.31,0,0,654.3,32.78,148.3,0,0,0

23,05:30-05:45,9.67,0,0,8.88,0,92,0,0,5.76,26.39,1.11,0,0,0,32.95,70.17,0,0,20.56,0,0,23.57,17.38,0,43.46,0,0,0,0,20.14,0,683.14,0,0,0,0,0,0,0,1.4,0,0,0,0,0,71.46,5.48,9.14,0,53.43,124.32,339.75,45.25,41.1,20,0,0,118.75,125.96,0,0,4.31,0,0,654.3,32.78,148.3,0,0,0

24,05:45-06:00,9.67,0,0,8.88,0,92,0,0,5.76,26.39,1.11,0,0,0,32.95,70.17,0,0,20.56,0,0,23.57,17.38,0,43.46,0,0,0,15.56,20.14,0,683.14,0,0,0,0,0,0,0,1.4,0,0,0,0,0,71.46,5.48,9.14,0,53.43,124.32,339.75,45.05,41.1,20,0,0,118.75,125.96,0,0,4.31,0,0,654.3,32.78,148.3,0,0,0

25,06:00-06:15,9.67,0,0,17.75,0,92,0,0,1.15,26.39,1.11,0,0,3.33,32.95,70.17,0,0,20.56,0,0,23.57,17.38,0,43.46,0,0,0,31.12,20.14,0,683.14,0,0,0,0,0,0,0,1.4,0,0,0,0,0,70.8,5.48,9.14,0,53.43,124.32,339.75,45.25,41.1,20,0,3.82,118.75,125.96,0,0,4.31,0,0,654.3,33.99,148.3,0,0,0

26,06:15-06:30,9.67,0,0,26.63,0,92,0,0,1.15,26.39,1.11,0,2.2,13.17,32.95,93.56,0,5.27,20.56,0,0,23.57,17.38,0,43.46,0,0,0,46.68,20.14,0,683.14,0,0,0,0,0,0,0,1.4,0,0,0,0,0,70.8,5.48,9.14,0,53.43,124.32,339.75,45.25,41.1,20,0,16.55,118.75,125.96,0,0,4.31,0,0,654.3,33.99,148.3,0,0,0

27,06:30-06:45,19.38,0,0,39.83,0,92,0,0,1.15,26.39,1.11,0,13.04,26.34,32.95,113.64,0,10.53,20.56,0,0,23.57,17.38,0,43.46,0,0,0,62.24,20.14,0,683.14,0,0,0,0,0,0,0,1.4,0,0,0,0,0,70.8,5.48,9.14,0,53.43,124.32,339.75,45.25,41.1,20,14.05,16.55,118.75,125.96,0,0,4.31,0,0,654.3,35.2,148.3,0,0,0

28,06:45-07:00,19.38,0,0,39.83,0,92,0,0,1.15,26.39,1.11,0,13.04,26.34,32.95,140.35,0,15.81,20.56,0,0,23.57,17.38,0,43.46,0,0,0,62.24,20.14,0,683.14,0,0,0,0,0,0,0,1.4,0,0,0,0,0,70.8,5.48,15.98,0,53.43,124.32,339.75,45.47,41.1,20,14.05,16.55,118.75,125.96,0,0,4.31,0,0,654.3,35.2,148.3,0,0,0

29,07:00-07:15,19.38,0,0,39.83,0,92,0,0,1.15,26.39,11.04,0,13.04,26.34,32.95,140.35,0,15.81,20.56,0,0,23.57,17.38,0,43.46,0,0,0,62.24,20.14,0,683.14,0,0,0,0,0,0,0,1.4,0,0,0,0,0,70.8,5.48,34.61,0,53.43,124.32,339.75,45.47,41.1,20,14.05,16.55,118.75,125.96,0,0,4.31,0,0,654.3,36.42,148.3,0,0,0

30,07:15-07:30,19.38,0,0,39.83,0,92,0,0,1.15,26.39,26.49,0,13.04,26.34,32.95,140.35,0,15.81,20.56,0,0,23.57,17.38,0,43.46,0,0,0,62.24,20.14,0,683.14,0,0,0,0,0,0,0,1.4,0,0,0,0,0,70.8,5.48,36.55,0,53.43,124.32,339.75,45.47,41.1,20,14.05,16.55,118.75,125.96,0,0,4.31,0,0,654.3,37.63,148.3,0,0,0

