Column1,Time,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/11/01/9061,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,NR/01102023/31102037/L_NR_2019_11,NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/1868,GNA/NR/2024/11/01/5474,NR/01102023/22052037/LT-59,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_02,NR/01102023/06022042/L_NR_2012_07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/4503,NR/30092023/31122025/SH-07,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/3646,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,L_NR_2019_19,SR/01102023/07102043/L_NR_2018_61,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08
1,00:00-00:15,0,0,230.3,26.17,2.22,0,0,2.67,69.96,26.91,0,26.17,26.17,8.72,261.61,2.16,52.78,170.46,57.29,3.57,8.72,26.91,29.28,17.45,87.2,0,0,0,0,0,0,0,0,7,0,8.84,17.67,0,0,26.5,0,17.67,8.83,7.27

2,00:15-00:30,0,0,230.3,26.17,2.22,0,0,2.67,69.96,26.91,0,26.17,26.17,8.72,261.61,2.16,52.78,170.46,57.29,3.57,8.72,26.91,29.28,17.45,87.2,0,0,0,0,0,0,0,0,7,0,8.84,17,0,0,26.5,0,17,8.83,7.23

3,00:30-00:45,0,0,230.3,26.17,2.22,0,0,2.67,69.96,26.91,0,26.17,26.17,8.72,261.61,2.16,52.78,170.46,57.29,3.57,8.72,26.91,29.28,17.45,87.2,0,0,0,0,0,0,0,0,7,0,8.5,16.67,0,0,25.5,0,16.67,8.5,7.1

4,00:45-01:00,0,0,230.3,26.17,2.22,0,0,2.67,69.96,26.91,0,26.17,26.17,8.72,261.61,2.16,52.78,170.46,57.29,3.57,8.72,26.91,29.28,17.45,87.2,0,0,0,0,0,0,0,0,7,0,8.34,17.67,0,0,25,0,17.67,8.33,7

5,01:00-01:15,0,0,191.92,26.17,2.22,0,0,2.59,69.96,26.91,0,26.17,26.17,8.72,261.61,2.16,52.78,170.46,57.29,3.57,8.72,26.91,29.28,17.45,87.2,0,0,0,0,0,0,0,0,7,0,8.34,17.33,0,0,25,0,17.33,8.33,6.77

6,01:15-01:30,0,0,191.92,26.17,2.22,0,0,2.59,69.96,26.91,0,26.17,26.17,8.72,261.61,2.16,52.78,170.46,57.29,3.57,8.72,26.91,29.28,17.45,87.2,0,0,0,0,0,0,0,0,7,0,8.34,17,0,0,25,0,17,8.33,6.66

7,01:30-01:45,0,0,149.23,26.17,2.22,0,0,2.59,69.96,26.91,0,26.17,26.17,8.72,261.61,2.16,52.78,170.46,57.29,3.57,8.72,26.91,29.28,17.45,87.2,0,0,0,0,0,0,0,0,7,0,8.34,17.67,0,0,25,0,17.67,8.33,6.5

8,01:45-02:00,0,0,149.23,26.17,2.22,0,0,2.59,69.96,26.91,0,26.17,26.17,8.72,261.61,2.16,52.78,170.46,57.29,3.57,8.72,26.91,28.26,17.45,87.2,0,0,0,0,0,0,0,0,7,0,8.34,17.67,0,0,25,0,17.67,8.33,6.36

9,02:00-02:15,0,0,149.23,26.17,2.22,0,0,2.59,69.96,26.91,0,26.17,26.17,8.72,261.61,2.16,52.78,170.46,57.29,3.57,8.72,26.91,27.76,17.45,87.2,0,0,0,0,0,0,0,0,7,0,8.66,16.67,0,0,26,0,16.67,8.67,6.27

10,02:15-02:30,0,0,149.23,26.17,2.22,0,0,2.59,69.96,26.91,0,26.17,26.17,8.72,261.61,2.16,52.78,170.46,57.29,3.57,8.72,26.91,27.76,17.45,87.2,0,0,0,0,0,0,0,0,7,0,8.66,16.67,0,0,26,0,16.67,8.67,6.06

11,02:30-02:45,0,0,149.23,26.17,2.22,0,0,2.59,69.96,26.91,0,26.17,26.17,8.72,261.61,2.16,52.78,170.46,57.29,3.57,8.72,26.91,27.76,17.45,87.2,0,0,0,0,0,0,0,0,7,0,7.16,16.67,0,0,21.5,0,16.67,7.17,5.9

12,02:45-03:00,0,0,149.23,26.17,2.22,0,0,2.59,69.96,26.91,0,26.17,26.17,8.72,261.61,2.16,52.78,170.46,57.29,3.57,8.72,26.91,27.76,17.45,87.2,0,0,0,0,0,0,0,0,7,0,7,16.67,0,0,21,0,16.67,7,5.86

13,03:00-03:15,0,0,149.23,26.17,2.22,0,0,2.51,69.96,26.91,0,26.17,26.17,8.72,261.61,2.01,52.78,170.46,57.29,3.57,8.72,26.91,27.76,17.45,87.2,0,0,0,0,0,0,0,0,7,0,6.84,16.33,0,0,20.5,0,16.33,6.83,5.94

14,03:15-03:30,0,0,149.23,26.17,2.22,0,0,2.51,69.96,26.91,0,26.17,26.17,8.72,261.61,2.01,52.78,170.46,57.29,3.57,8.72,26.91,27.76,17.45,87.2,0,0,0,0,0,0,0,0,7,0,6.84,16.33,0,0,20.5,0,16.33,6.83,6.14

15,03:30-03:45,0,0,149.23,26.17,2.22,0,0,2.51,69.96,26.91,0,26.17,26.17,8.72,261.61,2.01,52.78,170.46,57.29,3.57,8.72,26.91,28.26,17.45,87.2,0,0,0,0,0,0,0,0,7,0,6.84,16.33,0,0,20.5,0,16.33,6.83,6.1

16,03:45-04:00,0,0,172.73,26.17,2.22,0,0,2.51,69.96,26.91,0,26.17,26.17,8.72,261.61,2.01,52.78,170.46,57.29,3.57,8.72,26.91,28.26,17.45,87.2,0,0,0,0,0,0,0,0,7,0,6.84,17,0,0,20.5,0,17,6.83,6.3

17,04:00-04:15,0,0,172.73,26.17,2.22,0,0,2.51,69.96,26.91,0,26.17,26.17,8.72,261.61,2.01,52.78,170.46,57.29,3.57,8.72,26.91,28.26,17.45,87.2,0,0,0,0,0,0,0,0,7,0,6.66,17.33,0,0,20,0,17.33,6.67,6.44

18,04:15-04:30,0,0,172.73,26.17,2.22,0,0,2.51,69.96,26.91,0,26.17,26.17,8.72,261.61,2.01,52.78,170.46,57.29,3.57,8.72,26.91,28.26,17.45,87.2,0,0,0,0,0,0,0,0,7,0,6.66,17.67,0,0,20,0,17.67,6.67,6.7

19,04:30-04:45,0,0,172.73,26.17,2.22,0,0,2.51,69.96,26.91,0,26.17,26.17,8.72,261.61,2.01,52.78,170.46,57.29,3.57,8.72,26.91,28.26,17.45,87.2,0,0,0,0,0,0,0,0,7,0,6.66,18,0,0,20,0,18,6.67,7.36

20,04:45-05:00,0,0,172.73,26.17,2.22,0,0,2.51,69.96,26.91,0,26.17,26.17,8.72,261.61,2.01,52.78,170.46,57.29,3.57,8.72,26.91,28.26,17.45,87.2,0,0,0,0,0,0,0,0,7,0,6.66,18.33,0,0,20,0,18.33,6.67,7.66

21,05:00-05:15,0,0,191.92,26.17,2.22,0,0,2.45,69.96,26.91,0,26.17,26.17,8.72,261.61,2.01,52.78,181.02,57.29,3.48,8.72,26.91,28.26,17.45,87.2,0,0,0,0,0,0,0,0,7.2,0,6.66,17.67,0,0,20,0,17.67,6.67,7.86

22,05:15-05:30,0,0,230.3,26.17,2.22,0,0,2.45,69.96,26.91,0,26.17,26.17,8.72,261.61,2.01,52.78,186.78,57.29,3.48,8.72,26.91,28.26,17.45,87.2,0,0,0,0,0,0,0,0,7.8,0,6.84,17,0,0,20.5,0,17,6.83,7.73

23,05:30-05:45,0,0,271.33,26.17,2.22,0,0,2.45,69.96,26.91,0,26.17,26.17,8.72,261.61,2.01,52.78,191.57,75.64,3.48,8.72,26.91,27.76,17.45,87.2,0,0,0,0,0,0,0,0,8,0,6.84,16.33,0,0,20.5,0,16.33,6.83,7.56

24,05:45-06:00,0,0,271.33,26.17,2.22,0,0,2.45,69.96,26.91,0,26.17,26.17,8.72,261.61,2.01,52.78,186.78,75.64,3.48,8.72,26.91,27.76,17.45,87.2,0,0,0,0,0,0,0,0,8.2,0,6.84,15.33,0,0,20.5,0,15.33,6.83,7.44

25,06:00-06:15,0,0,271.33,26.17,2.22,0,0,2.45,69.96,26.91,0,26.17,26.17,8.72,0,2.08,52.78,186.78,75.64,3.48,8.72,26.91,27.76,17.45,0,0,0,0,0,0,0,1,0,8.4,0,7.16,14,0.83,0.85,21.5,1.84,14,7.17,7.5

26,06:15-06:30,0,0,271.33,26.17,2.22,0,0,2.45,69.96,26.91,0,26.17,26.17,8.72,0,2.08,52.78,204.92,86.56,3.48,8.72,26.91,27.25,17.45,0,1,0,0,0,0,0,2,0,8.6,0,7.16,13.33,2.51,5.5,21.5,3.98,13.33,7.17,7.56

27,06:30-06:45,0,0,271.33,26.17,2.22,0.3,0.31,2.45,69.96,26.91,0.3,26.17,26.17,8.72,0,2.08,52.78,204.92,86.56,3.48,8.72,26.91,26.25,17.45,0,3,0.01,0,0,0,0,5,0.08,7,0,7.16,18.33,10.35,11.44,21.5,8.85,18.33,7.17,7.5

28,06:45-07:00,0,0,271.33,26.17,2.22,0.69,0.71,2.45,69.96,26.91,0.69,26.17,26.17,8.72,0,2.08,52.78,204.92,86.56,3.48,8.72,26.91,25.24,17.45,0,4,0.2,0,0,1,1,8,4.41,7,0.04,7,17.67,20.15,20.35,21,17.65,17.67,7,7.3

29,07:00-07:15,0,0,271.33,26.17,2.17,1.28,1.32,2.37,69.96,26.91,1.28,26.17,26.17,8.72,0,2.08,52.78,204.92,86.56,3.48,8.72,26.91,25.24,17.45,0,5,2.96,1,2,3,4,10,11.37,7,0.59,6.66,16.67,27.5,27.5,20,27.5,16.67,6.67,6.9

30,07:15-07:30,0,0,271.33,26.17,2.17,2.15,2.2,2.37,69.96,26.91,2.15,26.17,26.17,8.72,0,2.08,64.29,204.92,86.56,3.48,8.72,26.91,25.24,17.45,0,7,11.43,4,5,7,11,15,19.31,7,2.28,6.66,16,29.77,29.77,20,29.76,16,6.67,6.53

31,07:30-07:45,0,0,271.33,26.17,2.17,2.98,3.06,2.37,69.96,26.91,2.98,26.17,26.17,8.72,0,2.08,78.69,204.92,86.56,3.48,8.72,26.91,24.23,17.45,0,9,25.78,9,7,12,21,18,27.85,7,5.16,6.66,15,31.83,31.83,20,31.84,15,6.67,6.66

32,07:45-08:00,0,0,271.33,26.17,2.17,3.89,3.98,2.37,69.96,26.91,3.89,26.17,26.17,8.72,0,2.08,52.78,204.92,75.64,3.48,8.72,26.91,24.23,17.45,0,12,44.7,13,8,17,32,25,36.79,7,8.94,6.66,14.33,32.67,32.67,20,32.66,14.33,6.67,6.66

33,08:00-08:15,0,0,271.33,37.42,2.17,4.92,5.04,2.29,69.96,26.91,4.92,28.79,28.79,8.72,0,2.08,52.78,204.92,57.29,3.48,8.72,26.91,24.23,17.45,0,13,64.61,18,13,23,42,27,45.72,11,12.92,6.66,13.33,33,33,20,33,13.33,6.67,6.66

34,08:15-08:30,0,0,271.33,37.42,2.17,5.97,6.11,2.29,69.96,26.91,5.97,28.79,28.79,8.72,0,2.08,52.78,204.92,57.29,3.48,8.72,26.91,24.23,17.45,0,16,85.37,24,17,31,56,34,54.72,11.61,17.07,6.66,13.33,33,33,20,33,13.33,6.67,6.66

35,08:30-08:45,0,0,271.33,37.42,2.17,7.22,7.39,2.29,69.96,26.91,7.22,28.79,28.79,8.72,0,2.08,52.78,186.78,57.29,3.48,8.72,26.91,25.24,17.45,0,19,106.68,28,22,39,67,41,63.23,11.41,21.34,6.66,13.33,33,33,20,33,13.33,6.67,6.66

