Block,Time,DHAULIGNGA,DULHASTI,DADRT2,CHAMERA3,CHAMERA2,UNCHAHAR3,UNCHAHAR2,URI2,UNCHAHAR4,UNCHAHAR1,KISHANGANGA,RAPPC,NAPP,JHAJJAR,KOTESHWR,SINGRAULI_HYDRO,RIHAND3,TEHRI,PARBATI3,KOLDAM,SINGRAULI,RAMPUR,RIHAND2,TANDA2,NJPC,RIHAND1,SEWA2,CHAMERA1,BSIUL,URI,TANAKPUR,SALAL,RAPPB,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,NNTPP,NTPL,RSTPSU1TO6,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,MAPS,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,RSTPSU7,VALLURNTECL,SIMHST1,SIMHST2,TALST2,KHSTPP-I,KHSTPP-II,TALA,BRBCL,FSTPP I & II,SASAN
1,00:00-00:15,36.5917,49.436556,686.779957,29.062808,39.51012,25.6866,41.403,32.41932,0,19.414,0,52.029,38.982,653.1525,28.594,0.9565,123.665625,67.536,0,0,102.75,0,118.125,0,153.6034,92,15.804048,42.66,13.0416,33.12,11.1447,85.988,0,0,33.6,0,0,0,63.568,0,0,0,60.816,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,32.778,98.34375,26.46,10.0009,13.622,348.975

2,00:15-00:30,36.5917,49.436556,686.779957,29.062808,39.51012,25.6866,41.403,32.41932,0,19.414,0,52.029,38.982,653.1525,28.594,0.9565,123.665625,67.536,0,0,102.75,0,118.125,0,153.6034,92,15.804048,42.66,13.0416,33.12,11.1447,85.988,0,0,33.6,0,0,0,63.568,0,0,0,60.816,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,32.778,98.34375,26.46,10.0009,13.622,348.975

3,00:30-00:45,36.5917,49.436556,686.779957,29.062808,39.51012,25.6866,41.403,31.6122,0,19.414,0,52.029,38.982,653.1525,28.594,0.9565,123.665625,67.536,0,0,102.75,0,118.125,0,153.6034,92,15.804048,42.66,13.0416,33.12,11.1447,85.988,0,0,33.6,0,0,0,63.568,0,0,0,60.816,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,32.778,98.34375,26.46,10.0009,13.622,348.975

4,00:45-01:00,36.5917,49.436556,686.779957,29.062808,39.51012,25.6866,41.403,31.6122,0,19.414,0,52.029,38.982,653.1525,28.594,0.9565,123.665625,67.536,0,0,102.75,0,118.125,0,153.6034,92,15.804048,42.66,13.0416,33.12,11.1447,85.988,0,0,33.6,0,0,0,63.568,0,0,0,60.816,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,32.778,98.34375,26.46,10.0009,13.622,348.975

5,01:00-01:15,36.5917,49.436556,686.779957,29.062808,39.51012,25.6866,41.403,31.6122,0,19.414,0,52.029,38.982,653.1525,28.594,0.9565,123.665625,67.536,0,0,102.75,0,118.125,0,153.6034,92,10.55736,42.66,13.0416,33.12,11.1447,85.988,0,0,33.6,0,0,0,63.568,0,0,0,60.816,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,32.778,98.34375,26.46,10.0009,13.622,348.975

6,01:15-01:30,36.5917,49.436556,686.779957,29.062808,39.51012,25.6866,41.403,31.6122,0,19.414,0,52.029,38.982,653.1525,28.594,0.9565,123.665625,67.536,0,0,102.75,0,118.125,0,153.6034,92,10.55736,42.66,13.0416,33.12,11.1447,85.988,0,0,33.6,0,0,0,63.568,0,0,0,60.816,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,32.778,98.34375,26.46,10.0009,13.622,348.975

7,01:30-01:45,36.5917,49.436556,686.779957,29.062808,39.51012,25.6866,41.403,31.6122,0,19.414,0,52.029,38.982,653.1525,28.594,0.9565,123.665625,67.536,0,0,102.75,0,118.125,0,153.6034,92,10.55736,42.66,13.0416,33.12,13.1943,85.988,0,0,34.65,0,0,0,63.568,0,0,0,60.816,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,32.778,98.34375,26.46,10.0009,13.622,348.975

8,01:45-02:00,36.5917,49.436556,686.779957,29.062808,39.51012,25.6866,41.403,31.6122,0,19.414,0,52.029,38.982,653.1525,28.594,0.9565,123.665625,67.536,0,0,102.75,0,118.125,0,153.6034,92,10.55736,42.66,13.0416,37.536,13.1943,85.988,0,0,34.65,0,0,0,63.568,0,0,0,60.816,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,32.778,98.34375,26.46,10.0009,13.622,348.975

9,02:00-02:15,36.5917,49.436556,686.779957,29.062808,39.51012,25.6866,41.403,32.41932,0,19.414,0,52.029,38.982,653.1525,28.594,0.9565,123.665625,67.536,0,0,102.75,0,118.125,0,153.6034,92,10.55736,42.66,13.0416,37.536,13.1943,85.988,0,0,34.65,0,0,0,63.568,0,0,0,60.816,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,32.778,98.34375,26.46,10.0009,13.622,348.975

10,02:15-02:30,36.5917,49.436556,686.779957,29.062808,39.51012,25.6866,41.403,32.41932,0,19.414,0,52.029,38.982,653.1525,28.594,0.9565,123.665625,67.536,0,0,102.75,0,118.125,0,153.6034,92,10.55736,42.66,13.0416,33.12,13.1943,85.988,0,0,34.65,0,0,0,63.568,0,0,0,60.816,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,32.778,98.34375,26.46,10.0009,13.622,348.975

11,02:30-02:45,36.5917,49.436556,686.779957,29.062808,39.51012,25.6866,41.403,31.6122,0,19.414,0,52.029,38.982,653.1525,35.496,0.9565,123.665625,67.536,0,0,102.75,0,118.125,0,153.6034,92,10.55736,42.66,13.0416,33.12,13.1943,85.988,0,0,34.65,0,0,0,63.568,0,0,0,60.816,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,32.778,98.34375,26.46,10.0009,13.622,348.975

12,02:45-03:00,36.5917,49.436556,686.779957,29.062808,39.51012,25.6866,41.403,31.6122,0,19.414,0,52.029,38.982,653.1525,35.496,0.9565,123.665625,67.536,0,0,102.75,0,118.125,0,153.6034,92,10.55736,42.66,13.0416,33.12,13.1943,85.988,0,0,34.65,0,0,0,63.568,0,0,0,60.816,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,32.778,98.34375,26.46,10.0009,13.622,348.975

13,03:00-03:15,36.5917,49.436556,686.779957,29.062808,39.51012,25.6866,41.403,31.6122,0,19.414,0,52.029,38.982,653.1525,35.496,0.9565,123.665625,67.536,0,0,102.75,0,118.125,0,153.6034,92,10.55736,42.66,13.0416,33.12,12.0414,83.664,0,0,0,0,35.7,0,63.568,0,0,0,60.816,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,32.778,98.34375,26.46,10.0009,13.622,348.975

14,03:15-03:30,36.5917,49.436556,686.779957,29.062808,39.51012,25.6866,41.403,31.6122,0,19.414,0,52.029,38.982,653.1525,35.496,0.9565,123.665625,67.536,0,0,102.75,0,118.125,0,153.6034,92,10.55736,42.66,13.0416,33.12,12.0414,83.664,0,0,0,0,35.7,0,63.568,0,0,0,60.816,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,32.778,98.34375,26.46,10.0009,13.622,348.975

