Block,Time,UNCHAHAR2,RAMPUR,AURY_GF,ANTA_GF,ANTA_RF,UNCHAHAR4,UNCHAHAR3,BSIUL,NAPP,URI2,DHAULIGNGA,RAPPB,DULHASTI,AURY_CRF,AURY_LF,SINGRAULI_HYDRO,CHAMERA2,TANAKPUR,DADRT2,AURY_RF,PARBATI3,SALAL,CHAMERA1,KOTESHWR,RIHAND1,RIHAND3,CHAMERA3,NJPC,DADRI_RF,ANTA_CRF,SEWA2,RIHAND2,KOLDAM,ANTA_LF,KISHANGANGA,TANDA2,DADRI_LF,UNCHAHAR1,URI,DADRI_GF,TEHRI,SINGRAULI,DADRI_CRF,RAPPC,JHAJJAR,FSTPP I & II,KHSTPP-II,BRBCL,KHSTPP-I,TALA,KUDGI,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,40.961554,0.000000,0.000000,0.000000,0.000000,0.000000,25.500754,0.000000,39.422721,30.822440,17.615456,0.000000,47.770544,0.000000,0.000000,0.757898,11.592701,12.663004,660.114860,0.000000,0.000000,23.579653,0.000000,8.574946,69.573600,119.498093,0.000000,37.976073,0.000000,0.000000,0.000000,56.006651,0.000000,0.000000,0.000000,0.000000,0.000000,19.311506,10.667952,0.000000,43.831368,99.649688,0.000000,25.137811,420.765672,11.018320,95.029566,14.777332,28.737762,27.556943,9.66,337.214542,0,0,0,0,0

2,00:15-00:30,40.961554,0.000000,0.000000,0.000000,0.000000,0.000000,25.500754,0.000000,39.422721,30.822440,17.615456,0.000000,47.770544,0.000000,0.000000,0.757898,11.592701,12.663004,660.114860,0.000000,0.000000,23.579653,0.000000,8.574946,69.573600,119.498093,0.000000,37.976073,0.000000,0.000000,0.000000,56.006651,0.000000,0.000000,0.000000,0.000000,0.000000,19.311506,10.667952,0.000000,29.220912,99.649688,0.000000,25.137811,420.765672,11.018320,95.029566,16.573842,28.737762,27.556943,9.66,337.214542,0,0,0,0,0

3,00:30-00:45,40.961554,0.000000,0.000000,0.000000,0.000000,0.000000,25.500754,0.000000,39.422721,30.822440,17.615456,0.000000,47.770544,0.000000,0.000000,0.757898,11.592701,12.663004,660.114860,0.000000,0.000000,23.579653,0.000000,8.574946,69.573600,119.498093,0.000000,37.976073,0.000000,0.000000,0.000000,56.006651,0.000000,0.000000,0.000000,0.000000,0.000000,19.311506,10.667952,0.000000,14.610456,99.649688,0.000000,25.137811,424.159897,11.018320,95.029566,16.987592,28.737762,27.556943,9.66,337.214542,0,0,0,0,0

4,00:45-01:00,40.961554,0.000000,0.000000,0.000000,0.000000,0.000000,25.500754,0.000000,39.422721,30.822440,17.615456,0.000000,47.770544,0.000000,0.000000,0.757898,11.592701,12.663004,660.114860,0.000000,0.000000,23.579653,0.000000,8.574946,69.573600,119.498093,0.000000,37.976073,0.000000,0.000000,0.000000,56.006651,0.000000,0.000000,0.000000,0.000000,0.000000,19.311506,10.667952,0.000000,0.000000,99.649688,0.000000,25.137811,424.159897,11.018320,95.029566,16.987592,28.737762,27.556943,9.66,337.214542,0,0,0,0,0

5,01:00-01:15,40.961554,0.000000,0.000000,0.000000,0.000000,0.000000,25.500754,0.000000,39.422721,10.398934,17.615456,0.000000,47.770544,0.000000,0.000000,0.757898,0.000000,12.663004,660.114860,0.000000,0.000000,12.912667,0.000000,8.574946,69.573600,119.498093,0.000000,37.976073,0.000000,0.000000,0.000000,56.006651,0.000000,0.000000,0.000000,0.000000,0.000000,19.311506,10.667952,0.000000,0.000000,99.649688,0.000000,25.137811,424.159897,11.018320,95.029566,16.965194,28.737762,27.556943,0.00,337.214542,0,0,0,0,0

6,01:15-01:30,40.961554,0.000000,0.000000,0.000000,0.000000,0.000000,25.500754,0.000000,39.422721,9.099067,17.615456,0.000000,47.770544,0.000000,0.000000,0.757898,0.000000,12.663004,660.114860,0.000000,0.000000,12.912667,0.000000,8.574946,69.573600,119.498093,0.000000,37.976073,0.000000,0.000000,0.000000,56.006651,0.000000,0.000000,0.000000,0.000000,0.000000,19.311506,46.938989,0.000000,0.000000,99.649688,0.000000,25.137811,424.159897,11.018320,95.029566,16.987592,28.737762,27.556943,0.00,337.214542,0,0,0,0,0

