Block,Time,SINGRAULI_HYDRO,DULHASTI,CHAMERA1,SALAL,URI2,RIHAND1,RAPPB,ANTA_RF,RAPPC,BSIUL,TEHRI,TANDA2,ANTA_GF,JHAJJAR,UNCHAHAR2,DADRT2,DADRI_RF,UNCHAHAR4,PARBATI3,DADRI_GF,ANTA_LF,RIHAND2,KOLDAM,UNCHAHAR1,NJPC,SEWA2,CHAMERA2,AURY_GF,DADRI_LF,DADRI_CRF,KOTESHWR,AURY_RF,URI,SINGRAULI,DHAULIGNGA,KISHANGANGA,NAPP,CHAMERA3,RAMPUR,UNCHAHAR3,ANTA_CRF,TANAKPUR,RIHAND3,AURY_CRF,AURY_LF,BRBCL,KHSTPP-II,KHSTPP-I,TALA,FSTPP I & II,SASAN,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,15.854185,41.183964,82.451918,31.297612,88.816800,0.000000,0.000000,49.003704,6.371640,53.521776,0.000000,0.000000,630.553424,40.923403,663.017371,0.000000,0.000000,0.000000,0.000000,0.000000,114.037875,0.000000,18.742276,147.648759,15.257228,0.000000,0.000000,0.000000,0.000000,23.416356,0.000000,45.829469,134.489874,35.325627,0.000000,37.530118,28.397762,0.000000,25.477003,0.000000,11.377432,119.386793,0.000000,0.000000,14.480989,94.937436,29.299890,26.963622,13.756950,401.847750,90.51,0,0,0,0,0

2,00:15-00:30,0.000000,15.854185,41.183964,82.451918,31.297612,88.816800,0.000000,0.000000,49.003704,12.743280,53.521776,0.000000,0.000000,630.553424,40.923403,663.017371,0.000000,0.000000,0.000000,0.000000,0.000000,114.037875,0.000000,18.742276,147.648759,15.257228,0.000000,0.000000,0.000000,0.000000,23.416356,0.000000,45.829469,134.489874,35.325627,0.000000,37.530118,28.397762,0.000000,25.477003,0.000000,11.377432,119.386793,0.000000,0.000000,14.480989,94.937436,29.299890,26.963622,13.756950,401.847750,90.51,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,41.183964,82.451918,31.297612,88.816800,0.000000,0.000000,49.003704,19.114920,53.521776,0.000000,0.000000,630.553424,40.923403,663.017371,0.000000,0.000000,0.000000,0.000000,0.000000,114.037875,0.000000,18.742276,147.648759,15.257228,0.000000,0.000000,0.000000,0.000000,23.416356,0.000000,45.829469,134.489874,35.325627,0.000000,37.530118,28.397762,0.000000,25.477003,0.000000,11.377432,119.386793,0.000000,0.000000,14.460515,94.937436,29.299890,26.963622,13.756950,401.847750,90.51,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,41.183964,82.451918,31.297612,88.816800,0.000000,0.000000,49.003704,19.114920,53.521776,0.000000,0.000000,630.553424,40.923403,663.017371,0.000000,0.000000,0.000000,0.000000,0.000000,114.037875,0.000000,18.742276,147.648759,15.257228,0.000000,0.000000,0.000000,0.000000,23.416356,0.000000,45.829469,134.489874,35.325627,0.000000,37.530118,28.397762,0.000000,25.477003,0.000000,12.119439,119.386793,0.000000,0.000000,12.984816,94.937436,29.299890,26.963622,13.756950,401.847750,90.51,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,41.183964,82.451918,30.793734,88.816800,0.000000,0.000000,49.003704,19.114920,53.521776,0.000000,0.000000,630.553424,40.923403,663.017371,0.000000,0.000000,0.000000,0.000000,0.000000,114.037875,0.000000,18.742276,147.648759,15.257228,0.000000,0.000000,0.000000,0.000000,23.416356,0.000000,45.829469,134.489874,35.325627,0.000000,37.530118,28.397762,0.000000,25.477003,0.000000,12.119439,119.386793,0.000000,0.000000,14.480989,94.937436,29.299890,26.963622,13.756950,401.847750,90.51,0,0,0,0,0

6,01:15-01:30,0.000000,0.000000,41.183964,82.451918,30.793734,88.816800,0.000000,0.000000,49.003704,19.114920,53.521776,0.000000,0.000000,630.553424,40.923403,663.017371,0.000000,0.000000,0.000000,0.000000,0.000000,114.037875,0.000000,18.742276,147.648759,15.257228,0.000000,0.000000,0.000000,0.000000,23.416356,0.000000,45.829469,134.489874,35.325627,0.000000,37.530118,28.397762,0.000000,25.477003,0.000000,12.119439,119.386793,0.000000,0.000000,14.480989,94.937436,29.299890,26.963622,13.756950,401.847750,90.51,0,0,0,0,0

7,01:30-01:45,0.000000,15.854185,41.183964,82.451918,30.793734,88.816800,0.000000,0.000000,49.003704,19.114920,53.521776,0.000000,0.000000,630.553424,40.923403,663.017371,0.000000,0.000000,0.000000,0.000000,0.000000,114.037875,0.000000,18.742276,147.648759,15.257228,0.000000,0.000000,0.000000,0.000000,23.416356,0.000000,45.829469,134.489874,35.325627,0.000000,37.530118,28.397762,0.000000,25.477003,0.000000,12.119439,119.386793,0.000000,0.000000,13.965852,94.937436,29.852210,25.544484,13.756950,401.847750,90.51,0,0,0,0,0

8,01:45-02:00,0.000000,15.854185,41.183964,82.451918,30.793734,88.816800,0.000000,0.000000,49.003704,19.114920,53.521776,0.000000,0.000000,630.553424,40.923403,663.017371,0.000000,0.000000,0.000000,0.000000,0.000000,114.037875,0.000000,18.742276,147.648759,15.257228,0.000000,0.000000,0.000000,0.000000,23.416356,0.000000,50.092675,134.489874,35.325627,0.000000,37.530118,28.397762,0.000000,25.477003,0.000000,12.119439,119.386793,0.000000,0.000000,12.410098,94.937436,29.885888,25.544484,13.756950,401.847750,90.51,0,0,0,0,0

