Column1,Time,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/07/01/1192,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/07/16/5917,NR/01102023/31102037/L_NR_2019_11,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_36,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),L_NR_2019_19,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/30092023/31122025/SH-07,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/07/01/8128,GNARE/NR/2024/12/20/3668,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/1044,GNA/NR/2025/06/07/5932,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/8154,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/07/23/7329,NR/01102023/22052037/LT-59,GNA/NR/2025/07/01/2952,GNA/NR/2025/07/16/7255,NR/01102023/06022042/L_NR_2012_07,NR/01102023/19072037/LT-05,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/2786,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,GNARE/SR/2025/01/13/4532,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16
1,00:00-00:15,25.23,49.15,100.41,81.92,0,32,0,58.99,0,0,55,0,19.67,19.67,21.67,55,0,0,0,130.4,0,0,12.67,0,0,3.24,-0,15.28,19.28,20.79,271.07,135.17,0,4.01,163.85,86.93,115.62,0,43.8,0,0,0,0,0,0,33.05,0,0

2,00:15-00:30,25.23,49.15,100.41,81.92,0,32,0,59.51,0,0,55,0,19.83,19.83,21.67,55,0,0,0,130.4,0,0,12.67,0,0,3.24,-0,15.28,19.28,20.79,271.07,135.17,0,4.01,163.85,86.93,115.62,0,43.8,0,0,0,0,0,0,33.47,0,0

3,00:30-00:45,25.23,49.15,100.41,81.92,0,26.93,0,60,0,0,55,0,20,20,21.67,55,0,26.93,0,130.4,0,0,12.67,0,0,3.24,-0,15.28,19.28,20.79,271.07,135.17,0,4.01,163.85,86.93,115.62,0,43.8,0,0,0,0,0,0,29.41,0,0

4,00:45-01:00,25.23,49.15,100.41,81.92,0,26.93,0,60,0,0,55,0,20,20,21.67,55,0,26.93,0,125.37,0,0,12.67,0,0,3.24,-0,15.28,19.28,20.79,271.07,135.17,0,4.01,163.85,67.01,70.28,0,43.8,0,0,0,0,0,0,29.01,0,0

5,01:00-01:15,26.24,49.15,100.41,81.92,0,26.93,0,60.49,0,0,55,0,20.17,20.17,21.67,55,0,26.93,0,130.4,0,0,12.67,0,0,3.24,-0,15.28,19.28,20.79,271.07,135.17,0,4.01,163.85,86.93,70.28,0,43.8,0,0,0,0,0,0,28.61,0,0

6,01:15-01:30,26.24,49.15,100.41,81.92,0,26.93,0,61.01,0,0,55,0,20.33,20.33,21.67,55,0,26.93,0,130.4,0,0,12.67,0,0,3.24,-0,15.28,19.28,20.79,271.07,135.17,0,4.01,163.85,86.93,70.28,0,43.8,0,0,0,0,0,0,27.61,0,0

7,01:30-01:45,26.24,49.15,100.41,81.92,0,26.93,0,61.01,0,0,55,0,20.33,20.33,20,55,0,26.93,0,130.4,0,0,12.67,0,0,3.24,-0,15.28,19.28,20.79,271.07,135.17,0,4.01,163.85,85.33,70.28,0,43.8,0,0,0,0,0,0,27.41,0,0

8,01:45-02:00,26.24,49.15,100.41,81.92,0,26.93,0,61.5,0,0,55,0,20.5,20.5,20,55,0,26.93,0,130.4,0,0,12.67,0,0,3.24,-0,15.28,19.28,20.79,271.07,135.17,0,4.01,163.85,85.35,70.28,0,43.8,0,0,0,0,0,0,27.21,0,0

