Column1,Time,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,SR/01102023/07102043/L_NR_2018_61,WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/7196,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/7119,NR/01102023/30042040/GNA_LT_36,NR/01082024/30092024/LT_MEJA_DELHI,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/2171,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_35,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/6566,NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13
1,00:00-00:15,39,34.33,0,13.34,0,0,13,34.33,36.01,13,0,70.59,75.54,25.56,41.16,29.27,14.05,41.16,32.93,24.8,0,0,18.4,82.32,1.94,89.32,32,0,0,273.84,0,0,4.94,226.58,12.47,82.32,20.58,0,0,0,0,0,0,0,0

2,00:15-00:30,38.5,35.67,0,13.34,0,0,12.84,35.67,35.81,12.83,0,70.59,75.54,25.56,41.16,29.27,14.05,41.16,32.93,24.8,0,0,18.4,82.32,1.94,89.32,32,0,0,273.84,0,0,4.94,199.51,12.47,82.32,20.58,0,0,0,0,0,0,0,0

3,00:30-00:45,38.5,36.33,0,13.34,0,0,12.84,36.33,35.42,12.83,0,70.59,71.48,26.87,41.16,29.27,14.05,41.16,32.93,24.8,0,0,18.4,82.32,1.94,47.46,26.87,0,0,273.84,0,0,4.94,170.46,12.47,82.32,20.58,0,0,0,0,0,0,0,0

4,00:45-01:00,38.5,37,0,10,0,0,12.84,37,28.61,12.83,0,70.59,71.48,26.87,41.16,29.27,14.05,41.16,32.93,24.8,0,0,18.4,82.32,1.94,47.46,26.87,0,0,273.84,0,0,4.94,170.46,12.47,82.32,20.58,0,0,0,0,0,0,0,0

5,01:00-01:15,38.5,37.33,0,10,0,0,12.84,37.33,28.21,12.83,0,70.59,75.54,26.87,41.16,29.27,14.05,41.16,32.93,24.8,0,0,18.4,82.32,1.94,47.46,26.87,0,0,273.84,0,0,4.94,170.46,12.47,82.32,20.58,0,0,0,0,0,0,0,0

6,01:15-01:30,39,37.67,0,10.34,0,0,13,37.67,27.81,13,0,70.59,75.54,26.87,41.16,29.27,14.05,41.16,32.93,24.8,0,0,18.4,82.32,1.94,47.46,26.87,0,0,232.44,0,0,4.94,170.46,12.47,82.32,20.58,0,0,0,0,0,0,0,0

7,01:30-01:45,39.5,38,0,10.34,0,0,13.16,38,27.41,13.17,0,70.59,75.54,26.87,41.16,28.76,14.05,41.16,32.93,24.8,0,0,18.4,82.32,1.94,47.46,26.87,0,0,232.44,0,0,4.94,170.46,12.47,82.32,20.58,0,0,0,0,0,0,0,0

8,01:45-02:00,40.5,38.33,0,10.34,0,0,13.5,38.33,27.01,13.5,0,70.59,75.54,26.87,41.16,28.76,14.05,41.16,32.93,24.8,0,0,18.4,82.32,1.94,47.46,26.87,0,0,193.7,0,0,4.94,170.46,12.47,82.32,20.58,0,0,0,0,0,0,0,0

9,02:00-02:15,41.5,38.67,0,9.34,0,0,13.84,38.67,26.61,13.83,0,70.59,75.54,26.87,41.16,28.76,13.68,41.16,32.93,24.8,0,0,18.4,82.32,1.94,47.46,26.87,0,0,193.7,0,0,4.94,111.38,12.47,82.32,20.58,0,0,0,0,0,0,0,0

10,02:15-02:30,42.5,38.67,0,9.34,0,0,14.16,38.67,26.21,14.17,0,70.59,75.54,26.87,41.16,28.76,13.68,41.16,32.93,24.8,0,0,18.4,82.32,1.94,47.46,26.87,0,0,150.61,0,0,4.94,111.38,12.47,82.32,20.58,0,0,0,0,0,0,0,0

11,02:30-02:45,33.5,32.28,0,8.34,0,0,11.16,32.28,20.01,11.17,0,70.59,75.54,26.87,41.16,28.76,13.68,41.16,32.93,24.8,0,0,18.4,82.32,1.94,47.46,26.87,0,0,150.61,0,0,4.94,111.38,12.47,82.32,20.58,0,0,0,0,0,0,0,0

12,02:45-03:00,32.5,32.06,0,8.34,0,0,10.84,32.06,19.61,10.83,0,70.59,75.54,26.87,41.16,28.76,13.68,41.16,32.93,24.8,0,0,18.4,82.32,1.94,47.46,26.87,0,0,150.61,0,0,4.94,111.38,12.47,82.32,20.58,0,0,0,0,0,0,0,0

13,03:00-03:15,25,26.67,0,8.34,0,0,8.34,26.67,19.21,8.33,0,70.59,75.54,26.87,41.16,28.26,13.68,41.16,0,24.8,0,0,18.4,82.32,1.94,47.46,26.87,0,0,150.61,0,0,4.66,111.38,12.47,82.32,20.58,0,0,0,0,0,0,0,0

14,03:15-03:30,25,25.33,0,8.34,0,0,8.34,25.33,18.81,8.33,0,70.59,75.54,26.87,41.16,28.26,13.68,41.16,0,24.8,0,0,18.4,82.32,1.94,47.46,26.87,0,0,150.61,0,0,4.66,111.38,12.47,82.32,20.58,0,0,0,0,0,0,0,0

15,03:30-03:45,25,21.67,0,8.34,0,0,8.34,21.67,14.01,8.33,0,70.59,75.54,26.87,41.16,28.26,13.68,41.16,0,24.8,0,0,18.4,82.32,1.94,47.46,26.87,0,0,150.61,0,0,4.66,111.38,12.47,82.32,20.58,0,0,0,0,0,0,0,0

16,03:45-04:00,25,21,0,8.34,0,0,8.34,21,14.21,8.33,0,70.59,75.54,26.87,41.16,28.26,13.68,41.16,0,24.8,0,0,18.4,82.32,1.94,47.46,26.87,0,0,150.61,0,0,4.66,111.38,12.47,82.32,20.58,0,0,0,0,0,0,0,0

17,04:00-04:15,24.5,20,0,8.34,0,0,8.16,20,14.41,8.17,0,70.59,75.54,26.87,41.16,28.26,13.68,41.16,0,24.8,0,0,18.4,82.32,1.94,47.46,26.87,0,0,150.61,0,0,4.66,111.38,12.47,82.32,20.58,0,0,0,0,0,0,0,0

18,04:15-04:30,24,19.33,0,8,0,0,8,19.33,14.81,8,0,70.59,75.54,26.87,41.16,28.26,13.68,41.16,0,24.8,0,0,18.4,82.32,1.94,47.46,26.87,0,0,150.61,0,0,4.66,111.38,12.47,82.32,20.58,0,0,0,0,0,0,0,0

