Block,Time Block,NLCEXP,NJPC,NAPP,MAPS,SIMHST2,KUDGI,SASAN,SIMHST1,SALAL,SEWA2,KOLDAM,KOTESHWR,KKNPPU2,RSTPSU7,RSTPSU1TO6,RIHAND3,RIHAND2,RAPPD,RAMPUR,RIHAND1,RAPPC,RAPPB,KKNP,KHSTPP-II,KISHANGANGA,PARBATI3,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,PARBATI2,NTPL,URI,TEHRI,TANDA2,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,TALST2,URI2,TANAKPUR,UNCHAHAR3,TelanganaSTPP,TALA,UNCHAHAR2,KGSU3AND4,JHAJJAR,KGSU1AND2,KHSTPP-I,DHAULIGNGA,CHAMERA3,DADRT2,FSTPP I & II,DULHASTI,NNTPP,NLCIIST1,NLCTS2EXP,NLCIIST2,SINGRAULI,SINGRAULI_HYDRO,CHAMERA2,CHAMERA1,BSIUL,BRBCL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,118.69,24.95,0,0,0,330.53,0,0,18.21,9.24,10.05,0,0,0,125.99,120.01,21.21,4.71,93.66,66.04,0,0,142.86,8.31,35.48,0,0,0,0,0,0,0,0,0,0,0,0,28.96,0,37.22,33.4,1.87,16.12,0,0.59,0,36.7,6.04,20.35,0,0,32.66,0,419.32,0,44.15,10.55,33.72,6.18,17.65,57.32,0,0,0,0,144.82,0.96,47.02,40.6,18.84,16.82,0,0,0,0,0

2,00:15-00:30,0,118.69,24.95,0,0,0,330.53,0,0,18.21,9.24,10.05,0,0,0,125.99,120.01,21.21,4.71,93.66,66.04,0,0,142.86,8.31,35.48,0,0,0,0,0,0,0,0,0,0,0,0,28.96,0,37.22,33.4,1.87,16.12,0,0.59,0,36.7,6.04,20.35,0,0,32.66,0,419.32,0,44.15,10.55,33.72,83.96,20.04,57.32,0,0,0,0,144.82,0.96,47.02,40.6,18.84,19.17,0,0,0,0,0

3,00:30-00:45,0,106.61,24.95,0,0,0,330.53,0,0,18.21,9.24,10.05,0,0,0,125.99,120.01,21.21,4.24,93.66,66.04,0,0,142.86,8.31,35.48,0,0,0,0,0,0,0,0,0,0,0,0,28.96,0,37.22,33.4,1.87,16.12,0,0.59,0,36.7,6.04,20.35,0,0,32.66,0,419.32,0,44.15,10.55,33.72,83.96,20.04,57.32,0,0,0,0,144.82,0.96,47.02,40.6,18.84,16.83,0,0,0,0,0

4,00:45-01:00,0,106.61,24.95,0,0,0,330.53,0,0,18.21,9.24,10.05,0,0,0,125.99,120.01,21.21,4.24,93.66,66.04,0,0,142.86,8.31,35.48,0,0,0,0,0,0,0,0,0,0,0,0,28.96,0,37.22,33.4,1.87,16.12,0,0.59,0,36.7,6.04,20.35,0,0,32.66,0,419.32,0,44.15,10.55,33.72,83.96,20.04,57.32,0,0,0,0,144.82,0.96,47.02,40.6,18.84,11.9,0,0,0,0,0

5,01:00-01:15,0,106.61,24.95,0,0,0,330.53,0,0,18.21,9.24,10.05,0,0,0,125.99,120.01,21.21,4.24,93.66,66.04,0,0,142.86,8.31,35.48,0,0,0,0,0,0,0,0,0,0,0,0,28.96,0,37.22,32.93,1.87,16.12,0,0.59,0,36.7,0,20.35,0,0,32.66,0,419.32,0,44.15,10.55,33.72,103.32,20.04,57.32,0,0,0,0,144.82,0.96,47.02,40.6,18.84,10.42,0,0,0,0,0

