Column1,Block,GNA/NR/2025/02/16/1676,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/01/9969,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/2594,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/NR/2025/02/01/2143,GNA/SR/2025/02/01/6460,NR/30092023/26122029/SH-06,GNA/NR/2025/02/16/1380,NR/2025/25267/A/54779,GNARE/NR/2024/12/20/3668,NR/2025/25265/A/54776,NR/2025/25266/A/54755,GNA/NR/2025/02/01/4863,NR/2025/25382/C,NR/2025/25381/C,NR/2025/25070/A/54951,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,NR/2024/24418/A/54659,WR/2025/26047/A/54807,GNA/WR/2025/01/01/8625,Total
,,PTC,NDMC,NDMC,APPCPL,NDMC,DELHI,BAWANA_GAS,NDMC,APPCPL,PUNJAB,PTC,OIDLWM3_AEROCITY,SECI_Trader,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,NDMC,SJVNL,SJVNL,NVVNL,MANIKARAN,APPCPL,ITCLH,APPCPL,TPTCL,
,,DELHI_UT,NA,NA,DELHI_UT,NA,HIMACHAL_STATE,DELHI_UT,NA,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,NA,NA,NA,NA,NA,NA,DELHI_UT,DELHI_UT,ANDHRA_PRADESH_STATE,DELHI_UT,DELHI_UT,
,,BRPL,TRN_ENERGY,JPL2,BYPL,RKM_POWER,CHANJUII,BAWANA_GAS,RKM_POWER,BYPL,BAWANA_GAS,BYPL,TCSPL_BKN2,APSEPL_FTG,TCSPL_BKN2,TCSPL_BKN2,SKS_Raigarh,RSRPL_BKN,TPSL_BKN2,JIPL,BRPL,BYPL,ITCWIND,BRPL,BYPL,
,,HIMACHAL_STATE,DELHI_UT,DELHI_UT,KERALA_State,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,KERALA_State,PUNJAB_STATE,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,MSEB_State,DELHI_UT,GOA_State,MSEB_State,
,,HP,NDMC,NDMC,KSEB,NDMC,TPDDL,HARYANA,NDMC,KSEB,PUNJAB,HP,OIDLWM3_AEROCITY,TPDDL,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,NDMC,NDMC,NDMC,NDMC,AEML,AEML,ITCLH,GOA_Beneficiary,TPC_MSEB,
,,North-North,West-North,West-North,North-West-South,West-North,North-North,North-North,West-North,North-West-South,North-North,North-North,North-North,North-North,North-North,North-North,West-North,North-North,North-North,East-North,North-West,North-West,South-West-North,North-West,North-West,
1,00:00-00:15,47.56,8.65,23.07,0,23.07,1.38,26.87,23.07,75,26.87,15.85,0,0,0,0,8.65,0,0,14.28,0,0,0.38,0,0,294.69999999999993

2,00:15-00:30,47.56,8.65,23.07,0,23.07,1.38,26.87,23.07,75,26.87,15.85,0,0,0,0,8.65,0,0,14.28,0,0,0.38,0,0,294.69999999999993

3,00:30-00:45,47.56,8.65,23.07,0,23.07,1.38,26.87,23.07,75,26.87,15.85,0,0,0,0,8.65,0,0,14.28,0,0,0.38,0,0,294.69999999999993

4,00:45-01:00,47.56,8.65,23.07,0,23.07,1.38,26.87,23.07,75,26.87,15.85,0,0,0,0,8.65,0,0,14.28,0,0,0.38,0,0,294.69999999999993

5,01:00-01:15,47.56,8.65,23.07,0,23.07,1.38,26.87,23.07,75,26.87,15.85,0,0,0,0,8.65,0,0,14.28,0,0,0.38,0,0,294.69999999999993

6,01:15-01:30,47.56,8.65,23.07,0,23.07,1.38,26.87,23.07,75,26.87,15.85,0,0,0,0,8.65,0,0,14.28,0,0,0.38,0,0,294.69999999999993

7,01:30-01:45,47.56,8.65,23.07,0,23.07,1.38,26.87,23.07,75,26.87,15.85,0,0,0,0,8.65,0,0,14.28,0,0,0.38,0,0,294.69999999999993

8,01:45-02:00,47.56,8.65,23.07,0,23.07,1.38,26.87,23.07,75,26.87,15.85,0,0,0,0,8.65,0,0,14.28,0,0,0.38,0,0,294.69999999999993

9,02:00-02:15,47.56,8.65,23.07,0,23.07,1.29,26.87,23.07,75,26.87,15.85,0,0,0,0,8.65,0,0,14.28,0,0,0.38,0,0,294.60999999999996

10,02:15-02:30,47.56,8.65,23.07,0,23.07,1.29,26.87,23.07,75,26.87,15.85,0,0,0,0,8.65,0,0,14.28,0,0,0.38,0,0,294.60999999999996

11,02:30-02:45,47.56,8.65,23.07,0,23.07,1.29,26.87,23.07,75,26.87,15.85,0,0,0,0,8.65,0,0,14.28,0,0,0.38,0,0,294.60999999999996

12,02:45-03:00,47.56,8.65,23.07,0,23.07,1.29,26.87,23.07,75,26.87,15.85,0,0,0,0,8.65,0,0,14.28,0,0,0.38,0,0,294.60999999999996

13,03:00-03:15,47.56,8.65,23.07,0,23.07,1.29,26.87,23.07,75,26.87,15.85,0,0,0,0,8.65,0,0,14.28,0,0,0.38,0,0,294.60999999999996

14,03:15-03:30,47.56,8.65,23.07,0,23.07,1.29,26.87,23.07,75,26.87,15.85,0,0,0,0,8.65,0,0,14.28,0,0,0.38,0,0,294.60999999999996

15,03:30-03:45,47.56,8.65,23.07,0,23.07,1.29,26.87,23.07,75,26.87,15.85,0,0,0,0,8.65,0,0,14.28,0,0,0.38,0,0,294.60999999999996

16,03:45-04:00,47.56,8.65,23.07,0,23.07,1.29,26.87,23.07,75,26.87,15.85,0,0,0,0,8.65,0,0,14.28,0,0,0.38,0,0,294.60999999999996

17,04:00-04:15,47.56,8.65,23.07,0,23.07,1.38,26.87,23.07,75,26.87,15.85,0,0,0,0,8.65,0,0,14.28,0,0,0.38,0,0,294.69999999999993

18,04:15-04:30,47.56,8.65,23.07,0,23.07,1.38,26.87,23.07,75,26.87,15.85,0,0,0,0,8.65,0,0,14.28,0,0,0.38,0,0,294.69999999999993

19,04:30-04:45,47.56,8.65,23.07,0,23.07,1.38,26.87,23.07,75,26.87,15.85,0,0,0,0,8.65,0,0,14.28,0,0,0.38,0,0,294.69999999999993

20,04:45-05:00,47.56,8.65,23.07,0,23.07,1.38,26.87,23.07,75,26.87,15.85,0,0,0,0,8.65,0,0,14.28,0,0,0.38,0,0,294.69999999999993

21,05:00-05:15,47.56,8.65,23.07,0,23.07,1.29,26.87,23.07,75,26.87,15.85,0,0,0,0,8.65,0,0,14.28,0,0,0.38,0,0,294.60999999999996

22,05:15-05:30,47.56,8.65,23.07,0,23.07,1.29,26.87,23.07,75,26.87,15.85,0,0,0,0,8.65,0,0,14.28,0,0,0.38,0,0,294.60999999999996

23,05:30-05:45,47.56,8.65,23.07,0,23.07,1.29,26.87,23.07,75,26.87,15.85,0,0,0,0,8.65,0,0,14.28,0,0,0.38,0,0,294.60999999999996

24,05:45-06:00,47.56,8.65,23.07,0,23.07,1.29,26.87,23.07,75,26.87,15.85,0,0,0,0,8.65,0,0,14.28,0,0,0.38,0,0,294.60999999999996

25,06:00-06:15,0,8.65,43.26,0,23.07,1.29,26.87,23.07,75,26.87,0,0,0,0,0,8.65,0,0,14.28,0,0,0.43,0,0,251.44000000000003

26,06:15-06:30,0,8.65,43.26,0,23.07,1.29,24.99,23.07,75,24.99,0,0,0,0,0,8.65,0,0,14.28,0,0,0.43,0,0,247.68

27,06:30-06:45,0,8.65,43.26,0,23.07,1.29,32,23.07,75,32,0,0,0,0,0,8.65,0,0,14.28,0,0,0.43,0,0,261.7

28,06:45-07:00,0,8.65,43.26,0,23.07,1.29,32,23.07,75,32,0,0,0.07,0,0,8.65,0,0,14.28,0,0,0.43,0,0,261.77

29,07:00-07:15,0,8.65,43.26,0,23.07,1.38,32,23.07,75,32,0,0,0.56,0,0,8.65,0,0,14.28,0,0,0.48,0,0,262.4

30,07:15-07:30,0,8.65,43.26,0,23.07,1.38,32,23.07,75,32,0,0,0.59,0,0,8.65,0,0,14.28,0,0,0.48,0,0,262.43

31,07:30-07:45,0,8.65,43.26,0,23.07,1.38,32,23.07,75,32,0,0,0.85,0,0,8.65,0,0,14.28,0,0,0.48,0,0,262.69

32,07:45-08:00,0,8.65,43.26,0,23.07,1.38,32,23.07,75,32,0,0,0.96,0,0,8.65,0,0,14.28,0,0,0.48,0,0,262.8

33,08:00-08:15,0,8.65,43.26,0,23.07,1.29,32,23.07,75,32,0,0,3.85,0,0,8.65,0,0,14.28,0,0,0.87,0,0,265.99

34,08:15-08:30,0,8.65,43.26,0,23.07,1.29,32,23.07,75,32,0,0,8.66,0,0,8.65,0,0,14.28,0,0,0.87,0,0,270.8

35,08:30-08:45,0,8.65,43.26,0,23.07,1.29,32,23.07,75,32,0,0.02,26.18,0.03,0.04,8.65,0,0,14.28,0,0,0.87,0,0,288.40999999999997

36,08:45-09:00,0,8.65,43.26,0,23.07,1.29,32,23.07,75,32,0,0.12,34.75,0.26,0.32,8.65,0,0,14.28,0,0,0.87,0,0,297.59

37,09:00-09:15,0,8.65,43.26,0,23.07,1.29,32,23.07,75,32,0,0.26,43.5,0.43,0.6,8.65,36.05,16.82,14.28,0,0,0.87,0,0,359.8

38,09:15-09:30,0,8.65,43.26,0,23.07,1.29,32,23.07,75,32,0,0.29,52.85,0.58,0.77,8.65,38.45,14.42,14.28,0,0,0.87,0,0,369.49999999999994

39,09:30-09:45,0,8.65,23.07,0,23.07,1.29,32,23.07,75,32,0,0.38,60.73,0.58,0.87,8.65,38.45,14.42,14.28,0,0,0.87,0,0,357.37999999999994

40,09:45-10:00,0,8.65,23.07,0,23.07,1.29,32,23.07,75,32,0,0.38,68.39,0.67,0.96,8.65,38.45,14.42,14.28,0,0,0.87,0,0,365.21999999999997

41,10:00-10:15,0,8.65,23.07,0,23.07,1.38,32,23.07,75,32,0,0.48,76.61,0.77,1.06,8.65,38.45,14.42,14.28,0,0,0.87,0,0,373.8299999999999

42,10:15-10:30,0,8.65,23.07,0,23.07,1.38,32,23.07,75,32,0,0.48,82.99,0.77,1.06,8.65,38.45,14.42,14.28,0,0,0.87,0,0,380.2099999999999

43,10:30-10:45,0,8.65,23.07,0,23.07,1.38,32,23.07,75,32,0,0.48,88.74,0.77,0.96,8.65,38.45,14.42,14.28,0,0,0.87,0,0,385.8599999999999

44,10:45-11:00,0,8.65,23.07,0,23.07,1.38,32,23.07,75,32,0,0.38,94.03,0.77,0.96,8.65,38.45,14.42,14.28,0,0,0.87,0,0,391.0499999999999

45,11:00-11:15,0,8.65,23.07,0,23.07,1.29,32,23.07,75,25.65,0,0.48,98.35,0.77,1.06,8.65,38.45,14.42,14.28,0,0,0.87,0,0,389.12999999999994

46,11:15-11:30,0,8.65,23.07,0,23.07,1.29,32,23.07,75,25.65,0,0.48,99.29,0.77,1.06,8.65,38.45,14.42,14.28,0,0,0.87,0,0,390.06999999999994

47,11:30-11:45,0,8.65,23.07,0,23.07,1.29,32,23.07,75,25.65,0,0.48,100,0.77,1.06,8.65,38.45,14.42,14.28,0,0,0.87,0,0,390.7799999999999

48,11:45-12:00,0,8.65,23.07,0,23.07,1.29,32,23.07,75,25.65,0,0.48,100,0.77,1.06,8.65,38.45,14.42,14.28,0,0,0.87,0,0,390.7799999999999

49,12:00-12:15,0,8.65,23.07,0,23.07,1.29,32,23.07,75,25.65,0,0.48,100,0.77,1.06,8.65,38.45,14.42,14.28,0,0,0.87,0,0,390.7799999999999

50,12:15-12:30,0,8.65,23.07,0,23.07,1.29,32,23.07,75,25.65,0,0.48,100,0.77,1.06,8.65,38.45,14.42,14.28,0,0,0.87,0,0,390.7799999999999

51,12:30-12:45,0,8.65,23.07,0,23.07,1.29,32,23.07,75,25.65,0,0.48,100,0.77,1.06,8.65,38.45,14.42,14.28,0,0,0.87,0,0,390.7799999999999

52,12:45-13:00,0,8.65,23.07,0,23.07,1.29,32,23.07,75,25.65,0,0.48,100,0.77,1.06,8.65,38.45,14.42,14.28,0,0,0.87,0,0,390.7799999999999

53,13:00-13:15,0,8.65,23.07,0,23.07,1.38,32,23.07,75,25.65,0,0.48,100,0.77,1.06,8.65,38.45,14.42,14.28,0,0,0.87,0,0,390.86999999999995

54,13:15-13:30,0,8.65,23.07,0,23.07,1.38,32,23.07,75,25.65,0,0.48,100,0.77,1.06,8.65,38.45,14.42,14.28,0,0,0.87,0,0,390.86999999999995

55,13:30-13:45,0,8.65,23.07,0,23.07,1.38,32,23.07,75,25.65,0,0.48,100,0.77,1.06,8.65,38.45,14.42,14.28,0,0,0.87,0,0,390.86999999999995

56,13:45-14:00,0,8.65,23.07,0,23.07,1.38,32,23.07,75,25.65,0,0.48,100,0.77,1.06,8.65,38.45,14.42,14.28,0,0,0.87,0,0,390.86999999999995

57,14:00-14:15,0,8.65,23.07,0,23.07,1.29,32,23.07,75,25.65,0,0.48,100,0.67,1.06,8.65,38.45,14.42,14.28,0,0,0.87,0,0,390.67999999999995

58,14:15-14:30,0,8.65,23.07,0,23.07,1.29,32,23.07,75,25.65,0,0.48,100,0.77,0.96,8.65,38.45,14.42,14.28,0,0,0.87,0,0,390.6799999999999

59,14:30-14:45,0,8.65,23.07,0,23.07,1.29,32,23.07,75,25.65,0,0.48,90.34,0.77,1.06,8.65,38.45,14.42,14.28,0,0,0.87,0,0,381.11999999999995

60,14:45-15:00,0,8.65,23.07,0,23.07,1.29,32,23.07,75,25.65,0,0.48,86.49,0.77,1.06,8.65,38.45,14.42,14.28,0,0,0.87,0,0,377.2699999999999

61,15:00-15:15,0,8.65,23.07,0,23.07,1.29,32,23.07,75,25.65,0,0.48,81.94,0.77,1.06,8.65,38.45,14.42,14.28,0,0,0.67,0,0,372.52

