Column1,Time,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31052040/LT-31,GNA/NR/2024/11/01/1868,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/5428,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,NR/01102023/19072037/LT-05,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/11/01/5474,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_35,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/9061,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/01/3646,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,L_NR_2019_19,NR/01102023/25072045/L_NR_2021_15,SR/01102023/07102043/L_NR_2018_61,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_16,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,GNA/WR/2024/10/15/7089,GNA/WR/2024/11/01/4200,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04
1,00:00-00:15,2.22,0,8.72,26.91,0,17.45,26.17,184.86,2.47,26.91,2.9,69.96,27.24,52.78,285.39,57.29,0,3.75,26.17,26.17,8.72,95.12,0,0,0,0,0,0,0,7,7.33,15,0,0,22,0,0,15,6.66,7.34,0,0,0,230.3

2,00:15-00:30,2.22,0,8.72,26.91,0,17.45,26.17,184.86,2.47,26.91,2.9,69.96,27.24,52.78,285.39,57.29,0,3.75,26.17,26.17,8.72,95.12,0,0,0,0,0,0,0,7,7.33,15,0,0,22,0,0,15,6.66,7.34,0,0,0,191.92

3,00:30-00:45,2.22,0,8.72,26.91,0,17.45,26.17,184.86,2.47,26.91,2.9,69.96,27.24,52.78,285.39,57.29,0,3.75,26.17,26.17,8.72,95.12,0,0,0,0,0,0,0,7,7.33,15,0,0,22,0,0,15,6.66,7.34,0,0,0,172.73

4,00:45-01:00,2.22,0,8.72,26.91,0,17.45,26.17,184.86,2.47,26.91,2.9,69.96,27.24,52.78,285.39,57.29,0,3.75,26.17,26.17,8.72,95.12,0,0,0,0,0,0,0,7,7.33,15,0,0,22,0,0,15,6.66,7.34,0,0,0,172.73

5,01:00-01:15,2.22,0,8.72,26.91,0,17.45,26.17,184.86,2.47,26.91,2.82,69.96,27.75,52.78,285.39,57.29,0,3.75,26.17,26.17,7.2,95.12,0,0,0,0,0,0,0,7,7.33,15,0,0,22,0,0,15,6.66,7.34,0,0,0,172.73

6,01:15-01:30,2.22,0,8.72,26.91,0,17.45,26.17,184.86,2.47,26.91,2.82,69.96,27.75,52.78,285.39,57.29,0,3.75,26.17,26.17,7.2,95.12,0,0,0,0,0,0,0,7,7.33,15,0,0,22,0,0,15,6.66,7.34,0,0,0,149.23

7,01:30-01:45,2.22,0,8.72,26.91,0,17.45,26.17,184.86,2.47,26.91,2.82,69.96,27.24,52.78,285.39,57.29,0,3.75,26.17,26.17,7.2,95.12,0,0,0,0,0,0,0,7,7.33,15,0,0,22,0,0,15,6.66,7.34,0,0,0,149.23

8,01:45-02:00,2.22,0,8.72,26.91,0,17.45,26.17,184.86,2.47,26.91,2.82,69.96,27.24,52.78,285.39,57.29,0,3.75,26.17,26.17,7.2,95.12,0,0,0,0,0,0,0,7,7.33,15,0,0,22,0,0,15,6.66,7.34,0,0,0,149.23

9,02:00-02:15,2.22,0,8.72,26.91,0,17.45,26.17,184.86,2.16,26.91,2.74,69.96,27.24,52.78,285.39,57.29,0,3.75,26.17,26.17,7.2,95.12,0,0,0,0,0,0,0,7,7.33,15,0,0,22,0,0,15,6.66,7.34,0,0,0,149.23

10,02:15-02:30,2.22,0,8.72,26.91,0,17.45,26.17,184.86,2.16,26.91,2.74,69.96,26.24,52.78,285.39,57.29,0,3.75,26.17,26.17,7.2,95.12,0,0,0,0,0,0,0,7,7.33,15,0,0,22,0,0,15,6.66,7.34,0,0,0,149.23

11,02:30-02:45,2.22,0,8.72,26.91,0,17.45,26.17,184.86,2.16,26.91,2.74,69.96,26.24,52.78,285.39,57.29,0,3.75,26.17,26.17,7.2,95.12,0,0,0,0,0,0,0,7,7.33,15,0,0,22,0,0,15,6.66,7.34,0,0,0,149.23

12,02:45-03:00,2.22,0,8.72,26.91,0,17.45,26.17,184.86,2.16,26.91,2.74,69.96,26.24,52.78,285.39,57.29,0,3.75,26.17,26.17,7.2,95.12,0,0,0,0,0,0,0,7,7.33,15,0,0,22,0,0,15,6.66,7.34,0,0,0,149.23

13,03:00-03:15,2.22,0,8.72,26.91,0,17.45,26.17,184.86,2.16,26.91,2.74,69.96,26.24,52.78,285.39,57.29,0,3.75,26.17,26.17,7.2,95.12,0,0,0,0,0,0,0,7,7.33,15,0,0,22,0,0,15,6.66,7.34,0,0,0,149.23

14,03:15-03:30,2.22,0,8.72,26.91,0,17.45,26.17,184.86,2.16,26.91,2.74,69.96,26.24,52.78,285.39,57.29,0,3.75,26.17,26.17,7.2,95.12,0,0,0,0,0,0,0,7,7.33,15,0,0,22,0,0,15,6.66,7.34,0,0,0,149.23

15,03:30-03:45,2.22,0,8.72,26.91,0,17.45,26.17,184.86,2.16,26.91,2.74,69.96,27.24,52.78,285.39,57.29,0,3.75,26.17,26.17,7.2,95.12,0,0,0,0,0,0,0,7,7.33,15,0,0,22,0,0,15,6.66,7.34,0,0,0,149.23

16,03:45-04:00,2.22,0,8.72,26.91,0,17.45,26.17,184.86,2.16,26.91,2.74,69.96,27.24,52.78,285.39,57.29,0,3.75,26.17,26.17,7.2,95.12,0,0,0,0,0,0,0,7,7.33,15,0,0,22,0,0,15,6.66,7.34,0,0,0,149.23

