Block,Time,BSIUL,CHAMERA2,CHAMERA3,DADRT2,DHAULIGNGA,CHAMERA1,UNCHAHAR1,UNCHAHAR3,UNCHAHAR4,URI2,UNCHAHAR2,URI,RIHAND2,RIHAND3,SEWA2,SINGRAULI,SINGRAULI_HYDRO,TANDA2,TEHRI,DULHASTI,KISHANGANGA,KOLDAM,KOTESHWR,NJPC,PARBATI3,RAMPUR,RAPPB,RIHAND1,RAPPC,NAPP,TANAKPUR,JHAJJAR,SALAL,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,TALST2,VALLURNTECL,SIMHST2,NLCTS2EXP,NNTPP,NTPL,RSTPSU1TO6,RSTPSU7,SIMHST1,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,MAPS,NLCEXP,NLCIIST1,NLCIIST2,BRBCL,FSTPP I & II,TALA,KHSTPP-II,KHSTPP-I,SASAN
1,00:00-00:15,0,41.864567,30.573592,688.249014,9.57165,42.14808,20.178473,26.717786,0.814833,34.438055,43.050738,49.128,119.5917,125.29529,16.588864,142.003255,1.00939,1.274757,26.273875,51.987208,1.43883,1.82184,16.886901,69.357505,0,0.79057,0,79.12267,56.429333,42.231425,1.1529,657.89409,67.396,0,70.265089,0,0,0,5.822894,79.191352,0,0,26.792932,14.512839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,15.00135,20.73185,0,147.515625,42.49,418.77

2,00:15-00:30,0,41.864567,30.573592,688.249014,9.57165,42.14808,20.178473,26.717786,0.814833,34.438055,43.050738,49.128,119.5917,125.29529,16.588864,142.003255,1.00939,1.274757,26.273875,51.987208,1.43883,1.82184,16.886901,69.357505,0,0.79057,0,79.12267,56.429333,42.231425,1.1529,657.89409,67.396,0,70.265089,0,0,0,5.822894,79.191352,0,0,26.792932,14.512839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,15.00135,20.73185,0,147.515625,42.49,418.77

3,00:30-00:45,0,41.864567,30.573592,688.249014,9.57165,42.14808,20.178473,26.717786,0.814833,34.438055,43.050738,49.128,119.5917,125.29529,16.588864,142.003255,1.00939,1.274757,26.273875,51.987208,1.43883,1.82184,16.886901,59.44929,0,0.677631,0,79.12267,56.429333,42.231425,1.1529,657.89409,67.396,0,70.265089,0,0,0,5.822894,79.191352,0,0,26.792932,14.512839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,15.00135,20.73185,0,147.515625,42.49,418.77

4,00:45-01:00,0,41.864567,30.573592,688.249014,9.57165,42.14808,20.178473,26.717786,0.814833,34.438055,43.050738,52.992,119.5917,125.29529,16.588864,142.003255,1.00939,1.274757,26.273875,51.987208,1.43883,1.214559,16.886901,39.63286,0,0.451754,0,79.12267,56.429333,42.231425,1.1529,657.89409,67.396,0,70.265089,0,0,0,5.822894,79.191352,0,0,26.792932,14.512839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,15.00135,20.73185,0,147.515625,42.49,418.77

5,01:00-01:15,0,41.864567,30.573592,688.249014,9.57165,42.14808,20.755001,26.717786,0.814833,34.438055,43.050738,52.992,119.5917,125.29529,16.588864,142.003255,1.00939,1.274757,26.273875,51.987208,1.43883,1.214559,16.886901,39.63286,0,0.451754,0,79.12267,56.429333,42.231425,1.1529,657.89409,67.396,0,70.265089,0,0,0,5.822894,79.191352,0,0,26.792932,14.512839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,15.00135,20.73185,0,147.515625,42.49,418.77

