Block,Time,URI2,TEHRI,RIHAND3,KOLDAM,DADRI_CRF,AURY_LF,RAPPC,SEWA2,DHAULIGNGA,ANTA_RF,AURY_CRF,ANTA_GF,AURY_RF,NAPP,RIHAND1,ANTA_LF,ANTA_CRF,KISHANGANGA,UNCHAHAR2,AURY_GF,DADRT2,SINGRAULI,RAMPUR,CHAMERA2,PARBATI3,UNCHAHAR4,CHAMERA1,CHAMERA3,TANDA2,RIHAND2,DADRI_RF,RAPPB,DADRI_GF,SALAL,BSIUL,TANAKPUR,KOTESHWR,UNCHAHAR1,DULHASTI,NJPC,JHAJJAR,URI,DADRI_LF,UNCHAHAR3,SINGRAULI_HYDRO,TALA,KHSTPP-I,BRBCL,KHSTPP-II,FSTPP I & II,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,36.552984,43.046394,125.970622,2.236851,0.000000,0.000000,33.200284,18.136955,0.000000,0.000000,0.000000,0.000000,0.000000,49.785633,93.629868,0.000000,0.000000,5.364151,43.321421,0.000000,664.114864,141.392591,0.831996,46.787784,0.000000,0.000000,27.106835,22.378566,5.168948,119.989386,0.000000,0.000000,0.000000,38.673858,12.581232,0.123578,10.009069,21.831161,38.057675,21.499663,650.996760,33.548407,0.000000,26.663325,0.752147,0.000000,44.761192,16.277027,142.584204,11.397930,403.987419,0,0,0,0,0

2,00:15-00:30,36.552984,43.046394,125.970622,0.000000,0.000000,0.000000,33.200284,18.136955,0.000000,0.000000,0.000000,0.000000,0.000000,49.785633,93.629868,0.000000,0.000000,5.364151,43.321421,0.000000,664.114864,141.392591,0.831996,46.787784,0.000000,0.000000,27.106835,22.378566,5.168948,119.989386,0.000000,0.000000,0.000000,38.673858,12.581232,0.123578,10.009069,21.831161,38.057675,21.499663,650.996760,33.548407,0.000000,26.663325,0.752147,0.000000,44.761192,14.577350,142.584204,11.397930,403.987419,0,0,0,0,0

3,00:30-00:45,36.552984,43.046394,125.970622,0.000000,0.000000,0.000000,33.200284,18.136955,0.000000,0.000000,0.000000,0.000000,0.000000,49.785633,93.629868,0.000000,0.000000,5.364151,43.321421,0.000000,664.114864,141.392591,0.831996,31.191856,0.000000,0.000000,27.106835,22.378566,5.168948,119.989386,0.000000,0.000000,0.000000,38.673858,12.581232,0.123578,10.009069,21.831161,38.057675,21.499663,650.996760,33.548407,0.000000,26.663325,0.752147,0.000000,44.761192,13.323618,142.584204,11.397930,403.987419,0,0,0,0,0

4,00:45-01:00,36.552984,43.046394,125.970622,0.000000,0.000000,0.000000,33.200284,18.136955,0.000000,0.000000,0.000000,0.000000,0.000000,49.785633,93.629868,0.000000,0.000000,5.364151,43.321421,0.000000,664.114864,141.392591,0.831996,31.191856,0.000000,0.000000,27.106835,22.378566,5.168948,119.989386,0.000000,0.000000,0.000000,38.673858,12.581232,0.123578,10.009069,21.831161,38.057675,21.499663,650.996760,33.548407,0.000000,26.663325,0.752147,0.000000,44.761192,12.584106,142.584204,11.397930,403.987419,0,0,0,0,0

5,01:00-01:15,36.552984,32.284795,125.970622,0.000000,0.000000,0.000000,33.200284,18.136955,0.000000,0.000000,0.000000,0.000000,0.000000,49.785633,93.629868,0.000000,0.000000,5.364151,43.321421,0.000000,664.114864,141.392591,0.831996,31.191856,0.000000,0.000000,25.149729,22.378566,5.168948,119.989386,0.000000,0.000000,0.000000,38.673858,12.581232,0.123578,10.009069,21.831161,38.057675,21.499663,650.996760,33.548407,0.000000,26.663325,0.752147,0.000000,44.761192,13.405910,142.584204,11.397930,403.987419,0,0,0,0,0

