Block,Time,URI2,ANTA_LF,AURY_GF,RIHAND2,KOLDAM,UNCHAHAR3,UNCHAHAR1,NAPP,RIHAND3,RAPPB,AURY_LF,CHAMERA1,CHAMERA2,SINGRAULI_HYDRO,URI,ANTA_GF,SEWA2,DADRI_CRF,SINGRAULI,JHAJJAR,UNCHAHAR4,UNCHAHAR2,DADRI_LF,DADRI_GF,PARBATI3,DULHASTI,NJPC,ANTA_CRF,TANDA2,BSIUL,RAMPUR,DADRI_RF,KOTESHWR,AURY_CRF,SALAL,RIHAND1,DADRT2,ANTA_RF,RAPPC,AURY_RF,DHAULIGNGA,TEHRI,CHAMERA3,KISHANGANGA,TANAKPUR,TALA,KHSTPP-II,SASAN,FSTPP I & II,KHSTPP-I,BRBCL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,4.399880,0.000000,0.000000,113.636250,0.000000,18.846061,14.991135,42.124056,59.480460,0.000000,0.000000,0.000000,0.000000,0.846541,1.274458,0.000000,0.000000,0.000000,119.769000,233.076631,0.000000,31.479653,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.726494,0.000000,1.341413,88.504000,359.788000,0.000000,52.493454,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,402.856740,15.135912,33.476936,19.240016,0,0,0,0,0

2,00:15-00:30,4.399880,0.000000,0.000000,113.636250,0.000000,13.968240,11.640200,42.124056,59.480460,0.000000,0.000000,0.000000,0.000000,0.846541,1.274458,0.000000,0.000000,0.000000,119.769000,230.880000,0.000000,22.433840,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.726494,0.000000,1.341413,88.504000,359.788000,0.000000,52.493454,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,402.856740,10.976420,33.476936,19.240016,0,0,0,0,0

3,00:30-00:45,8.023311,0.000000,0.000000,113.636250,0.000000,13.968240,11.640200,42.124056,59.480460,0.000000,0.000000,0.000000,0.000000,0.846541,25.489152,0.000000,0.000000,0.000000,119.769000,230.880000,0.000000,22.433840,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.726494,0.000000,1.341413,88.504000,359.788000,0.000000,52.493454,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,402.856740,10.976420,23.584200,19.240016,0,0,0,0,0

4,00:45-01:00,8.023311,0.000000,0.000000,113.636250,0.000000,13.968240,11.640200,42.124056,59.480460,0.000000,0.000000,0.000000,0.000000,0.846541,25.489152,0.000000,0.000000,0.000000,119.769000,230.880000,0.000000,22.433840,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.726494,0.000000,1.341413,88.504000,359.788000,0.000000,52.493454,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.383796,402.856740,10.976420,20.852889,19.240016,0,0,0,0,0

5,01:00-01:15,8.023311,0.000000,0.000000,113.636250,0.000000,13.968240,11.640200,42.124056,59.480460,0.000000,0.000000,0.000000,0.000000,0.846541,2.124096,0.000000,0.000000,0.000000,119.769000,230.880000,0.000000,22.433840,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.726494,0.000000,1.341413,88.504000,359.788000,0.000000,52.493454,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.383796,402.856740,10.976420,19.890889,18.627774,0,0,0,0,0

6,01:15-01:30,4.399880,0.000000,0.000000,113.636250,0.000000,13.968240,11.640200,42.124056,59.480460,0.000000,0.000000,0.000000,0.000000,0.846541,1.486867,0.000000,0.000000,0.000000,119.769000,230.880000,0.000000,22.433840,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.726494,0.000000,1.341413,88.504000,359.788000,0.000000,52.493454,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.383796,402.856740,10.976420,19.890889,17.842074,0,0,0,0,0

7,01:30-01:45,4.399880,0.000000,0.000000,113.636250,0.000000,13.968240,11.640200,42.124056,59.480460,0.000000,0.000000,0.000000,0.000000,0.846541,1.486867,0.000000,0.000000,0.000000,119.769000,230.880000,0.000000,22.433840,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.726494,0.000000,1.341413,88.504000,359.788000,0.000000,52.493454,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44.767080,402.856740,10.976420,19.890889,16.404195,0,0,0,0,0

8,01:45-02:00,4.399880,0.000000,0.000000,113.636250,0.000000,13.968240,11.640200,42.124056,59.480460,0.000000,0.000000,0.000000,0.000000,0.846541,1.486867,0.000000,0.000000,0.000000,119.769000,230.880000,0.000000,22.433840,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.726494,0.000000,1.341413,88.504000,359.788000,0.000000,52.493454,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,45.411210,402.856740,10.976420,19.890889,18.178701,0,0,0,0,0

9,02:00-02:15,4.399880,0.000000,0.000000,113.636250,0.000000,13.968240,11.640200,42.124056,59.480460,0.000000,0.000000,0.000000,0.000000,0.846541,1.486867,0.000000,0.000000,0.000000,119.769000,230.880000,0.000000,22.433840,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.726494,0.000000,1.341413,88.504000,359.788000,0.000000,52.493454,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,45.411210,402.856740,10.976420,18.412680,17.567568,0,0,0,0,0

