Block,Time,ANTA_CRF,ANTA_GF,TANDA2,RAPPC,RAMPUR,KISHANGANGA,DULHASTI,DADRI_LF,PARBATI3,NAPP,DADRI_GF,DADRI_RF,BSIUL,UNCHAHAR3,ANTA_LF,KOTESHWR,TANAKPUR,UNCHAHAR2,SALAL,SINGRAULI_HYDRO,AURY_CRF,UNCHAHAR4,RAPPB,RIHAND1,SEWA2,TEHRI,AURY_RF,AURY_LF,CHAMERA3,CHAMERA1,NJPC,SINGRAULI,KOLDAM,DADRT2,AURY_GF,JHAJJAR,ANTA_RF,RIHAND3,URI2,DADRI_CRF,UNCHAHAR1,RIHAND2,CHAMERA2,URI,DHAULIGNGA,KHSTPP-I,KHSTPP-II,TALA,BRBCL,FSTPP I & II,KUDGI,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,1.348441,53.835345,1.710502,2.114992,50.334016,0.000000,29.822013,40.559605,0.000000,19.364000,19.036167,25.868161,0.000000,16.948064,8.061717,41.681010,75.378243,1.053942,0.063804,0.784242,0.000000,86.427921,16.061339,33.396007,16.128953,0.000000,29.601353,40.807771,154.929110,137.484400,2.351873,666.362695,0.000000,636.969001,0.000000,121.310901,33.479576,0.000000,20.094992,115.787038,40.533274,45.962390,37.155045,40.525569,142.824507,25.618572,16.830843,20.070786,65.84,404.909179,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,1.348441,53.835345,1.710502,2.114992,50.334016,0.000000,29.822013,40.559605,0.000000,19.364000,19.036167,25.868161,0.000000,16.948064,8.061717,41.681010,75.378243,1.053942,0.063804,0.784242,0.000000,86.427923,16.061339,33.396007,16.128953,0.000000,29.601353,40.807771,154.929110,137.484400,2.351873,666.362695,0.000000,636.969001,0.000000,121.310901,33.479576,0.000000,20.094992,115.787038,40.533274,45.962390,37.155045,40.551121,142.824507,25.618572,14.878086,20.070786,64.87,405.453114,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,1.348441,53.835345,1.710502,2.114992,50.334016,0.000000,19.449140,40.559605,0.000000,19.364000,19.036167,25.868161,0.000000,16.948064,8.061717,41.681010,75.378243,1.053942,0.063804,0.784242,0.000000,86.427923,16.061339,33.396007,16.128953,0.000000,29.601353,40.807771,154.929110,137.484400,2.351873,666.362695,0.000000,636.969001,0.000000,121.310901,33.479576,0.000000,20.094992,115.787038,40.533274,45.962390,37.155045,40.551121,142.824507,25.618572,13.373061,20.070786,61.00,405.453114,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,1.348441,53.835345,1.710502,2.114992,50.334016,0.000000,19.449140,40.559605,0.000000,19.364000,19.036167,25.868161,0.000000,16.948064,8.061717,41.681010,75.378243,1.053942,0.063804,0.784242,0.000000,86.427923,16.061339,33.396007,16.128953,0.000000,29.601353,40.807771,154.929110,137.484400,2.351873,666.362695,0.000000,636.969001,0.000000,121.310901,33.479576,0.000000,20.094992,115.787038,40.533274,45.962390,37.155045,40.551121,142.824507,25.618572,14.704379,20.070786,60.03,405.453114,0,0,0,0,0

5,01:00-01:15,1.510392,0.000000,1.348441,53.835345,1.710502,2.114992,50.334016,0.000000,19.449140,40.559605,0.000000,19.364000,19.036167,25.868161,0.000000,16.948064,8.061717,41.681010,75.940767,1.053942,0.000000,0.784242,0.000000,86.427923,16.061339,33.396007,18.744352,0.000000,29.601353,40.807771,154.929110,137.484400,2.351873,666.362695,0.000000,636.969001,9.962778,121.310901,33.479576,0.000000,20.094992,115.787038,40.533274,45.962390,37.155045,40.551121,142.824507,25.618572,11.559721,20.070786,57.12,405.453114,0,0,0,0,0

6,01:15-01:30,1.510392,0.000000,1.348441,53.835345,1.710502,2.114992,50.334016,0.000000,19.449140,40.559605,0.000000,19.364000,19.036167,25.868161,0.000000,16.948064,8.061717,41.681010,75.940767,1.053942,0.000000,0.784242,0.000000,86.427923,16.061339,33.396007,18.744352,0.000000,29.601353,40.807771,154.929110,137.484400,2.351873,666.362695,0.000000,636.969001,9.962778,121.310901,33.479576,0.000000,20.094992,115.787038,40.533274,45.962390,37.155045,40.551121,142.824507,25.618572,12.951023,20.070786,54.22,405.453114,0,0,0,0,0

7,01:30-01:45,1.510392,0.000000,1.348441,53.835345,1.710502,2.114992,50.334016,0.000000,29.822013,40.559605,0.000000,19.364000,19.036167,25.868161,0.000000,16.948064,8.061717,41.681010,75.940767,1.053942,0.000000,0.784242,0.000000,86.427923,16.061339,33.396007,18.744352,0.000000,29.601353,40.807771,154.929110,137.484400,2.351873,624.091360,0.000000,636.969001,9.962778,121.310901,33.479576,0.000000,20.094992,115.787038,40.533274,50.237962,37.155045,40.551121,142.824507,25.618572,10.971857,20.070786,45.51,405.453114,0,0,0,0,0

8,01:45-02:00,1.510392,0.000000,1.348441,53.835345,1.710502,2.114992,50.334016,0.000000,29.822013,40.559605,0.000000,19.364000,19.036167,25.868161,0.000000,16.948064,8.061717,41.681010,75.940767,1.053942,0.000000,0.784242,0.000000,86.427923,16.061339,33.396007,18.744352,0.000000,29.601353,40.807771,154.929110,137.484400,2.351873,575.681360,0.000000,636.969001,9.962778,121.310901,33.479576,0.000000,20.094992,115.787038,40.533274,50.237962,37.155045,40.551121,142.824507,25.618572,13.038235,20.070786,42.60,405.453114,0,0,0,0,0

9,02:00-02:15,0.000000,0.000000,1.348441,53.835345,1.710502,2.114992,50.334016,0.000000,29.822013,40.559605,0.000000,19.364000,12.690778,25.416509,0.000000,16.948064,8.061717,41.681010,75.940767,1.053942,0.000000,0.784242,0.000000,86.427923,16.061339,33.396007,2.749172,0.000000,29.601353,40.807771,154.929110,137.484400,2.351873,444.941926,0.000000,634.964924,0.000000,121.310901,33.479576,0.000000,19.741598,115.787038,40.533274,45.962390,37.155045,41.138818,142.824507,25.618572,14.015791,20.070786,14.52,405.453114,0,0,0,0,0

10,02:15-02:30,0.000000,0.000000,1.348441,53.835345,1.710502,2.114992,50.334016,0.000000,29.822013,40.559605,0.000000,19.364000,12.690778,25.416509,0.000000,16.948064,8.061717,41.681010,75.940767,1.053942,0.000000,0.784242,0.000000,86.427923,16.061339,33.396007,0.000000,0.000000,29.601353,40.807771,154.929110,137.484400,2.351873,396.531926,0.000000,634.964924,0.000000,121.310901,33.479576,0.000000,19.741598,115.787038,40.533274,45.962390,37.155045,41.138818,142.824507,25.618572,14.359112,20.070786,14.52,405.453114,0,0,0,0,0

11,02:30-02:45,0.000000,0.000000,1.348441,53.835345,1.710502,2.114992,50.334016,0.000000,18.152530,40.559605,0.000000,19.364000,12.690778,21.142971,0.000000,16.948064,8.061717,41.681010,75.940767,1.053942,0.000000,0.078424,0.000000,86.427923,16.061339,33.396007,0.000000,0.000000,29.601353,40.807771,154.929110,137.484400,2.351873,357.803926,0.000000,629.105087,0.000000,121.310901,33.479576,0.000000,16.990555,115.787038,40.533274,45.962390,37.155045,41.138818,142.824507,25.618572,12.937512,20.070786,14.52,405.453114,0,0,0,0,0

