Block,Time Block,NLCEXP,MAPS,NJPC,NAPP,NLCIIST1,KGSU1AND2,KGSU3AND4,KKNP,KHSTPP-II,KKNPPU2,KOLDAM,KISHANGANGA,KHSTPP-I,KUDGI,KOTESHWR,DADRT2,FSTPP I & II,DHAULIGNGA,DULHASTI,RIHAND3,RSTPSU1TO6,RAPPC,RIHAND2,RIHAND1,SINGRAULI,SASAN,RSTPSU7,SIMHST1,SINGRAULI_HYDRO,SIMHST2,SEWA2,SALAL,ANTA_CRF,BRBCL,CHAMERA1,BSIUL,CHAMERA3,CHAMERA2,RAPPB,VALLURNTECL,URI2,TelanganaSTPP,UNCHAHAR3,UNCHAHAR2,TEHRI,UNCHAHAR1,URI,UNCHAHAR4,JHAJJAR,DADRI_CRF,AURY_RF,DADRI_LF,DADRI_GF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_LF,ANTA_RF,AURY_GF,ANTA_LF,NLCIIST2,NLCTS2EXP,NNTPP,RAMPUR,NTPL,PARBATI3,TALST2,TALA,TANAKPUR,TANDA2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,135.38,44.41,0,0,0,0,95.82,0,3.89,1.4,43.54,0,37.45,494.5,20.16,39.16,52.13,123.67,0,58.67,117.96,45.87,137.4,218.07,0,0,0,0,11.22,63.07,0,14.54,40.85,6.32,31.09,42.86,0,0,35.23,0,0,14.12,74.53,15.02,40.66,0,278.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91,0,17.02,0,9.78,3.1,0,0,0,0,0,0

2,00:15-00:30,0,0,135.38,44.41,0,0,0,0,95.82,0,3.89,1.4,43.54,0,37.45,484.43,17.95,39.16,52.13,123.67,0,58.67,117.96,45.87,137.41,218.07,0,0,0,0,11.22,63.07,0,14.54,40.85,6.32,31.09,42.86,0,0,35.23,0,0,14.12,74.53,15.02,40.66,0,300.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91,0,17.02,0,9.78,3.1,0,0,0,0,0,0

3,00:30-00:45,0,0,135.38,44.41,0,0,0,0,95.82,0,3.89,1.4,43.54,0,37.45,470.54,17.95,39.16,52.13,123.67,0,58.67,117.96,45.87,137.41,218.07,0,0,0,0,11.22,76.94,0,14.21,27.23,6.32,31.09,42.86,0,0,35.23,0,0,14.12,74.53,15.02,40.66,0,300.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91,0,17.02,0,9.78,4.97,0,0,0,0,0,0

4,00:45-01:00,0,0,135.38,44.41,0,0,0,0,95.82,0,3.89,1.4,43.54,0,37.45,445.03,17.95,39.16,52.13,123.67,0,58.67,117.96,45.87,137.41,218.07,0,0,0,0,11.22,76.94,0,11.53,27.23,6.32,31.09,42.86,0,0,35.23,0,0,14.12,74.53,15.02,40.66,0,300.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91,0,17.02,0,9.97,11.54,0,0,0,0,0,0

5,01:00-01:15,0,0,135.38,44.41,0,0,0,0,95.82,0,3.89,1.4,43.54,0,37.45,415.83,17.95,39.16,52.13,123.67,0,58.67,117.96,45.87,137.41,218.07,0,0,0,0,11.22,76.94,0,9.62,27.23,6.32,20.71,42.86,0,0,35.23,0,0,14.12,74.53,15.02,40.66,0,300.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91,0,17.02,0,9.97,11.54,0,0,0,0,0,0

6,01:15-01:30,0,0,135.38,44.41,0,0,0,0,95.82,0,3.89,1.4,43.54,0,37.45,393.53,17.95,39.16,52.13,123.67,0,58.67,117.96,45.87,137.41,218.07,0,0,0,0,11.22,76.94,0,9.54,27.23,6.32,20.71,42.86,0,0,35.23,0,0,14.12,74.53,15.02,48.68,0,300.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91,0,17.02,0,10.31,12.54,0,0,0,0,0,0

7,01:30-01:45,0,0,135.38,44.41,0,0,0,0,95.82,0,3.89,1.4,43.54,0,37.45,385.22,15.17,39.16,52.13,123.67,0,58.67,117.96,45.87,137.41,218.07,0,0,0,0,11.22,76.94,0,9.52,27.23,6.32,20.71,42.86,0,0,35.23,0,0,14.12,74.53,15.02,48.68,0,300.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91,0,14.98,0,10.31,12.54,0,0,0,0,0,0

8,01:45-02:00,0,0,135.38,44.41,0,0,0,0,95.82,0,3.89,1.4,43.54,0,37.45,374.7,15.17,39.16,52.13,123.67,0,58.67,117.96,45.87,137.41,218.07,0,0,0,0,5.57,76.94,0,9.64,27.23,6.32,20.71,27.47,0,0,35.23,0,0,14.12,74.53,15.02,40.66,0,300.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91,0,14.98,0,10.31,12.54,0,0,0,0,0,0

9,02:00-02:15,0,0,135.38,44.41,0,0,0,0,95.82,0,3.89,1.4,43.54,0,37.45,365.72,15.08,39.16,52.13,123.67,0,58.67,117.96,45.87,137.41,218.07,0,0,0,0,5.57,76.94,0,9.61,27.23,6.32,20.71,27.47,0,0,35.23,0,0,11.65,74.53,11.86,40.66,0,300.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91,0,14.98,0,10.49,12.54,0,0,0,0,0,0

10,02:15-02:30,0,0,135.38,44.41,0,0,0,0,95.82,0,3.89,1.4,43.54,0,37.45,365.72,17.22,39.16,52.13,123.67,0,58.67,117.96,45.87,137.41,218.07,0,0,0,0,0,76.94,0,9.91,27.23,6.32,20.71,27.47,0,0,35.23,0,0,11.65,74.53,11.86,40.66,0,300.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91,0,14.98,0,10.49,12.54,0,0,0,0,0,0

11,02:30-02:45,0,0,135.38,44.41,0,0,0,0,95.82,0,3.89,1.4,43.54,0,37.45,365.72,17.38,39.16,52.13,123.67,0,58.67,117.96,45.87,137.41,218.07,0,0,0,0,0,76.94,0,11.48,27.23,6.32,20.71,27.47,0,0,35.23,0,0,11.65,74.53,11.86,34.24,0,300.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91,0,14.98,0,10.49,12.54,0,0,0,0,0,0

12,02:45-03:00,0,0,135.38,44.41,0,0,0,0,95.82,0,3.89,1.4,43.54,0,37.45,365.72,17.38,39.16,52.13,123.67,0,58.67,117.96,45.87,137.41,218.07,0,0,0,0,0,76.94,0,11.56,27.23,6.32,20.71,27.47,0,0,35.23,0,0,11.65,74.53,11.86,34.24,0,300.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91,0,14.98,0,10.49,12.54,0,0,0,0,0,0

13,03:00-03:15,0,0,123.84,44.41,0,0,0,0,95.82,0,3.89,1.4,43.54,0,37.45,365.72,17.38,39.16,52.13,123.67,0,58.67,117.96,45.87,137.41,218.07,0,0,0,0,0,76.94,0,12.17,27.23,6.32,20.71,27.47,0,0,28.65,0,0,11.65,74.53,11.86,27.83,0,300.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,0,14.98,0,10.12,12.54,0,0,0,0,0,0

14,03:15-03:30,0,0,123.84,44.41,0,0,0,0,95.82,0,3.89,1.4,43.54,0,37.45,365.72,17.38,39.16,52.13,123.67,0,58.67,117.96,45.87,137.41,218.07,0,0,0,0,0,76.94,0,10.48,27.23,6.32,20.71,27.47,0,0,28.65,0,0,11.65,74.53,11.86,27.83,0,300.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,0,14.98,0,10.12,12.54,0,0,0,0,0,0

15,03:30-03:45,0,0,123.84,44.41,0,0,0,0,95.82,0,3.89,1.4,43.54,0,37.45,365.72,17.38,39.16,52.13,123.67,0,58.67,117.96,45.87,137.41,218.07,0,0,0,0,0,76.94,0,9.46,27.23,6.32,20.71,27.47,0,0,28.65,0,0,11.65,74.53,11.86,27.83,0,300.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,0,14.98,0,10.12,12.54,0,0,0,0,0,0

16,03:45-04:00,0,0,123.84,44.41,0,0,0,0,95.82,0,3.89,1.4,43.54,0,37.45,365.72,17.38,39.16,52.13,123.67,0,58.67,117.96,45.87,137.41,218.07,0,0,0,0,0,76.94,0,10.29,13.62,6.32,20.71,27.47,0,0,28.65,0,0,11.65,74.53,11.86,27.83,0,300.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,0,14.98,0,10.12,12.54,0,0,0,0,0,0

17,04:00-04:15,0,0,123.84,44.41,0,0,0,0,95.82,0,3.89,1.4,43.54,0,37.45,365.72,17.38,39.16,52.13,123.67,0,58.67,117.96,45.87,137.41,218.07,0,0,0,0,0,74.33,0,10.87,13.62,6.32,20.71,27.47,0,0,28.65,0,0,11.65,74.53,11.86,48.68,0,273.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,0,14.98,0,10.49,12.54,0,0,0,0,0,0

18,04:15-04:30,0,0,123.84,44.41,0,0,0,0,95.82,0,3.89,1.4,43.54,0,37.45,365.72,17.38,39.16,52.13,123.67,0,58.67,117.96,45.87,137.41,218.07,0,0,0,0,0,74.33,0,13.43,13.62,6.32,20.71,27.47,0,0,28.65,0,0,11.65,74.53,11.86,48.68,0,273.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,0,14.98,0,10.49,11.54,0,0,0,0,0,0

19,04:30-04:45,0,0,123.84,44.41,0,0,0,0,95.82,0,3.89,1.4,43.54,0,37.45,365.72,17.38,39.16,52.13,123.67,0,58.67,117.96,45.87,137.41,218.07,0,0,0,0,0,74.33,0,13.98,0,6.32,20.71,27.47,0,0,28.65,0,0,11.65,74.53,11.86,32.1,0,273.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,0,3.4,0,10.35,12.6,0,0,0,0,0,0

20,04:45-05:00,0,0,123.84,44.41,0,0,0,0,95.82,0,3.89,1.4,43.54,0,37.45,365.72,17.38,39.16,52.13,123.67,0,58.67,117.96,45.87,137.41,218.07,0,0,0,0,0,74.33,0,13.37,0,6.32,20.71,27.47,0,0,28.65,0,0,11.65,74.53,11.86,32.1,0,273.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,0,3.4,0,10.12,12.6,0,0,0,0,0,0

21,05:00-05:15,0,0,123.84,44.41,0,0,0,0,95.82,0,3.89,1.4,43.54,0,37.45,365.72,17.38,39.16,52.13,123.67,0,58.67,117.96,45.87,137.41,218.07,0,0,0,0,0,74.33,0,14.54,0,6.32,20.71,27.47,0,0,28.65,0,0,11.65,74.53,11.86,32.1,0,273.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,0,3.4,0,9.97,12.6,0,0,0,0,0,0

22,05:15-05:30,0,0,123.84,44.41,0,0,0,0,95.82,0,3.89,1.4,43.54,0,37.45,365.72,17.38,39.16,52.13,123.67,0,58.67,117.96,45.87,137.41,218.07,0,0,0,0,0,74.33,0,14.54,0,6.32,20.71,27.47,0,0,28.65,0,0,11.65,74.53,11.86,32.1,0,273.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,0,5.45,0,9.83,12.6,0,0,0,0,0,0

23,05:30-05:45,0,0,123.84,44.41,0,0,0,0,95.82,0,3.89,1.4,43.54,0,37.45,365.72,17.38,39.16,52.13,123.67,0,58.67,117.96,45.87,137.41,218.07,0,0,0,0,0,74.33,0,14.54,0,6.32,20.71,27.47,0,0,28.65,0,0,11.65,74.53,11.86,48.68,0,273.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,0,8.17,0,9.55,12.6,0,0,0,0,0,0

24,05:45-06:00,0,0,123.84,44.41,0,0,0,0,95.82,0,3.89,1.4,43.54,0,37.45,365.72,17.38,39.16,52.13,123.67,0,58.67,117.96,45.87,137.41,218.07,0,0,0,0,0,74.33,0,14.42,0,6.32,20.71,27.47,0,0,28.65,0,0,11.65,74.53,11.86,48.68,0,273.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,0,52.44,0,9.4,12.6,0,0,0,0,0,0

