Block,Time,NR/01102023/31102037/L_NR_2019_11,NR/01102023/19072037/LT-05,NR/19022024/29022024/NVVN/OA/16907,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05420,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05718,NR/30092023/31122025/SH-07,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,NR/16022024/29022024/HP-38,NR/01102023/06022042/L_NR_2012_07,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05714,NR/01102023/23072042/L_NR_2012_04,NR/01022024/29022024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/16022024/29022024/HP-40,NR/16022024/29022024/HP-36,NR/01102023/05012040/L_NR_2020_02,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05713,NR/30092023/26122029/SH-06,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05406,NR/01022024/29022024/79,NR/01102023/30042040/GNA_LT_36,NR/16022024/29022024/HP-45,NR/01102023/15082037/GNA_NR_2012_01,NR/01012024/31032024/ ChanjuII,NR/20122023/29022024/IEX_LDC_231218_00502,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01102023/30042040/GNA_LT_35,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/13082046/L_NR_2021_12,WR/01102023/01102023/L_NR_2022_09,SR/14022024/29022024/SJVN140224NR1518,WR/01102023/30052048/L_NR_2022_10,NR/01022024/29022024/SJVN010224NR1468,NR/01102023/02012046/L_NR_2021_17,NR/01022024/29022024/SJVN010224NR1469,WR/01102023/29112042/L_NR_2019_05,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2020_06,WR/01102023/24112044/L_NR_2020_07,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/14082046/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/25122043/L_NR_2023_10
1,00:00-00:15,0.950000,47.210000,19.270000,6.740000,6.740000,25.930000,0.000000,200.760000,0.000000,128.130000,52.670000,5.780000,270.980000,96.350000,0.000000,38.170000,1.160000,18.310000,25.930000,4.820000,0.000000,0.000000,16.320000,50.100000,1.930000,11.560000,8.190000,0.000000,0.000000,24.090000,0,16.77,0,16.77,0,0,0,0,0,0,8.88,0,22.5,6.01,0,7.5,7.5,0,0,0,0,0,0,0

2,00:15-00:30,0.950000,47.210000,19.270000,6.740000,6.740000,25.930000,0.000000,200.760000,0.000000,128.130000,52.670000,5.780000,270.980000,96.350000,0.000000,38.170000,1.160000,18.310000,25.930000,4.820000,0.000000,0.000000,16.320000,50.100000,1.930000,11.560000,8.190000,0.000000,0.000000,25.050000,0,16.5,0,16.5,0,0,0,0,0,0,8.55,0,22.5,6.01,0,7.5,7.5,0,0,0,0,0,0,0

3,00:30-00:45,0.950000,47.210000,19.270000,6.740000,6.740000,25.930000,0.000000,200.760000,0.000000,128.130000,52.670000,5.780000,270.980000,96.350000,0.000000,38.170000,1.160000,18.310000,25.930000,4.820000,0.000000,0.000000,16.320000,50.100000,1.930000,11.560000,8.190000,0.000000,0.000000,25.050000,0,16.22,0,16.22,0,0,0,0,0,0,7.77,0,22.5,6.01,0,7.5,7.5,0,0,0,0,0,0,0

4,00:45-01:00,0.950000,47.210000,19.270000,6.740000,6.740000,25.930000,0.000000,200.760000,0.000000,128.130000,52.670000,5.780000,270.980000,96.350000,0.000000,38.170000,1.160000,18.310000,25.930000,4.820000,0.000000,0.000000,16.320000,50.100000,1.930000,11.560000,8.190000,0.000000,0.000000,25.050000,0,15.88,0,15.88,0,0,0,0,0,0,7.44,0,22.5,6.01,0,7.5,7.5,0,0,0,0,0,0,0

5,01:00-01:15,0.950000,47.210000,19.270000,6.740000,6.740000,25.930000,0.000000,200.760000,0.000000,128.130000,52.670000,5.780000,270.980000,96.350000,0.000000,38.170000,1.160000,18.310000,25.930000,4.820000,0.000000,0.000000,16.320000,50.100000,1.840000,11.560000,8.190000,0.000000,0.000000,25.050000,0,15.22,0,15.22,0,0,0,0,0,0,7.1,0,22.5,6.01,0,7.5,7.5,0,0,0,0,0,0,0

6,01:15-01:30,0.950000,47.210000,19.270000,6.740000,6.740000,25.930000,0.000000,200.760000,0.000000,128.130000,52.670000,5.780000,270.980000,96.350000,0.000000,38.170000,1.160000,18.310000,25.930000,4.820000,0.000000,0.000000,16.320000,50.100000,1.840000,11.560000,8.190000,0.000000,0.000000,25.050000,0,14.44,0,14.44,0,0,0,0,0,0,7.1,0,22.5,6.01,0,7.5,7.5,0,0,0,0,0,0,0

7,01:30-01:45,0.950000,47.210000,19.270000,6.740000,6.740000,25.930000,0.000000,200.760000,0.000000,128.130000,52.670000,5.780000,270.980000,96.350000,0.000000,38.170000,1.160000,18.310000,25.930000,4.820000,0.000000,0.000000,16.320000,50.100000,1.840000,11.560000,8.190000,0.000000,0.000000,25.050000,0,21.44,0,21.44,0,0,0,0,0,0,7.1,0,22.5,6.01,0,7.5,7.5,0,0,0,0,0,0,0

8,01:45-02:00,0.950000,47.210000,19.270000,6.740000,6.740000,25.930000,0.000000,166.390000,0.000000,128.130000,52.670000,5.780000,270.980000,96.350000,0.000000,38.170000,1.160000,18.310000,25.930000,4.820000,0.000000,0.000000,16.320000,50.100000,1.840000,11.560000,8.190000,0.000000,0.000000,25.050000,0,21.17,0,21.17,0,0,0,0,0,0,7.1,0,22.5,6.01,0,7.5,7.5,0,0,0,0,0,0,0

9,02:00-02:15,0.950000,35.130000,19.270000,6.740000,6.740000,25.930000,0.000000,139.710000,0.000000,128.130000,33.720000,5.780000,231.240000,96.350000,0.000000,38.170000,1.160000,18.310000,25.930000,4.820000,0.000000,0.000000,16.320000,50.100000,1.840000,11.560000,8.190000,0.000000,0.000000,25.050000,0,20.88,0,20.88,0,0,0,0,0,0,7.1,0,22.5,6.01,0,7.5,7.5,0,0,0,0,0,0,0

10,02:15-02:30,0.950000,35.130000,19.270000,6.740000,6.740000,25.930000,0.000000,110.800000,0.000000,128.130000,33.720000,5.780000,209.080000,96.350000,0.000000,38.170000,1.160000,18.310000,25.930000,4.820000,0.000000,0.000000,16.320000,50.100000,1.840000,11.560000,8.190000,0.000000,0.000000,25.050000,0,20.55,0,20.55,0,0,0,0,0,0,7.1,0,22.5,6.01,0,7.5,7.5,0,0,0,0,0,0,0

