Column1,Block,GNA/NR/2024/09/01/8090,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/7119,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/16/2535,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/6020,NR/2024/23119/A/39419,NR/2024/22754/A/39386,NR/2024/23121/A/39420,NR/2024/22848/A/39400,NR/2024/22835/A/39436,NR/2024/22820/A/39110,NR/2024/23122/A/39418,NR/2024/22803/A/39425,NR/2024/23118/A/39416,NR/2024/23391/C,NR/2024/23378/C,NR/2024/23379/C,NR/2024/23217/A/39174,NR/2024/21658/A/39079,NR/2024/22874/A/39424,NR/2024/23038/A/39106,NR/2024/23375/C,NR/2024/23214/A/39171,NR/2024/23213/A/39169,NR/2024/23377/C,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/9821,Total
,,DELHI,BAWANA_GAS,PUNJAB,MANIKARAN,JITPL,DELHI,PTC,MANIKARAN,INSTINCT,NVVNL,PTC,NVVNL,APPCPL,MANIKARAN,IEXL,NVVNL,NVVNL,NVVNL,DIAPL,NVVNL,NVVNL,DIAPL,ITCLH,NVVNL,IEXL,TPDDL,SJVNL,SJVNL,NVVNL,TPTCL,APPCPL,
,,NA,DELHI_UT,DELHI_UT,MP_State,NA,HIMACHAL_STATE,HIMACHAL_STATE,ODISHA_STATE,NA,NA,HIMACHAL_STATE,NA,UTTARAKHAND_STATE,MSEB_State,KARNATAKA_STATE,NA,NA,NA,HIMACHAL_STATE,NA,NA,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,MP_State,MSEB_State,NA,NA,NA,NA,NA,Arunachal_State,
,,SKS_Raigarh,BAWANA_GAS,BAWANA_GAS,BLAPOWER_MP,JITPL,CHANJUII,HP,MAADURGA_THERMAL,JPL2,RKM_POWER,HP,RKM_POWER,UTTARAKHAND,AEML,NSLSUGAR,JPL2,JPNIGRIE_JNSTPP,TRN_ENERGY,GBHHPL,Kameng,SORANG_HEP,GBHHPL,ITCWIND,JP_BINA,A_A_Energy_MH_Bio,JHAJJAR,RSRPL_BKN,TPSL_BKN2,SOLAPUR_SOLAR,JITPL,Arunachal_Ben,
,,DELHI_UT,HARYANA_STATE,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,HARYANA,PUNJAB,BRPL,NDMC,TPDDL,BRPL,BRPL,BRPL,NDMC,BYPL,NDMC,BYPL,BYPL,MES_Delhi,NDMC,TPDDL,NDMC,DIAPL,TPDDL,TPDDL,DIAPL,ITCLH,TPDDL,MES_Delhi,TPDDL,NDMC,NDMC,MES_Delhi,BRPL,BRPL,
,,West-North,North-North,North-North,West-North,East-North,North-North,North-North,East-North,West-North,West-North,North-North,West-North,North-North,West-North,South-West-North,West-North,West-North,West-North,North-North,North East-East-North,North-North,North-North,South-West-North,West-North,West-North,North-North,North-North,North-North,West-North,East-North,North East-East-North,
1,00:00-00:15,8.8,24.08,24.08,21.77,17.5,8.59,163.3,2.42,96.77,26.39,54.43,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,6.77,0.87,48.38,3.87,241.92,0,0,0,24.19,32.9,1339.6200000000001

2,00:15-00:30,8.8,24.08,24.08,21.77,17.5,8.59,163.3,2.42,96.77,26.39,54.43,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,6.77,0.87,48.38,3.87,241.92,0,0,0,24.19,32.9,1339.6200000000001

