Column1,Time,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/6528,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/20/9333,NR/01102023/19072037/LT-05,GNA/NR/2025/01/01/3733,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/20/2470,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/8058,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/01/20/9046,NR/01102023/31052040/LT-31,GNA/NR/2025/01/20/5216,GNA/WR/2025/01/01/9606,NR/01102023/05012040/L_NR_2020_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02,NR/30092023/26122029/SH-06,GNA/NR/2025/01/20/4168,GNA/NR/2025/01/20/4698,NR/01102023/31102037/L_NR_2019_11,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/01/01/3945,NR/01102023/30042040/GNA_LT_35,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/8625,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,GNARE/SR/2025/01/13/4532,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,GNARE/NR/2024/12/20/3668
1,00:00-00:15,13.17,37.34,23.08,48.08,19.23,8.65,1.29,0,70.13,20.19,100.18,28.85,0,48.08,31.73,23.08,26.92,164.85,26.42,59.46,0,0,0,0,1.34,25.23,170.13,31,0,0,0.95,0.77,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.41,0,13.17,39.49,10.67,37.33,0

2,00:15-00:30,13.67,37,23.08,48.08,19.23,8.65,1.29,0,70.13,20.19,100.18,28.85,0,48.08,31.73,23.08,26.92,192.32,26.42,59.46,0,0,0,0,1.34,25.23,170.13,31,0,0,0.95,0.77,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.61,0,13.67,40.99,10.67,37,0

3,00:30-00:45,14,37,23.08,48.08,19.23,8.65,1.29,0,70.13,20.19,100.18,28.85,0,48.08,31.73,23.08,26.92,164.85,26.42,59.46,0,0,0,0,1.34,25.23,170.13,31,0,0,0.95,0.77,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.41,0,14,42,10.67,37,0

4,00:45-01:00,14.33,36.66,23.08,48.08,19.23,8.65,1.29,0,70.13,20.19,100.18,28.85,0,48.08,31.73,23.08,26.92,164.85,26.42,59.46,0,0,0,0,1.34,25.73,170.13,31,0,0,0.95,0.77,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.41,0,14.33,43.01,10.67,36.67,0

5,01:00-01:15,8.5,26.67,23.08,48.08,19.23,8.65,1.29,0,70.13,20.19,100.18,28.85,0,48.08,31.73,23.08,26.92,164.85,26.99,59.46,0,0,0,0,1.34,25.73,170.13,26.99,0,0,0.95,0.77,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,0,8.5,25.5,10.67,26.67,0

6,01:15-01:30,8.5,26.33,23.08,48.08,19.23,8.65,1.29,0,70.13,20.19,100.18,28.85,0,48.08,31.73,23.08,26.92,164.85,26.99,59.46,0,0,0,0,1.34,25.73,170.13,26.99,0,0,0.95,0.77,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,0,8.5,25.5,10.67,26.33,0

