Column1,Block,WR/2025/27361/A/67418,NR/2025/26208/C,WR/2025/27350/A/66949,NR/2025/26209/C,NR/2025/26210/C,GNARE/NR/2024/12/20/3668,NR/2025/25752/A/66933,NR/2025/26205/C,NR/2025/26206/C,NR/2025/26211/C,NR/2025/25947/A/67409,NR/2025/25948/A/67408,NR/2025/26031/A/67128,NR/2025/26183/C,NR/2025/26085/A/67180,NR/2025/25945/A/67410,NR/2025/25955/A/67407,NR/2025/26207/C,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/16/2139,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/01/6490,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/16/4327,NR/30092023/31122025/SH-07,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/16/2341,GNA/SR/2025/04/01/2597,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/6216,NR/2025/26204/C,Total
,,APPCPL,HPXL,KEIPL,HPXL,HPXL,SECI_Trader,IEXL,HPXL,HPXL,HPXL,APPCPL,APPCPL,DIAPL,TPDDL,ITCLH,APPCPL,APPCPL,HPXL,NDMC,PowerPulse,IVPL_Trader,IEXL,IEXL,NDMC,IEXL,HPXL,HPXL,DELHI,PXIL,HPXL,BAWANA_GAS,HPXL,IEXL,APPCPL,PUNJAB,IEXL,IEXL,IEXL,HPXL,
,,DELHI_UT,NA,DELHI_UT,HIMACHAL_STATE,KARNATAKA_STATE,NA,NA,NA,HIMACHAL_STATE,KARNATAKA_STATE,NA,NA,HIMACHAL_STATE,NA,ANDHRA_PRADESH_STATE,NA,NA,ANDHRA_PRADESH_STATE,NA,NA,DELHI_UT,SIKKIM_STATE,HIMACHAL_STATE,NA,SIKKIM_STATE,NA,CSEB_State,HIMACHAL_STATE,UTTARPRADESH_STATE,NA,DELHI_UT,NA,NA,DELHI_UT,DELHI_UT,HIMACHAL_STATE,SIKKIM_STATE,SIKKIM_STATE,NA,
,,BYPL,SORANG_HEP,BYPL,GHPPL_HP,FORTUNE5PROJKAR,APSEPL_FTG,TPSL_BKN2,JHABUA_IPP,GSHEPL_HP,TADASWIND_KAR,RKM_POWER,TRN_ENERGY,GBHHPL,JHAJJAR,ITCWIND,RKM_POWER,JIPL,TADASWIND,JPL2,APL_Raipur_TPP,BYPL,RCHEP,RHPPL_HP,SKS_Raigarh,Kalez_Khola_HEP,JPL2,MSPLTD,CHANJUII,LAPL_UP,JPL,BAWANA_GAS,SIMHAPURI,JPNIGRIE_JNSTPP,BYPL,BAWANA_GAS,KGEPL_HP,MEYONGCHU_HEP,LLHEP1234,CPTTNPL,
,,CSEB_State,DELHI_UT,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,KERALA_State,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,CSEB_Beneficiary,BYPL,CSEB_Beneficiary,BYPL,BYPL,TPDDL,MES_Delhi,BYPL,BYPL,BYPL,NDMC,NDMC,DIAPL,TPDDL,ITCLH,NDMC,NDMC,BYPL,NDMC,BRPL,TPC_MSEB,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,TPDDL,BRPL,BRPL,HARYANA,BRPL,BRPL,KSEB,PUNJAB,BRPL,BRPL,BRPL,BYPL,
,,North-West,North-North,North-West,North-North,South-West-North,North-North,North-North,West-North,North-North,South-West-North,West-North,West-North,North-North,North-North,South-West-North,West-North,East-North,South-West-North,West-North,West-North,North-West,East-North,North-North,West-North,East-North,West-North,West-North,North-North,North-North,West-North,North-North,South-East-North,West-North,North-West-South,North-North,North-North,East-North,East-North,West-North,
1,00:00-00:15,24.04,8.37,0,3.85,11.15,0,0,0,4.13,12.11,26.22,8.74,3.85,213.45,0.48,26.22,17.48,11.35,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,9.2,48.08,72.11,32,21.9,19.23,52.5,32,9.62,2.88,9.62,20.1,921.2000000000002

2,00:15-00:30,24.04,8.37,0,3.85,11.73,0,0,0,4.13,11.44,26.22,8.74,3.85,213.45,0.48,26.22,17.48,9.81,26.22,96.15,0,2.88,1.92,8.74,2.88,72.11,9.62,9.2,48.08,72.11,32,21.9,19.23,52.5,32,9.62,2.88,9.62,20.29,919.76

