Block,Time,L_NR_2012_07,L_NR_2012_04,LT-31,LT-59,LT-35,LT-05,SH-06,L_NR_2012_02,L_NR_2012_01,LT-36,SH-07,L_NR_2023_04,L_NR_2020_02,L_NR_2019_11,L_NR_2022_10,L_NR_2021_16,L_NR_2022_08,L_NR_2021_12,L_NR_2023_07,L_NR_2020_05,L_NR_2019_07,L_NR_2018_61,L_NR_2021_15,L_NR_2023_10,L_NR_2019_19,L_NR_2022_09,L_NR_2021_13,L_NR_2019_06,L_NR_2021_17,L_NR_2020_07,L_NR_2019_05,L_NR_2020_06,L_NR_2021_14
1,00:00-00:15,74.110000,133.380000,0.000000,0.000000,0.000000,87.370000,30.930000,261.530000,0.000000,0.000000,23.360000,29.710000,11.900000,10.770000,80,0,35,0,0,117.5,0,42.02,0,0,0,80,0,0,0,39.16,0,39.17,0

2,00:15-00:30,74.110000,133.380000,0.000000,0.000000,0.000000,87.370000,30.930000,261.530000,0.000000,0.000000,23.360000,29.710000,11.900000,10.770000,80,0,35,0,0,117.5,0,42.02,0,0,0,80,0,0,0,39.16,0,39.17,0

3,00:30-00:45,74.110000,133.380000,0.000000,0.000000,0.000000,87.370000,26.090000,261.530000,0.000000,0.000000,26.090000,29.710000,11.900000,10.770000,80,0,35,0,0,117.5,0,42.02,0,0,0,80,0,0,0,39.16,0,39.17,0

4,00:45-01:00,74.110000,133.380000,0.000000,0.000000,0.000000,87.370000,26.090000,261.530000,0.000000,0.000000,26.090000,29.710000,11.900000,10.770000,80,0,35,0,0,117.5,0,42.02,0,0,0,80,0,0,0,39.16,0,39.17,0

5,01:00-01:15,74.110000,133.380000,0.000000,0.000000,0.000000,83.110000,26.090000,261.530000,0.000000,0.000000,26.090000,29.710000,11.900000,0.000000,80,0,35,0,0,117.5,0,42.02,0,0,0,80,0,0,0,39.16,0,39.17,0

6,01:15-01:30,59.100000,133.380000,0.000000,0.000000,0.000000,70.510000,26.060000,261.530000,0.000000,0.000000,26.060000,29.710000,11.900000,0.000000,80,0,35,0,0,117.5,0,42.02,0,0,0,80,0,0,0,39.16,0,39.17,0

7,01:30-01:45,59.100000,133.380000,0.000000,0.000000,0.000000,70.510000,26.060000,261.530000,0.000000,0.000000,26.060000,29.710000,11.900000,0.000000,80,0,35,0,0,117.5,0,42.02,0,0,0,80,0,0,0,39.16,0,39.17,0

8,01:45-02:00,59.100000,133.380000,0.000000,0.000000,0.000000,70.510000,26.060000,261.530000,0.000000,0.000000,26.060000,29.710000,11.900000,0.000000,80,0,35,0,0,117.5,0,42.02,0,0,0,80,0,0,0,39.16,0,39.17,0

9,02:00-02:15,49.950000,133.380000,0.000000,0.000000,0.000000,70.510000,26.060000,261.530000,0.000000,0.000000,26.060000,29.710000,11.900000,0.000000,80,0,35,0,0,117.5,0,43.02,0,0,0,80,0,0,0,39.16,0,39.17,0

10,02:15-02:30,49.950000,133.380000,0.000000,0.000000,0.000000,70.510000,26.060000,261.530000,0.000000,0.000000,26.060000,29.710000,11.900000,0.000000,80,0,35,0,0,117.5,0,43.02,0,0,0,80,0,0,0,39.16,0,39.17,0

11,02:30-02:45,49.950000,133.380000,0.000000,0.000000,0.000000,70.510000,26.060000,261.530000,0.000000,0.000000,26.060000,29.710000,11.900000,0.000000,80,0,35,0,0,117.5,0,43.02,0,0,0,80,0,0,0,39.16,0,39.17,0

12,02:45-03:00,49.950000,133.380000,0.000000,0.000000,0.000000,70.510000,26.060000,261.530000,0.000000,0.000000,26.060000,29.710000,11.900000,0.000000,80,0,35,0,0,117.5,0,43.02,0,0,0,80,0,0,0,39.16,0,39.17,0

