Time,Block,WR/2024/21351/A/3934,NR/2024/18504/C,WR/2024/21355/A/3939,NER/2024/1933/C,NER/2024/1922/A/3931,NR/2024/18388/A/3800,NR/2024/18445/A/3938,NR/2024/18436/A/3817,Total
,,APPCPL,NVVNL,MANIKARAN,APPCPL,APPCPL,ITCLH,MANIKARAN,IEXL,Total

,,DELHI,NA,DELHI,DELHI,DELHI,ANDHRA PRADESH,DELHI,MAHARASHTRA,
,,BRPL,SOLAPUR_SOLAR,BRPL,BYPL,BRPL,ITCWIND,BRPL,A_A_Energy_MH_Bio,
,,GOA,DELHI,GOA,NAGALAND,MANIPUR,DELHI,HIMACHAL PRADESH,DELHI,
,,GOA_Beneficiary,MES (Delhi),GOA_Beneficiary,Nagaland_Ben,Manipur_Ben,ITCLH,HP,MES (Delhi),
,,North-West,West-North,North-West,North-East-North East,North-East-North East,South-West-North,North-North,West-East-North,
1,00:00-00:15,0.000000,0,0.000000,20.000000,25.000000,0.380000,0.000000,7.700000,53.08

2,00:15-00:30,0.000000,0,0.000000,20.000000,25.000000,0.380000,0.000000,7.700000,53.08

3,00:30-00:45,0.000000,0,0.000000,20.000000,25.000000,0.380000,0.000000,7.700000,53.08

4,00:45-01:00,0.000000,0,0.000000,20.000000,25.000000,0.380000,0.000000,7.700000,53.08

5,01:00-01:15,0.000000,0,0.000000,20.000000,25.000000,0.380000,0.000000,7.700000,53.08

6,01:15-01:30,0.000000,0,0.000000,20.000000,25.000000,0.380000,0.000000,7.700000,53.08

7,01:30-01:45,0.000000,0,0.000000,20.000000,25.000000,0.380000,0.000000,7.700000,53.08

8,01:45-02:00,0.000000,0,0.000000,20.000000,25.000000,0.380000,0.000000,7.700000,53.08

9,02:00-02:15,0.000000,0,0.000000,20.000000,25.000000,0.380000,0.000000,7.700000,53.08

10,02:15-02:30,0.000000,0,0.000000,20.000000,25.000000,0.380000,0.000000,7.700000,53.08

11,02:30-02:45,0.000000,0,0.000000,20.000000,25.000000,0.380000,0.000000,7.700000,53.08

12,02:45-03:00,0.000000,0,0.000000,20.000000,25.000000,0.380000,0.000000,7.700000,53.08

13,03:00-03:15,0.000000,0,0.000000,20.000000,25.000000,0.380000,0.000000,7.700000,53.08

14,03:15-03:30,0.000000,0,0.000000,20.000000,25.000000,0.380000,0.000000,7.700000,53.08

15,03:30-03:45,0.000000,0,0.000000,20.000000,25.000000,0.380000,0.000000,7.700000,53.08

16,03:45-04:00,0.000000,0,0.000000,20.000000,25.000000,0.380000,0.000000,7.700000,53.08

