Block,Time,L_NR_2012_02,L_NR_2012_01,L_NR_2012_04,LT-59,L_NR_2023_04,L_NR_2019_11,SH-07,LT-05,L_NR_2012_07,LT-31,LT-35,L_NR_2020_02,LT-36,SH-06,L_NR_2018_61,L_NR_2020_07,L_NR_2021_13,L_NR_2022_09,L_NR_2021_17,L_NR_2020_05,L_NR_2020_06,L_NR_2021_16,L_NR_2022_10,L_NR_2021_14,L_NR_2021_15,L_NR_2019_06,L_NR_2019_05,L_NR_2019_19,L_NR_2021_12,L_NR_2022_08,L_NR_2019_07
1,00:00-00:15,235.170000,101.130000,271.520000,10.330000,26.070000,10.750000,0.000000,115.510000,74.030000,0.000000,0.000000,11.880000,0.000000,0.000000,42.45,24.79,0,47.22,0,74.32,24.77,0,47.22,0,0,0,0,0,0,21.92,0

2,00:15-00:30,235.170000,101.130000,271.520000,10.330000,26.070000,10.750000,0.000000,115.510000,74.030000,0.000000,0.000000,11.880000,0.000000,0.000000,42.33,24.5,0,46.24,0,73.52,24.51,0,46.24,0,0,0,0,0,0,21.76,0

3,00:30-00:45,235.170000,101.130000,271.520000,10.330000,26.070000,10.750000,0.000000,115.510000,74.030000,0.000000,0.000000,11.880000,0.000000,0.000000,42.26,23.98,0,38.8,0,71.96,23.99,0,38.8,0,0,0,0,0,0,18.15,0

4,00:45-01:00,235.170000,101.130000,271.520000,10.330000,26.070000,10.750000,0.000000,115.510000,74.030000,0.000000,0.000000,11.880000,0.000000,0.000000,42.43,23.43,0,38.4,0,70.27,23.42,0,38.4,0,0,0,0,0,0,17.71,0

5,01:00-01:15,235.170000,101.130000,271.520000,10.330000,28.000000,10.750000,0.000000,115.510000,74.030000,0.000000,0.000000,11.880000,0.000000,0.000000,42.31,22.95,0,37.99,0,68.88,22.96,0,37.99,0,0,0,0,0,0,17.38,0

6,01:15-01:30,235.170000,101.130000,271.520000,10.330000,28.000000,10.750000,0.000000,115.510000,74.030000,0.000000,0.000000,11.880000,0.000000,0.000000,42.35,15.38,0,37.91,0,46.16,15.39,0,37.91,0,0,0,0,0,0,12.48,0

7,01:30-01:45,235.170000,101.130000,271.520000,10.330000,28.000000,10.750000,0.000000,115.510000,74.030000,0.000000,0.000000,11.510000,0.000000,0.000000,42.38,15.25,0,37.16,0,45.78,15.26,0,37.16,0,0,0,0,0,0,12.14,0

