Block,Time Block,CHAMERA3,DHAULIGNGA,DADRT2,FSTPP I & II,DULHASTI,BSIUL,BRBCL,CHAMERA2,CHAMERA1,KUDGI,MAPS,NAPP,NJPC,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,DADRI_CRF,DADRI_RF,TANAKPUR,TALA,TALST2,TEHRI,TANDA2,TelanganaSTPP,AURY_CRF,URI,AURY_GF,ANTA_CRF,UNCHAHAR1,VALLURNTECL,ANTA_RF,UNCHAHAR4,URI2,ANTA_LF,UNCHAHAR3,ANTA_GF,UNCHAHAR2,RSTPSU7,SALAL,SEWA2,RIHAND3,SINGRAULI_HYDRO,SIMHST2,RIHAND2,SASAN,SINGRAULI,RIHAND1,SIMHST1,RSTPSU1TO6,RAPPC,KOTESHWR,KOLDAM,RAPPB,PARBATI2,RAMPUR,PARBATI3,KKNP,KKNPPU2,KISHANGANGA,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,NLCEXP,KGSU1AND2,KGSU3AND4,JHAJJAR,KHSTPP-II,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,11.21,0,331.08,13.37,19.06,12.54,17.83,31.25,0,0,0,50.39,0,0,0,0,0,0,0,0,0,0,25.43,3.94,0,0,33.45,0,0,20.81,0,0,1.75,35.5,0,25.94,0,42.34,0,12.85,18.16,124.08,0.71,0,118.36,402.81,105.48,92.29,0,0,67.28,10.01,0,0,0,0,0,0,0,5.42,0,0,0,0,0,0,0,0,494.91,142.65,44.08,0,0,0,0,0

2,00:15-00:30,11.21,0,331.08,13.37,19.06,12.54,14.73,31.25,0,0,0,50.39,0,0,0,0,0,0,0,6.03,0,0,12.72,3.94,0,0,33.45,0,0,20.81,0,0,1.75,35.5,0,25.94,0,42.34,0,12.85,18.16,124.08,0.71,0,118.36,402.81,105.48,92.29,0,0,67.28,10.01,0,0,0,0,0,0,0,5.42,0,0,0,0,0,0,0,0,494.91,142.65,44.08,0,0,0,0,0

3,00:30-00:45,11.21,0,331.08,13.37,19.06,12.54,15.58,31.25,0,0,0,50.39,0,0,0,0,0,0,0,6.03,0,0,0,3.94,0,0,33.45,0,0,20.81,0,0,1.75,38.12,0,25.94,0,42.34,0,12.85,18.16,124.08,0.71,0,118.36,402.81,105.48,92.29,0,0,67.28,10.01,0,0,0,0,0,0,0,5.42,0,0,0,0,0,0,0,0,486.38,142.65,44.08,0,0,0,0,0

4,00:45-01:00,11.21,0,331.08,13.37,19.06,12.54,14.94,31.25,0,0,0,50.39,0,0,0,0,0,0,0,6.03,0,0,0,3.94,0,0,33.45,0,0,20.81,0,0,1.75,38.12,0,25.94,0,42.34,0,12.85,18.16,124.08,0.71,0,118.36,402.81,105.48,92.29,0,0,67.28,10.01,0,0,0,0,0,0,0,5.42,0,0,0,0,0,0,0,0,486.38,142.65,44.08,0,0,0,0,0

5,01:00-01:15,11.21,0,331.08,13.37,19.06,12.54,13.37,15.63,0,0,0,50.39,0,0,0,0,0,0,0,6.03,0,0,0,3.94,0,0,33.45,0,0,20.81,0,0,1.75,38.12,0,25.94,0,42.34,0,16.78,18.16,124.08,0.71,0,118.36,402.81,105.48,92.29,0,0,67.28,10.01,0,0,0,0,0,0,0,5.42,0,0,0,0,0,0,0,0,486.38,142.65,44.08,0,0,0,0,0

6,01:15-01:30,11.21,0,296.45,13.37,19.06,12.54,11.4,15.63,0,0,0,50.39,0,0,0,0,0,0,0,6.03,0,0,0,3.94,0,0,33.45,0,0,20.81,0,0,1.75,38.12,0,25.94,0,42.34,0,68.18,18.16,124.08,0.71,0,118.36,402.81,105.48,92.29,0,0,67.28,10.01,0,0,0,0,0,0,0,5.42,0,0,0,0,0,0,0,0,486.4,142.65,44.08,0,0,0,0,0

7,01:30-01:45,11.21,0,276.8,13.37,19.06,12.54,11.06,15.63,0,0,0,50.39,0,0,0,0,0,0,0,6.03,0,0,0,3.94,0,0,33.45,0,0,20.81,0,0,1.75,38.12,0,25.94,0,42.34,0,68.18,18.16,124.08,0.71,0,118.36,402.81,105.48,92.29,0,0,67.28,10.01,0,0,0,0,0,0,0,5.42,0,0,0,0,0,0,0,0,486.4,142.65,44.08,0,0,0,0,0

8,01:45-02:00,11.21,0,249.97,13.37,19.06,12.54,11.06,15.63,0,0,0,50.39,0,0,0,0,0,0,0,6.03,0,0,0,3.94,0,0,33.45,0,0,20.81,0,0,1.75,38.12,0,25.94,0,42.34,0,68.18,18.16,124.08,0.71,0,118.36,402.81,105.48,92.29,0,0,67.28,10.01,0,0,0,0,0,0,0,5.42,0,0,0,0,0,0,0,0,486.38,142.65,44.08,0,0,0,0,0

9,02:00-02:15,11.21,0,219.08,13.37,19.06,12.54,11.06,15.63,0,0,0,50.39,0,0,0,0,0,0,0,6.03,0,0,0,3.94,0,0,33.45,0,0,20.81,0,0,1.75,38.12,0,26.62,0,43.05,0,68.18,18.16,124.08,0.71,0,118.36,402.81,105.48,92.29,0,0,67.28,10.01,0,0,0,0,0,0,0,5.42,0,0,0,0,0,0,0,0,378.13,142.65,44.08,0,0,0,0,0

10,02:15-02:30,11.21,0,190.15,13.37,19.06,12.54,11.22,15.63,0,0,0,50.39,0,0,0,0,0,0,0,0,0,0,0,3.94,0,0,33.45,0,0,16.37,0,0,1.75,38.12,0,21.02,0,34.35,0,68.18,18.16,124.08,0.71,0,118.36,402.81,105.48,92.29,0,0,67.28,10.01,0,0,0,0,0,0,0,5.42,0,0,0,0,0,0,0,0,324.95,142.65,44.08,0,0,0,0,0

11,02:30-02:45,11.21,0,182.22,13.37,19.06,6.27,12.24,15.63,0,0,0,50.39,0,0,0,0,0,0,0,0,0,0,0,3.94,0,0,33.45,0,0,16.37,0,0,1.75,38.12,0,21.02,0,34.35,0,68.18,18.16,124.08,0.71,0,118.36,402.81,105.48,92.29,0,0,67.28,10.01,0,0,0,0,0,0,0,5.42,0,0,0,0,0,0,0,0,358.7,142.65,44.08,0,0,0,0,0

12,02:45-03:00,11.21,0,182.22,13.37,19.06,6.27,14.14,15.63,0,0,0,50.39,0,0,0,0,0,0,0,0,0,0,0,3.94,0,0,33.45,0,0,16.37,0,0,1.75,38.12,0,21.02,0,34.35,0,26.83,12.11,124.08,0.71,0,118.36,402.81,105.48,92.29,0,0,67.28,10.01,0,0,0,0,0,0,0,5.42,0,0,0,0,0,0,0,0,358.73,142.65,44.08,0,0,0,0,0

13,03:00-03:15,11.21,0,182.22,13.37,19.06,6.27,16.59,15.63,0,0,0,50.39,0,0,0,0,0,0,0,0,0,0,0,3.94,0,0,33.45,0,0,16.37,0,0,1.75,38.12,0,21.02,0,34.41,0,25.71,12.11,124.08,0.71,0,118.36,402.81,105.48,92.29,0,0,67.28,10.01,0,0,0,0,0,0,0,5.42,0,0,0,0,0,0,0,0,358.73,142.65,44.08,0,0,0,0,0

14,03:15-03:30,11.21,0,182.22,13.37,19.06,6.27,12.95,15.63,0,0,0,50.39,0,0,0,0,0,0,0,0,0,0,0,3.94,0,0,33.45,0,0,16.37,0,0,1.75,38.12,0,21.02,0,34.41,0,25.71,6.05,124.08,0.71,0,118.36,402.81,105.48,92.29,0,0,67.28,10.01,0,0,0,0,0,0,0,5.42,0,0,0,0,0,0,0,0,358.7,142.65,44.08,0,0,0,0,0

15,03:30-03:45,11.21,0,182.22,13.37,19.06,6.27,18.03,15.63,0,0,0,50.39,0,0,0,0,0,0,0,0,0,0,0,3.94,0,0,33.45,0,0,12.21,0,0,1.75,36.6,0,16.41,0,26.83,0,25.71,0,124.08,0.71,0,118.36,402.81,105.48,92.29,0,0,67.28,10.01,0,0,0,0,0,0,0,5.42,0,0,0,0,0,0,0,0,358.7,142.65,44.08,0,0,0,0,0

16,03:45-04:00,11.21,0,182.22,13.37,19.06,6.27,19.24,15.63,0,0,0,50.39,0,0,0,0,0,0,0,0,0,0,12.72,3.94,0,0,33.45,0,0,16.64,0,0,1.75,36.6,0,22.02,0,35.57,0,25.71,0,124.08,0.71,0,118.36,402.81,105.48,92.29,0,0,67.28,10.01,0,0,0,0,0,0,0,5.42,0,0,0,0,0,0,0,0,358.73,142.65,44.08,0,0,0,0,0

17,04:00-04:15,11.21,0,202.47,13.37,19.06,6.27,19.24,15.63,0,0,0,50.39,0,0,0,0,0,0,0,0,0,0,12.72,3.94,0,0,33.45,0,0,16.64,0,0,1.75,36.6,0,22.02,0,35.57,0,25.71,0,124.08,0.71,0,118.36,402.81,105.48,92.29,0,0,67.28,10.01,0,0,0,0,0,0,0,5.42,0,0,0,0,0,0,0,0,358.7,142.65,44.08,0,0,0,0,0

