Block,Time,KOTESHWR,NLCTS2EXP,ANTA_CRF,AURY_RF,CHAMERA3,KISHANGANGA,KUDGI,SALAL,SINGRAULI,TALA,UNCHAHAR4,DHAULIGNGA,KHSTPP-II,KKNP,KOLDAM,NLCEXP,NTPL,RAMPUR,RAPPC,RIHAND3,SIMHST1,UNCHAHAR2,ANTA_GF,DADRI_CRF,DADRI_LF,CHAMERA1,SASAN,TALST2,TANAKPUR,BRBCL,KGSU3AND4,KKNPPU2,NJPC,NLCIIST2,NNTPP,PARBATI3,SEWA2,SIMHST2,TelanganaSTPP,UNCHAHAR3,VALLURNTECL,ANTA_RF,AURY_CRF,BSIUL,DADRT2,FSTPP I & II,MAPS,NLCIIST1,RIHAND1,RIHAND2,SINGRAULI_HYDRO,UNCHAHAR1,ANTA_LF,AURY_LF,DULHASTI,JHAJJAR,KGSU1AND2,NAPP,RAPPB,RSTPSU1TO6,RSTPSU7,TANDA2,AURY_GF,DADRI_GF,CHAMERA2,KHSTPP-I,TEHRI,URI,URI2,DADRI_RF
1,00:00-00:15,8.88,0,0,53.98,0,0,0,1.4,125.96,0,0,0,148.3,0,0,0,0,0,53.93,124.32,0,42.39,0,0,23.57,0,306,0,7.81,20,0,0,0,0,0,0,0,0,0,26.39,0,44.83,0,0,683.14,18.2,0,0,92,118.75,0,20.56,0,0,0,654.3,0,44.53,0,0,0,0,0,0,0,32.78,0,0.88,4.31,69.38

2,00:15-00:30,8.88,0,0,53.98,0,0,0,1.4,125.96,0,0,0,148.3,0,0,0,0,0,53.93,124.32,0,42.39,0,0,23.57,0,285.75,0,7.81,20,0,0,0,0,0,0,0,0,0,26.39,0,44.83,0,0,683.14,18.2,0,0,92,118.75,0,20.56,0,0,0,654.3,0,44.53,0,0,0,0,0,0,0,32.78,0,0.88,4.31,69.38

3,00:30-00:45,8.88,0,0,53.98,0,0,0,1.4,125.96,0,0,0,148.3,0,0,0,0,0,53.93,124.32,0,42.39,0,0,23.57,0,265.5,0,7.81,20,0,0,0,0,0,0,0,0,0,26.39,0,44.83,0,0,683.14,18.2,0,0,92,118.75,0,20.56,0,0,0,654.3,0,44.53,0,0,0,0,0,0,0,32.78,0,0.88,4.31,69.38

4,00:45-01:00,8.88,0,0,53.98,0,0,0,1.4,125.96,0,0,0,148.3,0,0,0,0,0,53.93,124.32,0,42.39,0,0,23.57,0,241.88,0,7.81,20,0,0,0,0,0,0,0,0,0,26.39,0,44.83,0,0,683.14,18.2,0,0,92,118.75,0,20.56,0,0,0,654.3,0,44.53,0,0,0,0,0,0,0,32.78,0,0.88,4.31,69.38

5,01:00-01:15,8.88,0,0,53.98,0,0,0,1.4,125.96,0,0,0,148.3,0,0,0,0,0,53.93,124.32,0,42.39,0,0,23.57,0,241.88,0,7.81,20,0,0,0,0,0,0,0,0,0,26.39,0,44.83,0,0,683.14,18.2,0,0,92,118.75,0,20.56,0,0,0,654.3,0,44.53,0,0,0,0,0,0,0,33.69,0,0.88,4.31,69.38

