Column1,Time,SR/01102023/07102043/L_NR_2018_61,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/1599,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/22052037/LT-59,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,NR/30092023/26122029/SH-06,WR/01102023/31032046/L_NR_2020_05,NR/01102023/05012040/L_NR_2020_02,WR/01102023/01102023/L_NR_2022_09,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/L_NR_2019_05,NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_16,WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,WR/01102023/16072048/L_NR_2022_08,NR/01102023/13082046/L_NR_2021_12,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,NR/01102023/08032047/L_NR_2021_14,GNA/NR/2024/12/01/2197,NR/01102023/06022042/L_NR_2012_07,GNA/SR/2024/12/01/6968,NR/01102023/19072037/LT-05,GNA/NR/2024/12/01/3428,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/12/01/7739,GNA/WR/2024/11/01/4200,GNA/NR/2024/12/01/1899,GNA/WR/2024/10/15/7089,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/1475
1,00:00-00:15,7,0,95.13,74.6,0.93,0,20.83,0,62.51,1.61,48.33,0,0,0,0,0,0,48.34,0,0,12.67,0,20.83,0,0,25.9,63.91,150,34.98,8.63,0,93.36,0,0,31.71,0,8.63,0,2.11,1.3,52.76,0,25.9,25.9

2,00:15-00:30,7,0,95.13,74.6,0.93,0,20.5,0,61.5,1.61,47.67,0,0,0,0,0,0,47.66,0,0,12.33,0,20.5,0,0,25.9,63.91,150,34.98,8.63,0,93.36,0,0,31.71,0,8.63,0,2.11,1.3,52.76,0,25.9,25.9

3,00:30-00:45,7,0,95.13,74.6,0.93,0,20.33,0,61.01,1.61,58.67,0,0,0,0,0,0,58.67,0,0,12,0,20.33,0,0,25.9,63.91,150,34.98,8.63,0,93.36,0,0,31.71,0,8.63,0,2.11,1.3,52.76,0,25.9,25.9

4,00:45-01:00,7,0,95.13,74.6,0.93,0,20,0,60,1.61,58.33,0,0,0,0,0,0,58.33,0,0,11.67,0,20,0,0,25.9,63.91,150,34.98,8.63,0,93.36,0,0,31.71,0,8.63,0,2.11,1.3,52.76,0,25.9,25.9

5,01:00-01:15,7,0,95.13,74.6,0.93,0,19.67,0,58.99,1.61,61.67,0,0,0,0,0,0,61.67,0,0,10,0,19.67,0,0,25.9,63.91,150,34.98,8.63,0,93.36,0,0,31.71,0,8.63,0,2.11,1.3,52.76,0,25.9,25.9

6,01:15-01:30,7,0,95.13,74.6,0.93,0,19.17,0,57.49,1.61,61.33,0,0,0,0,0,0,61.33,0,0,10,0,19.17,0,0,25.9,57.27,150,34.98,8.63,0,72.91,0,0,31.71,0,8.63,0,2.11,1.3,52.76,0,25.9,25.9

7,01:30-01:45,7,0,95.13,74.6,0.93,0,18.83,0,56.51,1.61,61.67,0,0,0,0,0,0,61.67,0,0,9.66,0,18.83,0,0,25.9,57.27,150,34.98,8.63,0,72.91,0,0,31.71,0,8.63,0,2.11,1.3,52.76,0,25.9,25.9

8,01:45-02:00,7,0,95.13,74.6,0.93,0,18.67,0,55.99,1.61,60,0,0,0,0,0,0,60,0,0,9.66,0,18.67,0,0,25.9,57.27,150,34.98,8.63,0,72.91,0,0,31.71,0,8.63,0,2.11,1.3,52.76,0,25.9,25.9

9,02:00-02:15,7,0,95.13,74.6,0.93,0,18.33,0,55.01,1.61,58.33,0,0,0,0,0,0,58.33,0,0,9.34,0,18.33,0,0,25.9,57.27,150,34.98,8.63,0,72.91,0,0,31.71,0,8.63,0,2.11,1.22,52.76,0,25.9,25.9

10,02:15-02:30,7,0,95.13,74.6,0.93,0,18,0,54,1.61,55,0,0,0,0,0,0,55,0,0,9.34,0,18,0,0,25.9,57.27,150,34.98,8.63,0,93.36,0,0,31.71,0,8.63,0,2.11,1.22,52.76,0,25.9,25.9

11,02:30-02:45,11,0,95.13,74.6,0.93,0,17.5,0,52.5,1.61,48.33,0,0,0,0,0,0,48.34,0,0,9,0,17.5,0,0,25.9,57.27,150,34.98,8.63,0,93.36,0,0,31.71,0,8.63,0,2.11,1.22,52.76,0,25.9,25.9

12,02:45-03:00,11,0,95.13,74.6,0.93,0,17,0,51,1.61,46.67,0,0,0,0,0,0,46.66,0,0,9,0,17,0,0,25.9,57.27,150,34.98,8.63,0,93.36,0,0,31.71,0,8.63,0,2.11,1.22,52.76,0,25.9,25.9

13,03:00-03:15,13.01,0,95.13,74.6,0.93,0,15,0,45,1.61,43.33,0,0,0,0,0,0,43.34,0,0,11.67,0,15,0,0,25.9,57.27,150,34.98,8.63,0,63.31,0,0,31.71,0,8.63,0,2.11,1.22,52.76,0,25.9,25.9

14,03:15-03:30,13.01,0,95.13,74.6,0.93,0,14.67,0,43.99,1.61,41.67,0,0,0,0,0,0,41.66,0,0,11,0,14.67,0,0,25.9,57.27,150,34.98,8.63,0,63.31,0,0,31.71,0,8.63,0,2.11,1.22,52.76,0,25.9,25.9

15,03:30-03:45,16.01,0,95.13,74.6,0.93,0,14.5,0,43.5,1.61,36.67,0,0,0,0,0,0,36.66,0,0,10.67,0,14.5,0,0,25.9,57.27,150,34.98,8.63,0,63.31,0,0,31.71,0,8.63,0,2.11,1.22,52.76,0,25.9,25.9

16,03:45-04:00,15.81,0,95.13,74.6,0.93,0,14.33,0,43.01,1.61,36,0,0,0,0,0,0,36,0,0,10,0,14.33,0,0,25.9,57.27,150,34.98,8.63,0,63.31,0,0,31.71,0,8.63,0,2.11,1.22,52.76,0,25.9,25.9

17,04:00-04:15,9,0,95.13,74.6,0.93,0,14.33,0,43.01,1.61,33.33,0,0,0,0,0,0,33.34,0,0,9.33,0,14.33,0,0,25.9,57.27,150,34.98,8.63,0,93.36,0,0,31.71,0,8.63,0,2.11,1.14,52.76,0,25.9,25.9

18,04:15-04:30,8.8,0,95.13,74.6,0.93,0,14.17,0,42.49,1.61,33.33,0,0,0,0,0,0,33.34,0,0,8.33,0,14.17,0,0,25.9,57.27,150,34.98,8.63,0,93.36,0,0,31.71,0,8.63,0,2.11,1.14,52.76,0,25.9,25.9

19,04:30-04:45,15.01,0,95.13,74.6,0.93,0,14.17,0,42.49,1.61,32.33,0,0,0,0,0,0,32.34,0,0,11.67,0,14.17,0,0,25.9,63.91,150,34.98,8.63,0,93.36,0,0,31.71,0,8.63,0,2.11,1.14,52.76,0,25.9,25.9

20,04:45-05:00,15.01,0,95.13,74.6,0.93,0,14,0,42,1.61,31.67,0,0,0,0,0,0,31.66,0,0,11.67,0,14,0,0,25.9,63.91,150,34.98,8.63,0,93.36,0,0,31.71,0,8.63,0,2.11,1.14,52.76,0,25.9,25.9

