Block,Time,RIHAND2,UNCHAHAR1,SALAL,RAPPB,AURY_LF,TANAKPUR,ANTA_LF,NJPC,ANTA_RF,DADRI_GF,AURY_CRF,TEHRI,KOTESHWR,RIHAND3,BRBCL,SASAN,KHSTPP-II,FSTPP I & II,KHSTPP-I,TALA,DADRI_LF,PARBATI3,KOLDAM,DADRI_RF,SEWA2,RAPPC,CHAMERA3,CHAMERA1,SINGRAULI_HYDRO,RIHAND1,URI2,RAMPUR,CHAMERA2,NAPP,JHAJJAR,ANTA_GF,AURY_GF,BSIUL,SINGRAULI,TANDA2,UNCHAHAR2,AURY_RF,KISHANGANGA,UNCHAHAR4,DHAULIGNGA,DULHASTI,ANTA_CRF,DADRT2,URI,UNCHAHAR3,DADRI_CRF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,117.221440,14.474392,80.585165,0.000000,0.000000,10.117645,0.000000,160.945770,0.000000,0.000000,0.000000,63.017265,37.219607,122.904224,14.449300,354.337200,129.330790,13.646425,30.986240,4.247712,0.000000,0.000000,5.152119,0.000000,0.000000,57.876608,30.903670,40.597031,0.985061,91.165290,34.726469,3.403335,42.591754,43.329915,318.960029,0.000000,0.000000,12.561669,117.047680,1.492112,35.424878,0.000000,4.208137,0.866880,38.917401,52.530864,0.000000,582.355921,29.774438,0.000000,0.000000,0,0,0,0,0

2,00:15-00:30,117.221440,14.474392,80.585165,0.000000,0.000000,10.117645,0.000000,160.945770,0.000000,0.000000,0.000000,63.017265,37.219607,122.904224,14.449300,354.337200,129.330790,13.646425,30.986240,4.247712,0.000000,0.000000,5.152119,0.000000,0.000000,57.876608,30.903670,40.597031,0.985061,91.165290,34.726469,3.403335,42.591754,43.329915,160.714277,0.000000,0.000000,12.561669,117.047680,1.492112,35.561844,0.000000,4.208137,0.866880,38.917401,52.530864,0.000000,582.355921,29.774438,0.000000,0.000000,0,0,0,0,0

3,00:30-00:45,117.221440,15.129368,80.585165,0.000000,0.000000,8.513628,0.000000,160.945770,0.000000,0.000000,0.000000,63.017265,37.219607,122.904224,14.449300,354.337200,129.330790,12.437609,30.986240,4.672483,0.000000,0.000000,5.152119,0.000000,0.000000,57.876608,30.903670,40.597031,0.985061,91.165290,34.726469,3.403335,42.591754,43.329915,110.864320,0.000000,0.000000,12.561669,117.047680,1.492112,32.737330,0.000000,4.208137,0.866880,38.917401,52.530864,0.000000,512.523921,29.774438,0.000000,0.000000,0,0,0,0,0

4,00:45-01:00,117.221440,15.129368,80.585165,0.000000,0.000000,8.513628,0.000000,160.945770,0.000000,0.000000,0.000000,63.017265,37.219607,122.904224,14.449300,354.337200,129.330790,12.437609,30.986240,4.672483,0.000000,0.000000,5.152119,0.000000,0.000000,57.876608,30.903670,40.597031,0.985061,91.165290,34.726469,3.403335,42.591754,43.329915,110.864320,0.000000,0.000000,12.561669,117.047680,1.492112,27.670713,0.000000,4.208137,0.866880,38.917401,52.530864,0.000000,494.651360,29.774438,0.000000,0.000000,0,0,0,0,0

5,01:00-01:15,117.221440,15.129368,80.585165,0.000000,0.000000,8.513628,0.000000,160.945770,0.000000,0.000000,0.000000,63.017265,37.219607,122.904224,14.449300,354.337200,129.328864,13.773760,30.986240,4.955664,0.000000,0.000000,5.152119,0.000000,0.000000,57.876608,30.903670,40.597031,0.985061,91.165290,34.726469,3.403335,42.591754,43.329915,110.864320,0.000000,0.000000,12.561669,117.047680,1.492112,27.959673,0.000000,4.208137,0.866880,38.917401,52.530864,0.000000,494.651360,23.394202,0.000000,0.000000,0,0,0,0,0

6,01:15-01:30,117.221440,15.129368,80.585165,0.000000,0.000000,8.513628,0.000000,160.945770,0.000000,0.000000,0.000000,63.017265,37.219607,122.904224,14.449300,354.337200,129.328864,13.773760,30.986240,4.955664,0.000000,0.000000,5.152119,0.000000,0.000000,57.876608,30.903670,40.597031,0.985061,91.165290,34.726469,3.403335,42.591754,43.329915,110.864320,0.000000,0.000000,12.561669,117.047680,1.492112,27.959673,0.000000,4.208137,0.866880,38.917401,52.530864,0.000000,494.651360,23.394202,0.000000,0.000000,0,0,0,0,0

7,01:30-01:45,117.221440,15.129368,80.585165,0.000000,0.000000,7.279769,0.000000,160.945770,0.000000,0.000000,0.000000,63.017265,37.219607,122.904224,14.449300,354.337200,129.328864,13.773760,30.986240,4.955664,0.000000,0.000000,5.152119,0.000000,0.000000,57.876608,30.903670,40.597031,0.985061,91.165290,15.655375,3.403335,42.591754,43.329915,110.864320,0.000000,0.000000,12.561669,117.047680,1.492112,27.959673,0.000000,4.208137,0.866880,38.917401,52.530864,0.000000,495.084800,29.774438,0.000000,0.000000,0,0,0,0,0

8,01:45-02:00,117.221440,15.129368,80.585165,0.000000,0.000000,7.279769,0.000000,160.945770,0.000000,0.000000,0.000000,63.017265,37.219607,122.904224,14.449300,354.337200,129.328864,13.773760,30.986240,4.955664,0.000000,0.000000,5.152119,0.000000,0.000000,57.876608,30.903670,40.597031,0.985061,91.165290,15.655375,3.403335,42.591754,43.329915,110.864320,0.000000,0.000000,12.561669,117.047680,1.492112,27.959673,0.000000,4.208137,0.866880,38.917401,52.530864,0.000000,517.181652,29.774438,0.000000,0.000000,0,0,0,0,0

9,02:00-02:15,117.221440,15.129368,80.585165,0.000000,0.000000,6.045910,0.000000,160.945770,0.000000,0.000000,0.000000,63.017265,37.219607,122.904224,14.449300,364.089600,113.816913,13.773760,27.931740,6.371568,0.000000,0.000000,5.152119,0.000000,0.000000,57.876608,30.903670,40.597031,0.985061,91.165290,15.655375,3.403335,42.591754,43.329915,110.864320,0.000000,0.000000,12.561669,117.047680,1.492112,31.511377,0.000000,4.208137,0.866880,38.917401,52.530864,0.000000,586.526963,37.218048,0.000000,0.000000,0,0,0,0,0

10,02:15-02:30,117.221440,15.129368,80.585165,0.000000,0.000000,6.045910,0.000000,160.945770,0.000000,0.000000,0.000000,63.017265,37.219607,122.904224,14.449300,378.349475,113.816913,13.164825,27.931740,6.371568,0.000000,0.000000,5.152119,0.000000,0.000000,57.876608,30.903670,40.597031,0.985061,91.165290,15.655375,3.403335,42.591754,43.329915,110.864320,0.000000,0.000000,12.561669,117.047680,1.492112,31.511377,0.000000,4.208137,0.866880,38.917401,52.530864,0.000000,586.526963,37.218048,0.000000,0.000000,0,0,0,0,0

11,02:30-02:45,117.221440,15.129368,80.585165,0.000000,0.000000,6.045910,0.000000,160.945770,0.000000,0.000000,0.000000,63.017265,37.219607,122.904224,14.449300,389.343500,113.816913,13.164825,27.931740,5.238845,0.000000,0.000000,5.152119,0.000000,0.000000,57.876608,30.903670,40.597031,0.985061,91.165290,15.655375,3.403335,42.591754,43.329915,110.864320,0.000000,0.000000,12.561669,117.047680,1.492112,31.511377,0.000000,4.208137,0.866880,38.917401,52.530864,0.000000,516.694963,30.837811,0.000000,0.000000,0,0,0,0,0

12,02:45-03:00,117.221440,15.129368,80.585165,0.000000,0.000000,6.045910,0.000000,160.945770,0.000000,0.000000,0.000000,63.017265,37.219607,122.904224,14.449300,390.096000,113.816913,11.828674,27.931740,5.238845,0.000000,0.000000,5.152119,0.000000,0.000000,57.876608,30.903670,40.597031,0.985061,91.165290,15.655375,3.403335,42.591754,43.329915,110.864320,0.000000,0.000000,12.561669,117.047680,1.492112,31.511377,0.000000,4.208137,0.866880,38.917401,52.530864,0.000000,455.160160,30.837811,0.000000,0.000000,0,0,0,0,0

13,03:00-03:15,103.585129,15.129368,77.227450,0.000000,0.000000,4.812051,0.000000,160.945770,0.000000,0.000000,0.000000,63.017265,37.219607,107.489872,14.449300,390.096000,113.816913,11.828674,27.931740,5.238845,0.000000,0.000000,5.152119,0.000000,0.000000,57.876608,30.903670,40.597031,0.985061,91.165290,15.655375,3.403335,42.591754,43.329915,110.864320,0.000000,0.000000,12.561669,94.189209,1.492112,31.511377,0.000000,4.208137,0.866880,38.917401,52.530864,0.000000,450.344160,30.837811,0.000000,0.000000,0,0,0,0,0

14,03:15-03:30,103.585129,11.789568,77.227450,0.000000,0.000000,4.812051,0.000000,160.945770,0.000000,0.000000,0.000000,63.017265,37.219607,100.129938,14.449300,390.096000,113.816913,11.828674,27.931740,5.238845,0.000000,0.000000,5.152119,0.000000,0.000000,57.876608,30.903670,40.597031,0.985061,91.165290,15.655375,3.403335,42.591754,43.329915,110.864320,0.000000,0.000000,12.561669,94.189209,1.492112,23.405760,0.000000,4.208137,0.866880,38.917401,52.530864,0.000000,423.374560,30.837811,0.000000,0.000000,0,0,0,0,0

