Block,Time,CHAMERA2,KISHANGANGA,KOTESHWR,NLCEXP,NNTPP,SINGRAULI,TEHRI,DADRI_GF,BRBCL,CHAMERA1,DULHASTI,KGSU3AND4,KKNP,KKNPPU2,KOLDAM,NAPP,PARBATI2,SIMHST2,TALST2,UNCHAHAR3,DADRT2,KGSU1AND2,KHSTPP-II,RAMPUR,TANAKPUR,TANDA2,URI,AURY_CRF,DHAULIGNGA,FSTPP I & II,NJPC,NLCIIST1,NLCTS2EXP,NTPL,RIHAND3,RSTPSU1TO6,ANTA_CRF,ANTA_GF,ANTA_LF,AURY_LF,BSIUL,KUDGI,PARBATI3,RAPPB,RIHAND1,SINGRAULI_HYDRO,UNCHAHAR4,ANTA_RF,DADRI_LF,CHAMERA3,JHAJJAR,RAPPC,RSTPSU7,SASAN,SEWA2,TEHRIPSP,URI2,DADRI_RF,MAPS,RIHAND2,TALA,TelanganaSTPP,UNCHAHAR1,VALLURNTECL,KHSTPP-I,NLCIIST2,RAPPD,SALAL,SIMHST1,UNCHAHAR2,AURY_GF,AURY_RF,DADRI_CRF
1,00:00-00:15,47.12,3.2,20.29,0,0,113.75,66.92,0,24.99,42.15,55.38,0,0,0,8.62,24.1,24.63,0,0,27.69,589.38,0,98.87,5.7,11.02,5.73,52.99,0,42.46,19.46,175.79,0,0,0,130.84,0,0,0,0,0,19.56,0,55.01,0,98.32,0,3.22,51.96,0,33.94,667.25,65.27,0,405,12.22,0,37.42,105.39,0,125.27,21.46,0,21.65,0,45.53,0,24.33,79.01,0,45,0,80.78,0

2,00:15-00:30,47.12,3.2,20.29,0,0,113.75,66.92,0,24.99,42.15,55.38,0,0,0,8.62,24.1,24.63,0,0,27.69,589.38,0,98.87,5.7,11.02,5.73,52.99,0,42.46,19.46,175.79,0,0,0,130.84,0,0,0,0,0,19.56,0,55.01,0,98.32,0,3.22,51.96,0,33.94,667.25,65.27,0,405,12.22,0,37.42,105.39,0,125.27,21.46,0,21.65,0,45.53,0,24.33,79.01,0,45,0,80.78,0

3,00:30-00:45,47.12,3.2,20.29,0,0,113.75,66.92,0,24.99,42.15,55.38,0,0,0,8.62,24.1,24.63,0,0,27.69,589.38,0,98.87,5.7,11.02,5.73,52.99,0,42.46,19.46,175.79,0,0,0,130.84,0,0,0,0,0,19.56,0,56.49,0,98.32,0,3.22,51.96,0,33.94,667.25,65.27,0,405,12.22,0,31.17,105.39,0,125.27,21.46,0,21.65,0,45.53,0,24.33,79.01,0,45,0,80.78,0

4,00:45-01:00,47.12,3.2,20.29,0,0,113.75,66.92,0,24.99,42.15,55.38,0,0,0,8.62,24.1,24.63,0,0,27.69,589.38,0,98.87,5.7,11.02,5.73,48.57,0,42.46,19.46,175.79,0,0,0,130.84,0,0,0,0,0,19.56,0,56.49,0,98.32,0,3.22,51.96,0,33.94,667.25,65.27,0,405,12.22,0,31.17,105.39,0,125.27,21.46,0,21.65,0,45.53,0,24.33,79.01,0,45,0,80.78,0

5,01:00-01:15,47.12,3.2,20.29,0,0,113.75,66.92,0,24.99,42.15,55.38,0,0,0,8.62,24.1,24.63,0,0,27.69,589.38,0,98.87,5.7,11.02,5.73,48.57,0,42.46,19.46,175.79,0,0,0,130.84,0,0,0,0,0,19.56,0,56.49,0,98.32,0,3.22,51.96,0,33.94,667.25,65.27,0,405,12.22,0,37.42,105.39,0,125.27,21.46,0,21.65,0,45.53,0,24.33,79.01,0,45,0,80.78,0

6,01:15-01:30,47.12,3.2,20.29,0,0,113.75,66.92,0,24.99,42.15,55.38,0,0,0,8.62,24.1,24.63,0,0,27.69,589.38,0,98.87,5.7,11.02,5.73,48.57,0,42.46,19.46,175.79,0,0,0,130.84,0,0,0,0,0,19.56,0,56.49,0,98.32,0,3.22,51.96,0,33.94,667.25,65.27,0,405,12.22,0,37.42,105.39,0,125.27,21.46,0,21.65,0,45.53,0,24.33,79.01,0,45,0,80.78,0

7,01:30-01:45,47.12,3.2,20.29,0,0,113.75,66.92,0,24.99,42.15,55.38,0,0,0,8.62,24.1,24.63,0,0,27.69,589.38,0,98.87,5.7,11.02,5.73,48.57,0,42.46,19.46,175.79,0,0,0,130.84,0,0,0,0,0,19.56,0,55.01,0,98.32,0,3.22,51.96,0,33.94,667.25,65.27,0,405,12.22,0,31.17,105.39,0,125.27,21.51,0,21.65,0,45.53,0,24.33,79.01,0,45,0,80.78,0

8,01:45-02:00,47.12,3.2,20.29,0,0,113.75,66.92,0,24.99,42.15,55.38,0,0,0,8.62,24.1,24.63,0,0,27.69,589.38,0,98.87,5.7,11.02,5.73,48.57,0,42.46,19.46,175.79,0,0,0,130.84,0,0,0,0,0,19.56,0,55.01,0,98.32,0,3.22,51.96,0,33.94,667.25,65.27,0,405,12.22,0,31.17,105.39,0,125.27,21.51,0,21.65,0,45.53,0,24.33,79.01,0,45,0,80.78,0

9,02:00-02:15,47.12,3.2,20.29,0,0,113.75,66.92,0,24.99,42.15,55.38,0,0,0,8.62,24.1,24.63,0,0,27.69,689.38,0,98.87,5.7,11.02,5.73,48.57,0,42.46,19.46,175.79,0,0,0,130.84,0,0,0,0,0,19.56,0,55.01,0,98.32,0,3.22,51.96,0,33.94,667.25,65.27,0,405,12.22,0,37.42,105.39,0,125.27,21.51,0,21.65,0,45.53,0,24.33,79.01,0,45,0,80.78,0

10,02:15-02:30,47.12,3.2,20.29,0,0,113.75,66.92,0,24.99,42.15,55.38,0,0,0,8.62,24.1,24.63,0,0,27.69,689.38,0,98.87,5.7,11.02,5.73,48.57,0,42.46,19.46,175.79,0,0,0,130.84,0,0,0,0,0,19.56,0,55.01,0,98.32,0,3.22,51.96,0,33.94,667.25,65.27,0,405,12.22,0,37.42,105.39,0,125.27,21.51,0,21.65,0,45.53,0,24.33,79.01,0,45,0,80.78,0

11,02:30-02:45,47.12,3.2,20.29,0,0,113.75,66.92,0,24.99,42.15,55.38,0,0,0,8.62,24.1,24.63,0,0,27.69,689.38,0,98.87,5.7,11.02,5.73,48.57,0,42.46,19.46,175.79,0,0,0,130.84,0,0,0,0,0,19.56,0,52.03,0,98.32,0,3.22,51.96,0,33.94,667.25,65.27,0,405,12.22,0,31.17,105.39,0,125.27,21.51,0,21.65,0,45.53,0,24.33,79.01,0,45,0,80.78,0

12,02:45-03:00,47.12,3.2,20.29,0,0,113.75,66.92,0,24.99,42.15,55.38,0,0,0,8.62,24.1,24.63,0,0,27.69,689.38,0,98.87,5.7,11.02,5.73,48.57,0,42.46,19.46,175.79,0,0,0,130.84,0,0,0,0,0,19.56,0,52.03,0,98.32,0,3.22,51.96,0,33.94,667.25,65.27,0,405,12.22,0,31.17,105.39,0,125.27,21.51,0,21.65,0,45.53,0,24.33,79.01,0,45,0,80.78,0

13,03:00-03:15,47.12,3.2,20.29,0,0,113.75,66.92,0,24.99,42.15,55.38,0,0,0,8.62,24.1,24.63,0,0,27.69,689.38,0,98.87,5.7,9.86,5.73,48.57,0,42.46,19.46,175.79,0,0,0,130.84,0,0,0,0,0,19.56,0,49.06,0,98.32,0,3.22,52.59,0,33.94,667.25,65.27,0,405,12.22,0,37.42,105.39,0,125.27,21.51,0,21.65,0,45.53,0,24.33,76.69,0,45,0,80.78,0

14,03:15-03:30,47.12,3.2,20.29,0,0,113.75,66.92,0,24.99,42.15,55.38,0,0,0,8.62,24.1,24.63,0,0,27.69,689.38,0,98.87,5.7,9.86,5.73,48.57,0,42.46,19.46,175.79,0,0,0,130.84,0,0,0,0,0,19.56,0,49.06,0,98.32,0,3.22,52.59,0,33.94,667.25,65.27,0,405,12.22,0,37.42,105.39,0,125.27,21.51,0,21.65,0,45.53,0,24.33,76.69,0,45,0,80.78,0

15,03:30-03:45,47.12,3.2,20.29,0,0,113.75,66.92,0,24.99,42.15,55.38,0,0,0,8.62,24.1,24.63,0,0,27.69,689.38,0,98.87,5.7,9.86,5.73,48.57,0,42.46,19.46,175.79,0,0,0,130.84,0,0,0,0,0,19.56,0,52.03,0,98.32,0,3.22,52.59,0,33.94,667.25,65.27,0,405,12.22,0,31.17,105.39,0,125.27,21.51,0,21.65,0,45.53,0,24.33,76.69,0,45,0,80.78,0

16,03:45-04:00,47.12,3.2,20.29,0,0,113.75,66.92,0,24.99,42.15,55.38,0,0,0,8.62,24.1,24.63,0,0,27.69,689.38,0,98.87,5.7,9.86,5.73,48.57,0,42.46,19.46,175.79,0,0,0,130.84,0,0,0,0,0,19.56,0,52.03,0,98.32,0,3.22,52.59,0,33.94,667.25,65.27,0,405,12.22,0,31.17,105.39,0,125.27,21.46,0,21.65,0,45.53,0,24.33,76.69,0,45,0,80.78,0

17,04:00-04:15,47.12,3.2,20.29,0,0,113.75,66.92,0,24.99,42.15,55.38,0,0,0,8.62,24.1,24.63,0,0,27.69,689.38,0,98.87,5.7,9.86,5.73,48.57,0,42.46,19.46,175.79,0,0,0,130.84,0,0,0,0,0,19.56,0,52.03,0,98.32,0,3.22,52.59,0,33.94,667.25,65.27,0,405,12.22,0,37.42,105.39,0,125.27,21.46,0,21.65,0,45.53,0,24.33,76.69,0,45,0,80.78,0

18,04:15-04:30,47.12,3.2,20.29,0,0,113.75,66.92,0,24.99,42.15,55.38,0,0,0,8.62,24.1,24.63,0,0,27.69,689.38,0,98.87,5.7,9.86,5.73,48.57,0,42.46,19.46,175.79,0,0,0,130.84,0,0,0,0,0,19.56,0,52.03,0,98.32,0,3.22,52.59,0,33.94,667.25,65.27,0,405,12.22,0,37.42,105.39,0,125.27,21.46,0,21.65,0,45.53,0,24.33,76.69,0,45,0,80.78,0

19,04:30-04:45,47.12,3.2,20.29,0,0,113.75,66.92,0,24.99,42.15,55.38,0,0,0,8.62,24.1,24.63,0,0,27.69,689.38,0,98.87,5.7,9.86,5.73,48.57,0,42.46,19.46,175.79,0,0,0,130.84,0,0,0,0,0,19.56,0,41.62,0,98.32,0,3.22,52.59,0,33.94,667.25,65.27,0,405,18.34,0,31.17,105.39,0,125.27,21.22,0,21.65,0,45.53,0,24.33,76.69,0,45,0,80.78,0

20,04:45-05:00,47.12,3.2,20.29,0,0,113.75,66.92,0,24.99,42.15,55.38,0,0,0,8.62,24.1,24.63,0,0,27.69,689.38,0,98.87,5.7,9.86,5.73,48.57,0,42.46,19.46,175.79,0,0,0,130.84,0,0,0,0,0,19.56,0,41.62,0,98.32,0,3.22,52.59,0,33.94,667.25,65.27,0,405,18.34,0,31.17,105.39,0,125.27,20.9,0,21.65,0,45.53,0,24.33,76.69,0,45,0,80.78,0

21,05:00-05:15,47.12,3.2,20.29,0,0,113.75,66.92,0,24.99,42.15,55.38,0,0,0,8.62,24.1,24.63,0,0,27.69,689.38,0,98.87,5.7,9.86,5.73,48.57,0,42.46,19.46,175.79,0,0,0,130.84,0,0,0,0,0,19.56,0,52.03,0,98.32,0,3.22,52.59,0,33.94,667.25,65.27,0,405,18.34,0,37.42,105.39,0,125.27,20.63,0,21.65,0,45.53,0,24.33,76.69,0,45,0,80.78,0

22,05:15-05:30,47.12,3.2,20.29,0,0,113.75,66.92,0,24.99,42.15,55.38,0,0,0,8.62,24.1,24.63,0,0,27.69,689.38,0,98.87,5.7,9.86,5.73,48.57,0,42.46,19.46,175.79,0,0,0,130.84,0,0,0,0,0,19.56,0,52.03,0,98.32,0,3.22,52.59,0,33.94,667.25,65.27,0,405,18.34,0,37.42,105.39,0,125.27,20.25,0,21.65,0,45.53,0,24.33,76.69,0,45,0,80.78,0

23,05:30-05:45,47.12,3.2,20.29,0,0,113.75,66.92,0,24.99,42.15,55.38,0,0,0,8.62,24.1,24.63,0,0,27.69,689.38,0,98.87,5.7,9.86,5.73,48.57,0,42.46,19.46,175.79,0,0,0,130.84,0,0,0,0,0,0,0,52.03,0,98.32,0,3.22,52.59,0,33.94,667.25,65.27,0,405,18.34,0,31.17,105.39,0,125.27,20.04,0,21.65,0,45.53,0,24.33,76.69,0,45,0,80.78,0

24,05:45-06:00,47.12,3.2,20.29,0,0,113.75,66.92,0,24.99,42.15,55.38,0,0,0,8.62,24.1,24.63,0,0,27.69,689.38,0,98.87,5.7,9.86,5.73,48.57,0,42.46,19.46,175.79,0,0,0,130.84,0,0,0,0,0,0,0,52.03,0,98.32,0,3.22,52.59,0,33.94,667.25,65.27,0,405,18.34,0,31.17,105.39,0,125.27,20.04,0,21.65,0,45.53,0,24.33,76.69,0,45,0,80.78,0

25,06:00-06:15,47.12,3.2,10.14,0,0,113.75,66.92,0,24.99,42.15,55.38,0,0,0,8.62,24.1,24.63,0,0,27.69,689.38,0,98.87,5.7,9.86,2.84,48.57,0,42.46,19.46,175.79,0,0,0,130.84,0,0,0,0,0,0,0,52.03,0,98.32,0,1.52,52.59,0,33.94,667.25,65.27,0,405,18.34,0,31.17,105.39,0,125.27,20.04,0,21.65,0,45.53,0,24.33,76.69,0,45,0,80.78,0

26,06:15-06:30,47.12,3.2,10.14,0,0,113.75,66.92,0,24.99,42.15,55.38,0,0,0,8.62,24.1,24.63,0,0,27.69,689.38,0,98.87,5.7,9.86,2.84,52.99,0,42.46,19.46,175.79,0,0,0,130.84,0,0,0,0,0,0,0,52.03,0,98.32,0,1.52,52.59,0,33.94,667.25,65.27,0,405,18.34,0,31.17,105.39,0,125.27,20.04,0,21.65,0,45.53,0,24.33,76.69,0,45,0,80.78,0

27,06:30-06:45,47.12,3.2,10.14,0,0,113.75,50.19,0,24.99,42.15,55.38,0,0,0,8.62,24.1,24.63,0,0,27.69,689.38,0,98.87,5.7,9.86,2.84,52.99,0,42.46,19.46,175.79,0,0,0,130.84,0,0,0,0,0,0,0,52.03,0,98.32,0,1.52,52.59,0,33.94,667.25,65.27,0,405,18.34,0,31.17,105.39,0,125.27,20.4,0,21.65,0,45.53,0,24.33,76.69,0,45,0,80.78,0

28,06:45-07:00,47.12,3.2,10.14,0,0,113.75,33.47,0,24.99,42.15,55.38,0,0,0,8.62,24.1,24.63,0,0,27.69,689.38,0,98.87,5.7,9.86,2.84,52.99,0,42.46,19.46,175.79,0,0,0,130.84,0,0,0,0,0,0,0,52.03,0,98.32,0,3.22,52.59,0,33.94,667.25,65.27,0,405,18.34,0,31.17,105.39,0,125.27,20.57,0,21.65,0,45.53,0,24.33,76.69,0,45,0,80.78,0

