Time,Block,WR/2023/20254/A/836,WR/2023/18560/A,NR/2023/16187/A,WR/2023/20256/A/839,NR/2023/17064/A,NR/2023/17948/C,NR/2023/17905/A/807,NR/2023/17943/C,WR/2023/18560/A/II,NR/2023/17901/A/789,NR/2023/17944/C,Total
,,APPCPL,MANIKARAN,APPCPL,MANIKARAN,GMRETL,SJVNL,IEXL,TPDDL,MANIKARAN,ITCLH,NVVNL,Total

,,DELHI,DELHI,DELHI,DELHI,DELHI,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,ANDHRA PRADESH,NA,
,,BRPL,BYPL,BYPL,BRPL,BYPL,RSRPL_BKN,BSHP,CHANJUII,BYPL,ITCWIND,SOLAPUR_SOLAR,
,,GOA,MAHARASHTRA,HIMACHAL PRADESH,GOA,RAJASTHAN,DELHI,DELHI,DELHI,MAHARASHTRA,DELHI,DELHI,
,,GOA_Beneficiary,AEML,HP,GOA_Beneficiary,RUVNL,NDMC,MES (Delhi),TPDDL,AEML,ITCLH,MES (Delhi),
,,North-West,North-East-West,North-North,North-West,North-North,North-North,North-North,North-North,North-West,South-West-North,West-North,
1,00:00-00:15,0.000000,0.000000,34.170000,0.000000,0.000000,0,1.930000,3.780000,100.000000,0.480000,0,140.36

2,00:15-00:30,0.000000,0.000000,34.170000,0.000000,0.000000,0,1.930000,3.780000,100.000000,0.480000,0,140.36

3,00:30-00:45,0.000000,0.000000,34.170000,0.000000,0.000000,0,1.930000,3.780000,100.000000,0.480000,0,140.36

4,00:45-01:00,0.000000,0.000000,34.170000,0.000000,0.000000,0,1.930000,3.780000,100.000000,0.480000,0,140.36

5,01:00-01:15,0.000000,0.000000,34.170000,0.000000,0.000000,0,1.930000,3.780000,100.000000,0.480000,0,140.36

6,01:15-01:30,0.000000,0.000000,34.170000,0.000000,0.000000,0,1.930000,3.780000,100.000000,0.480000,0,140.36

7,01:30-01:45,0.000000,0.000000,34.170000,0.000000,0.000000,0,1.930000,3.780000,100.000000,0.480000,0,140.36

8,01:45-02:00,0.000000,0.000000,34.170000,0.000000,0.000000,0,1.930000,3.780000,100.000000,0.480000,0,140.36

9,02:00-02:15,0.000000,0.000000,34.170000,0.000000,0.000000,0,1.930000,3.690000,100.000000,0.440000,0,140.23

10,02:15-02:30,0.000000,0.000000,34.170000,0.000000,0.000000,0,1.930000,3.690000,100.000000,0.440000,0,140.23

11,02:30-02:45,0.000000,0.000000,34.170000,0.000000,0.000000,0,1.930000,3.690000,100.000000,0.440000,0,140.23

12,02:45-03:00,0.000000,0.000000,34.170000,0.000000,0.000000,0,1.930000,3.690000,100.000000,0.440000,0,140.23

13,03:00-03:15,0.000000,0.000000,34.170000,0.000000,0.000000,0,1.930000,3.690000,100.000000,0.440000,0,140.23

14,03:15-03:30,0.000000,0.000000,34.170000,0.000000,0.000000,0,1.930000,3.690000,100.000000,0.440000,0,140.23

15,03:30-03:45,0.000000,0.000000,34.170000,0.000000,0.000000,0,1.930000,3.690000,100.000000,0.440000,0,140.23

16,03:45-04:00,0.000000,0.000000,34.170000,0.000000,0.000000,0,1.930000,3.690000,100.000000,0.440000,0,140.23

17,04:00-04:15,0.000000,0.000000,34.170000,0.000000,0.000000,0,1.930000,3.690000,100.000000,0.440000,0,140.23

18,04:15-04:30,0.000000,0.000000,34.170000,0.000000,0.000000,0,1.930000,3.690000,100.000000,0.440000,0,140.23

19,04:30-04:45,0.000000,0.000000,34.170000,0.000000,0.000000,0,1.930000,3.690000,100.000000,0.440000,0,140.23

20,04:45-05:00,0.000000,0.000000,34.170000,0.000000,0.000000,0,1.930000,3.690000,100.000000,0.440000,0,140.23

21,05:00-05:15,0.000000,0.000000,34.170000,0.000000,0.000000,0,1.930000,3.690000,100.000000,0.440000,0,140.23

22,05:15-05:30,0.000000,0.000000,34.170000,0.000000,0.000000,0,1.930000,3.690000,100.000000,0.440000,0,140.23

