Column1,Time,NR/01102023/30042040/GNA_LT_36,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/19072037/LT-05,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_07,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31102037/L_NR_2019_11,NR/30092023/26122029/SH-06,WR/01102023/30052048/L_NR_2022_10,SR/01102023/07102043/L_NR_2018_61,WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/L_NR_2019_05,NR/26072023/25122043/L_NR_2023_10,WR/01102023/24112044/L_NR_2020_07,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/31032046/L_NR_2020_05,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_16,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/6020,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/6566,NR/30092023/31122025/SH-07,GNA/NR/2024/09/16/2535,NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/7119
1,00:00-00:15,0,10.91,100.97,66.47,0,0,3.99,29.27,87.42,263.14,0,32,38.33,33.01,11.66,0,11.34,38.33,0,0,0,0,0,11.33,0,0,0,34,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,32,145.38,0,5.87,32.95,17.52

2,00:15-00:30,0,10.91,100.97,66.47,0,0,3.99,29.27,87.42,263.14,0,32,38,32.41,11.34,0,11.34,38,0,0,0,0,0,11.33,0,0,0,34,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,32,145.38,0,5.87,32.95,17.52

3,00:30-00:45,0,10.91,100.97,66.47,0,0,3.99,29.77,87.42,263.14,0,32,38.33,31.81,11.34,0,11.34,38.33,0,0,0,0,0,11.33,0,0,0,34,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,32,145.38,0,5.87,32.95,17.52

4,00:45-01:00,0,10.91,100.97,66.47,0,0,3.99,29.77,87.42,263.14,0,32,38.67,31.01,11.66,0,11.5,38.67,0,0,0,0,0,11.5,0,0,0,34.5,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,32,145.38,0,5.87,32.95,17.52

5,01:00-01:15,0,10.83,100.97,66.47,0,0,3.99,29.77,81.69,263.14,0,32,38.33,31.21,11.66,0,11.5,38.33,0,0,0,0,0,11.5,0,0,0,34.5,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,32,145.38,0,5.78,32.95,17.52

6,01:15-01:30,0,10.83,100.97,66.47,0,0,3.99,29.77,76.85,263.14,0,32,38.33,31.21,11.66,0,11.66,38.33,0,0,0,0,0,11.67,0,0,0,35,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,32,145.38,0,5.78,32.95,17.52

7,01:30-01:45,0,10.83,100.97,66.47,0,0,3.99,29.77,76.85,263.14,0,32,38,30.81,11.34,0,11.84,38,0,0,0,0,0,11.83,0,0,0,35.5,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,32,145.38,0,5.78,32.95,17.52

8,01:45-02:00,0,10.83,100.97,70.64,0,0,3.99,29.77,76.85,263.14,0,32,38,30.61,11.34,0,12,38,0,0,0,0,0,12,0,0,0,36,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,32,145.38,0,5.78,32.95,17.52

