Column1,Block,NR/2025/31136/A/89669,NR/2025/31743/C,NR/2025/31138/A/89677,NR/2025/31347/A/89145,NR/2025/29985/A/89296,NR/2025/31419/A/89273,NR/2025/31420/A/89272,GNARE/NR/2024/12/20/3668,NR/2025/31136/A/89670,NR/2025/31137/A/89672,NR/2025/31137/A/89673,NR/2025/31138/A/89675,NR/2025/30121/A/89148,NR/2025/31765/C,NR/2025/29167/A/89175,NR/2025/28728/A/89807,NR/2025/29439/A/89227,NR/2025/31766/C,NR/2025/30217/A/89563,NR/2025/30191/A/89146,NR/2025/27965/A/89809,NR/2025/30101/A/89661,NR/2025/29910/A/89570,NR/2025/29628/A/89572,NR/2025/27966/A/89811,NR/2025/30105/A/89564,NR/2025/29992/A/89245,NR/2025/29352/A/89679,NR/2025/31339/A/89293,NR/2025/31126/A/89250,NR/2025/31767/C,NR/2025/29440/A/89165,NR/2025/31768/C,NR/2025/30086/A/89565,NR/2025/27978/A/89665,NR/2025/30084/A/89566,NR/2025/29353/A/89676,NR/2025/30082/A/89649,NR/2025/29915/A/89174,NR/2025/30067/A/89737,NR/2025/30083/A/89567,NR/2025/31760/C,GNA/NR/2025/07/01/3109,NR/30092023/26122029/SH-06,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/16/5917,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/8154,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/8139,NR/2025/31712/C,NR/2025/31726/C,NR/2025/31739/C,NR/2025/31740/C,NR/2025/31660/C,NR/2025/31703/C,NR/2025/31673/C,NR/2025/27975/A/89808,NR/2025/31769/C,NR/2025/31727/C,NR/2025/27973/A/89810,NR/2025/31659/C,NR/2025/31728/C,NR/2025/31754/C,NR/2025/31754/C/Alternate/1,NR/2025/31755/C,NR/2025/31752/C,Total
,,ABLWM1_AEROCITY,MES_Delhi,OIDLWM3_AEROCITY,IEXL,BRPL,GMRETL,GMRETL,SECI_Trader,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,IEXL,APPCPL,TPTCL,PowerPulse,IVPL_Trader,APPCPL,APPCPL,IEXL,PowerPulse,NVVNL,APPCPL,APPCPL,PowerPulse,APPCPL,BYPL,PTC,BRPL,DIAPL,APPCPL,ITCLH,APPCPL,APPCPL,NVVNL,APPCPL,PTC,HPXL,TPTCL,MANIKARAN,APPCPL,NVVNL,APPCPL,PUNJAB,PowerPulse,APPCPL,PTC,NDMC,PowerPulse,BAWANA_GAS,MANIKARAN,DELHI,PowerPulse,PowerPulse,PowerPulse,APPCPL,APPCPL,IEXL,HPXL,BYPL,PowerPulse,APPCPL,PowerPulse,PowerPulse,IEXL,ITCLH,NVVNL,NVVNL,NVVNL,NVVNL,
,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TAMILNADU_State,NA,MSEB_State,NA,MSEB_State,NA,NA,NA,NA,MP_State,KERALA_State,MSEB_State,NA,NA,KERALA_State,GoHP_Chamera1_STATE,NA,HIMACHAL_STATE,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,GoHP_NJPC_STATE,NA,UTTARPRADESH_STATE,NA,NA,MP_State,GOA_State,DELHI_UT,NA,GOA_State,NA,NA,NA,DELHI_UT,MSEB_State,HIMACHAL_STATE,NA,NA,NA,MSEB_State,KERALA_State,NA,NA,KERALA_State,NA,NA,NA,NA,TAMILNADU_State,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,
,,TCSPL_BKN2,NTPCREL_PSS2_KPS2_S,TCSPL_BKN2,TPSL_BKN2,TS1PL_BKN,JNEPL_BKN2,JNEPL_BKN2,APSEPL_FTG,TESPL_BKN2,TESPL_BKN2,TCSPL_BKN2,TESPL_BKN2,PCBLTNLTD_UNIT2,SKS_Raigarh,TPC_MSEB,APL_Raipur_TPP,TPC_MSEB,RKM_POWER,TRN_ENERGY,IND_BHARAT,MAHAN_ENERGEN,JP_BINA,KSEB,AEML,MAHAN_ENERGEN,JIPL,KSEB,GoHP_Chamera1,DADRT2,GBHHPL,JIPL,ITCWIND,TRN_ENERGY,RKM_POWER,JPNIGRIE_JNSTPP,RKM_POWER,GoHP_NJPC,SKS_Raigarh,PPGCL,MBMP,SKS_Raigarh,JP_BINA,GOA_Beneficiary,BAWANA_GAS,MAHAN_ENERGEN,GOA_Beneficiary,MEENAKSHI,JPL2,APL_Raipur_TPP,BAWANA_GAS,AEML,CHANJUII,APL_Raipur_TPP,APL_Raipur_TPP,APL_Raigarh_TPP,AEML,KSEB,IND_BHARAT,SKS_Raigarh,KSEB,APL_Raigarh_TPP,RKM_POWER,MAHAN_ENERGEN,APL_Raigarh_TPP,PCBLTNLTD_UNIT2,ITCWIND,Kameng,Kameng,SORANG_HEP,JPNIGRIE_JNSTPP,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,ABLWM1_AEROCITY,MES_Delhi,OIDLWM3_AEROCITY,MES_Delhi,BRPL,DTCP,BLKMH,TPDDL,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,MES_Delhi,NDMC,BYPL,BRPL,BYPL,NDMC,NDMC,BRPL,TPDDL,TPDDL,BYPL,BYPL,TPDDL,NDMC,BYPL,BRPL,BRPL,DIAPL,NDMC,ITCLH,NDMC,NDMC,TPDDL,NDMC,BRPL,BRPL,BRPL,BRPL,NDMC,TPDDL,BRPL,PUNJAB,BRPL,BRPL,BRPL,NDMC,BRPL,HARYANA,BRPL,TPDDL,BRPL,BRPL,TPDDL,BYPL,BYPL,BRPL,BRPL,BYPL,TPDDL,NDMC,TPDDL,TPDDL,MES_Delhi,ITCLH,TPDDL,TPDDL,TPDDL,TPDDL,
,,North-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,East-North,West-North,West-North,South-West-North,West-North,West-North,East-North,South-West-North,North-North,North-North,North-North,East-North,South-West-North,West-North,West-North,West-North,West-North,North-North,West-North,North-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,South-East-North,West-North,West-North,North-North,West-North,North-North,West-North,West-North,West-North,West-North,South-West-North,East-North,West-North,South-West-North,West-North,West-North,West-North,West-North,South-West-North,South-West-North,North East-East-North,North East-East-West-North,North-North,West-North,
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,54.08,81.72,25.07,0,7.69,48.07,96.14,0,19.23,105.75,0,17.48,44.22,28.6,134.6,12.5,0,0.91,0,26.22,96.14,26.22,81.72,48.07,20.43,204.3,8.74,0,19.23,32,163.44,15.24,49.03,43.7,81.72,0,20.74,17.3,134.84,0,0,0,0,0,0,0,0,0,0,96.14,0,0,27.74,164.54,0,0,2060.2900000000004

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,54.08,81.72,25.07,0,7.69,48.07,96.14,0,19.23,105.75,0,17.48,44.22,28.6,134.6,12.5,0,0.91,0,26.22,96.14,26.22,81.72,48.07,20.43,204.3,8.74,0,19.23,32,163.44,15.24,49.03,43.7,81.72,0,20.74,17.3,134.84,0,0,0,0,0,0,0,0,0,0,96.14,0,0,28.64,163.64,0,0,2060.2900000000004

3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,54.08,81.72,25.07,0,7.69,48.07,96.14,0,19.23,105.75,0,17.48,44.22,28.6,134.6,12.5,0,0.91,0,26.22,96.14,26.22,81.72,48.07,20.43,204.3,8.74,0,19.23,30,163.44,15.24,49.03,43.7,81.72,26.17,20.74,15,134.84,0,0,0,0,0,0,0,0,0,0,96.14,0,0,29.07,163.21,0,0,2082.1600000000003

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,54.08,81.72,25.07,0,7.69,48.07,96.14,0,19.23,105.75,0,17.48,44.22,28.6,134.6,12.5,0,0.91,0,26.22,96.14,26.22,81.72,48.07,20.43,204.3,8.74,0,19.23,30,163.44,15.24,49.03,43.7,81.72,26.17,20.74,15,134.84,0,0,0,0,0,0,0,0,0,0,96.14,0,0,30.69,161.59,0,0,2082.1600000000003

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,54.08,81.72,25.07,0,7.69,48.07,96.14,0,19.23,105.75,0,17.48,44.22,28.6,134.6,12.5,0,0.77,0,26.22,96.14,26.22,81.72,48.07,20.43,204.3,8.74,0,19.23,30,163.44,15.24,49.03,43.7,81.72,26.17,20.74,15,134.84,0,0,0,0,0,0,0,0,0,0,96.14,0,0,33.01,159.27,0,0,2082.0200000000004

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,54.08,81.72,25.07,0,7.69,48.07,96.14,0,19.23,105.75,0,17.48,44.22,28.6,134.6,12.5,0,0.77,0,26.22,96.14,26.22,81.72,48.07,20.43,204.3,8.74,0,19.23,30,163.44,15.24,49.03,43.7,81.72,26.17,20.74,15,134.84,0,0,0,0,0,0,0,0,0,0,96.14,0,0,33.49,158.79,0,0,2082.0200000000004

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,54.08,81.72,25.07,0,7.69,48.07,96.14,0,19.23,105.75,0,17.48,44.22,28.6,134.6,12.5,0,0.77,0,26.22,96.14,26.22,81.72,48.07,20.43,204.3,8.74,0,19.23,30,163.44,15.24,49.03,43.7,81.72,26.17,20.74,15,134.84,0,0,0,0,0,0,0,0,0,0,96.14,0,0,35.63,156.65,0,0,2082.0200000000004

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,54.08,81.72,25.07,0,7.69,48.07,96.14,0,19.23,105.75,0,17.48,44.22,28.6,134.6,12.5,0,0.77,0,26.22,96.14,26.22,81.72,48.07,20.43,204.3,8.74,0,19.23,30,163.44,15.24,49.03,43.7,81.72,26.17,20.74,15,134.84,0,0,0,0,0,0,0,0,0,0,96.14,0,0,37.65,154.63,0,0,2082.0200000000004

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,54.08,81.72,0,0,7.69,48.07,96.14,0,19.23,105.75,0,17.48,44.22,28.6,134.6,12.5,0,0.67,0,26.22,96.14,26.22,81.72,48.07,20.43,204.3,8.74,0,19.23,30,163.44,15.24,49.03,43.7,81.72,26.17,20.74,17.3,134.84,0,0,0,0,0,0,0,0,0,0,96.14,0,0,95.86,96.42,0,0,2059.15

