Block,Time,URI2,JHAJJAR,CHAMERA1,CHAMERA2,DADRT2,DHAULIGNGA,DULHASTI,KISHANGANGA,CHAMERA3,BSIUL,TANDA2,UNCHAHAR1,UNCHAHAR2,UNCHAHAR3,URI,KOLDAM,NAPP,NJPC,RAPPB,RAPPC,RIHAND2,RIHAND3,SEWA2,SINGRAULI,SINGRAULI_HYDRO,UNCHAHAR4,KOTESHWR,TANAKPUR,PARBATI3,RIHAND1,RAMPUR,TEHRI,SALAL,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,TALST2,VALLURNTECL,NTPL,NLCIIST2,NLCTS2EXP,NNTPP,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,SIMHST2,RSTPSU1TO6,RSTPSU7,SIMHST1,KUDGI,MAPS,NLCEXP,NLCIIST1,TALA,FSTPP I & II,BRBCL,KHSTPP-I,KHSTPP-II,TAPS-II,VSTPS V,VSTPS I,KSTPS7,SOLAPUR,GADARWARA-I,KSTPS I&II,SIPAT II,KHARGONE-I,SIPAT I,VSTPS IV,MOUDA_II,VSTPS III,MOUDA,VSTPS II,LARA-I,KAPS,SASAN,KAWAS-APM,KAWAS-NAPM,KAWAS-RLNG,KAWAS-zLIQ,KAWAS-ComGas,GANDHAR-APM,GANDHAR-NAPM,GANDHAR-RLNG,GANDHAR-ComGas
1,00:00-00:15,37.565989,667.076637,41.87,30.855471,691.093985,0,37.821177,4.276573,22.310403,13.1076,4.233846,22.966682,44.326064,27.350811,50.232,0,47.87486,21.51372,0,64.950987,122.432091,128.45129,18.108732,145.034673,1.116917,2.501308,27.411711,2.562,0,95.888555,0.663309,48.834339,36.022,0,3.734724,33.612518,6.22454,0,7.784327,97.304077,0,0,76.76895,0,0,3.03,3.57,3.78,0.96,0.96,0.1,2,2.18,1.62,0,1.85,7.95,1.94,0,9.33,0.24,1.78,0.82,0,20.73185,20.0018,40.669,147.515625,1.361689,1.318423,2.357553,1.332638,3.518162,4.26444,2.703866,1.857394,3.518163,5.277245,2.665275,3.487597,1.946241,1.9248,1.929632,4.228905,0.565842,348.975,0,0,0,0,0.02032,0,0,0.001107,0.022515

2,00:15-00:30,37.565989,667.076637,26.86,30.855471,691.093985,0,37.821177,4.276573,22.310403,13.1076,4.233846,22.966682,44.326064,27.350811,50.232,0,47.87486,21.51372,0,64.950987,122.432091,128.45129,18.108732,145.034673,1.116917,2.501308,27.411711,2.562,0,95.888555,0.663309,48.834339,36.022,0,3.734724,33.612518,6.22454,0,7.784327,97.304077,0,0,76.76895,0,0,3.03,3.57,3.78,0.96,0.96,0.1,2,2.18,1.62,0,1.85,7.95,1.94,0,9.33,0.24,1.78,0.82,0,20.73185,20.0018,40.669,147.515625,1.361689,1.318423,2.357553,1.332638,3.518162,4.26444,2.703866,1.857394,3.518163,5.277245,2.665275,3.487597,1.946241,1.9248,1.929632,4.228905,0.565842,348.975,0,0,0,0,0.02032,0,0,0.001107,0.022515

3,00:30-00:45,37.565989,667.076637,26.86,30.855471,691.093985,0,37.821177,4.276573,22.310403,13.1076,4.233846,22.966682,44.326064,27.350811,50.232,0,47.87486,21.51372,0,64.950987,122.432091,128.45129,18.108732,142.657056,1.095843,2.501308,27.411711,2.562,0,95.888555,0.663309,48.834339,36.022,0,3.734724,33.612518,6.22454,0,7.784327,97.304077,0,0,76.76895,0,0,3.03,3.57,3.78,0.96,0.96,0.1,2,2.18,1.62,0,1.85,7.95,1.94,0,9.33,0.24,1.78,0.82,0,20.73185,20.0018,40.669,147.515625,1.361689,1.318423,2.357553,1.332638,3.518162,4.26444,2.703866,1.857394,3.518163,5.277245,2.665275,3.487597,1.946241,1.9248,1.929632,4.228905,0.565842,348.975,0,0,0,0,0.02032,0,0,0.001107,0.022515

4,00:45-01:00,37.565989,667.076637,26.86,30.855471,691.093985,0,37.821177,4.276573,22.310403,13.1076,4.233846,22.966682,44.326064,27.350811,50.232,0,47.87486,21.51372,0,64.950987,122.432091,128.45129,18.108732,142.657056,1.095843,2.501308,27.411711,2.562,0,95.888555,0.663309,48.834339,36.022,0,3.734724,33.612518,6.22454,0,7.784327,97.304077,0,0,76.76895,0,0,3.03,3.57,3.78,0.96,0.96,0.1,2,2.18,1.62,0,1.85,7.95,1.94,0,9.33,0.24,1.78,0.82,0,20.73185,20.0018,40.669,147.515625,1.361689,1.318423,2.357553,1.332638,3.518162,4.26444,2.703866,1.857394,3.518163,5.277245,2.665275,3.487597,1.946241,1.9248,1.929632,4.228905,0.565842,348.975,0,0,0,0,0.02032,0,0,0.001107,0.022515

5,01:00-01:15,36.506751,667.076636,12.64,30.855471,494.573837,0,37.821177,4.276573,22.310403,13.1076,4.233846,22.966682,44.326064,27.350811,50.232,0,47.87486,0,0,64.950987,122.432091,128.45129,18.108732,142.657056,1.095843,2.501308,18.274474,2.562,0,95.888555,0,48.834339,36.022,0,3.734724,33.612518,6.22454,0,7.784327,97.304077,0,0,76.76895,0,0,3.03,3.57,3.78,0.96,0.96,0.1,2,2.18,1.62,0,1.85,7.95,1.94,0,9.33,0.24,1.78,0.82,0,20.73185,20.0018,40.669,147.515625,1.361689,1.318423,2.357553,1.332638,3.518162,4.26444,2.703866,1.857394,3.518163,5.277245,2.665275,3.487597,1.946241,1.9248,1.929632,4.228905,0.565842,348.975,0,0,0,0,0.02032,0,0,0.001107,0.022515

