Block,Time,RIHAND3,UNCHAHAR1,DADRI_CRF,ANTA_GF,KHSTPP-I,BRBCL,NJPC,DADRI_RF,SALAL,FSTPP I & II,ANTA_RF,NAPP,TANDA2,SASAN,TEHRI,SEWA2,DADRI_LF,AURY_CRF,JHAJJAR,UNCHAHAR3,KOTESHWR,KHSTPP-II,RIHAND1,TANAKPUR,TALA,RAMPUR,RAPPC,UNCHAHAR2,CHAMERA1,CHAMERA3,AURY_GF,SINGRAULI_HYDRO,DADRI_GF,BSIUL,URI2,UNCHAHAR4,RAPPB,DADRT2,KISHANGANGA,KOLDAM,SINGRAULI,ANTA_LF,DULHASTI,AURY_LF,CHAMERA2,PARBATI3,URI,AURY_RF,DHAULIGNGA,RIHAND2,ANTA_CRF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,119.226029,7.712800,0.000000,0.000000,12.533300,14.461500,0.000000,0.000000,2.240568,5.784600,0.000000,0.000000,0.000000,327.552975,0.000000,0.000000,0.000000,0.000000,114.727900,8.676900,0.000000,43.384500,88.697200,8.027579,0.000000,0.000000,52.118668,13.497400,0.000000,0.000000,0.000000,0.571740,0.000000,0.000000,23.863095,0.000000,0.000000,354.788800,0.000000,0.000000,118.945838,0.000000,15.887261,0.000000,0.000000,0.000000,38.317190,0.000000,0.000000,113.884312,0.000000,0,0,0,0,0

2,00:15-00:30,119.226030,7.712800,0.000000,0.000000,12.533300,14.461500,0.000000,0.000000,2.240568,5.784600,0.000000,0.000000,0.000000,327.552975,0.000000,0.000000,0.000000,0.000000,114.727900,8.676900,0.000000,43.384500,88.697200,8.027579,0.000000,0.000000,52.118668,13.497400,0.000000,0.000000,0.000000,0.571740,0.000000,0.000000,23.863095,0.000000,0.000000,354.788800,0.000000,0.000000,118.945838,0.000000,15.887261,0.000000,0.000000,0.000000,38.317190,0.000000,0.000000,113.884312,0.000000,0,0,0,0,0

3,00:30-00:45,119.226030,7.712800,0.000000,0.000000,12.533300,14.461500,0.000000,0.000000,14.563695,5.784600,0.000000,0.000000,0.000000,327.552975,0.000000,0.000000,0.000000,0.000000,114.727900,8.676900,0.000000,43.384500,88.697200,8.027579,0.000000,0.000000,52.118668,13.497400,0.000000,0.000000,0.000000,0.571740,0.000000,0.000000,23.863095,0.000000,0.000000,354.788800,0.000000,0.000000,118.945838,0.000000,0.000000,0.000000,0.000000,0.000000,8.514931,0.000000,0.000000,113.884312,0.000000,0,0,0,0,0

4,00:45-01:00,119.226030,7.712800,0.000000,0.000000,12.533300,13.469441,0.000000,0.000000,68.337336,5.784600,0.000000,0.000000,0.000000,327.552975,0.000000,0.000000,0.000000,0.000000,114.727900,8.676900,0.000000,43.384500,88.697200,8.027579,0.000000,0.000000,52.118668,13.497400,0.000000,0.000000,0.000000,0.571740,0.000000,0.000000,23.863095,0.000000,0.000000,354.788800,0.000000,0.000000,118.945838,0.000000,0.000000,0.000000,0.000000,0.000000,5.321832,0.000000,0.000000,113.884312,0.000000,0,0,0,0,0

5,01:00-01:15,119.226030,7.712800,0.000000,0.000000,12.533300,12.427249,0.000000,0.000000,68.337336,5.784600,0.000000,0.000000,0.000000,327.552975,0.000000,0.000000,0.000000,0.000000,114.727900,8.676900,0.000000,43.384500,88.697200,8.027579,0.000000,0.000000,52.118668,13.497400,0.000000,0.000000,0.000000,0.571740,0.000000,0.000000,23.863095,0.000000,0.000000,354.788800,0.000000,0.000000,118.945838,0.000000,0.000000,0.000000,0.000000,0.000000,5.321832,0.000000,0.000000,113.884312,0.000000,0,0,0,0,0

