Block,Time,AURY_GF,DADRI_RF,ANTA_RF,RAPPB,KOTESHWR,UNCHAHAR4,PARBATI3,ANTA_LF,RIHAND1,TANDA2,TEHRI,DADRI_GF,ANTA_GF,TANAKPUR,RIHAND3,NAPP,DULHASTI,DHAULIGNGA,SALAL,BSIUL,SEWA2,RAPPC,UNCHAHAR1,KOLDAM,AURY_CRF,DADRI_LF,KISHANGANGA,DADRI_CRF,AURY_RF,AURY_LF,RIHAND2,CHAMERA2,CHAMERA3,SINGRAULI_HYDRO,URI,ANTA_CRF,URI2,UNCHAHAR2,NJPC,JHAJJAR,CHAMERA1,UNCHAHAR3,SINGRAULI,RAMPUR,DADRT2,TALA,KHSTPP-II,RSTPSU1TO6,KAWAS-ComGas,KAWAS-APM,SIMHST2,KAWAS-NAPM,KSTPS I&II,NTPL,SIPAT II,TALST2,GADARWARA-I,GANDHAR-NAPM,KAWAS-zLIQ,RSTPSU7,VSTPS III,NNTPP,VSTPS II,LARA-I,KSTPS7,NLCIIST1,VSTPS IV,KUDGI,VSTPS V,KHSTPP-I,NLCEXP,KAWAS-RLNG,FSTPP I & II,KKNP,GANDHAR-ComGas,KAPS,NLCTS2EXP,SIPAT I,MOUDA_II,NLCIIST2,SASAN,GANDHAR-RLNG,MAPS,GANDHAR-APM,BRBCL,KGSU1AND2,KGSU3AND4,TAPS-II,KHARGONE-I,SOLAPUR,VALLURNTECL,MOUDA,VSTPS I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,0.000000,8.812865,0.000000,0.000000,0.000000,88.463445,3.944705,47.393271,0.000000,0.000000,5.806965,123.890121,45.811718,54.905879,0.000000,60.520446,12.642280,17.465872,62.950813,21.643380,0.000000,0.000000,0.000000,6.187132,0.000000,0.000000,0.000000,118.083735,29.760103,21.518384,1.077265,45.786744,0.000000,36.083902,42.752489,20.749983,641.237794,40.651823,26.379075,141.984045,0.639762,510.605143,0.000000,142.278820,7.67,0.000000,0.000000,1.78,0.000000,2.447618,3.65,1.791457,0.00,2.056526,0.000000,0.000000,1.87,1.877149,0.19,1.861130,4.078779,1.285329,0.87,2.570658,0.00,1.271619,44.751913,1.69,0.000000,19.994085,1.32,0.000000,1.099695,0.00,5.089903,3.363787,1.28,330.944062,0.000000,0.23,0.000000,14.467514,1.94,2.10,1.299725,3.393268,1.696634,0.00,1.856470,2.242852,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,0.000000,8.812865,0.000000,0.000000,0.000000,88.463445,3.944705,47.393271,0.000000,0.000000,5.806965,123.890121,45.811718,54.905879,0.000000,80.693928,12.642280,17.465872,62.950813,21.643380,0.000000,0.000000,0.000000,6.187132,0.000000,0.000000,0.000000,118.083735,29.760103,21.518384,1.077265,45.786744,0.000000,36.083902,42.752489,20.749983,641.237794,40.651823,26.379075,141.984045,0.639762,486.492643,0.000000,142.278820,7.67,0.000000,0.000000,1.78,0.000000,2.447618,3.65,1.791457,0.00,2.056526,0.000000,0.000000,1.87,1.877149,0.19,1.861130,4.078779,1.285329,0.87,2.570658,0.00,1.271619,44.751913,1.69,0.000000,19.994085,1.34,0.000000,1.099695,0.00,5.089903,3.363787,1.28,330.944062,0.000000,0.23,0.000000,14.467514,1.94,2.10,1.299725,3.393268,1.696634,0.00,1.856470,2.242852,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,0.000000,8.812865,0.000000,0.000000,0.000000,88.463445,3.944705,47.393271,0.000000,0.000000,5.806965,123.890121,45.811718,54.905879,0.000000,80.693928,12.642280,17.465872,62.950813,21.643380,0.000000,0.000000,0.000000,6.187132,0.000000,0.000000,0.000000,118.083735,29.760103,21.518384,1.077265,12.777696,0.000000,35.210761,42.752489,20.749983,641.237794,40.651823,26.379075,141.984045,0.639762,462.380143,0.000000,142.278820,7.67,0.000000,0.000000,1.78,0.000000,2.447618,3.65,1.791457,0.00,2.056526,0.000000,0.000000,1.87,1.877149,0.19,1.861130,4.078779,1.285329,0.93,2.570658,0.00,1.271619,44.751913,1.69,0.000000,19.994085,1.35,0.000000,1.099695,0.00,5.089903,3.363787,1.28,330.944062,0.000000,0.23,0.000000,14.467514,1.94,2.10,1.299725,3.393268,1.696634,0.00,1.856470,2.232517,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,0.000000,8.812865,0.000000,0.000000,0.000000,88.463445,3.944705,47.393271,0.000000,0.000000,5.806965,123.890121,45.811718,36.478524,0.000000,80.693928,12.642280,17.465872,62.950813,18.079552,0.000000,0.000000,0.000000,6.187132,0.000000,0.000000,0.000000,118.083735,29.760103,21.518384,1.077265,4.259232,0.000000,35.210761,42.752489,20.749983,532.731544,40.651823,22.429640,141.984045,0.639762,395.632514,0.000000,142.278820,7.67,0.000000,0.000000,1.78,0.000000,2.447618,3.65,1.791457,0.00,2.056526,0.000000,0.000000,1.87,1.877149,0.19,1.861130,4.078779,1.285329,0.94,2.570658,0.00,1.271619,44.751913,1.69,0.000000,19.994085,1.37,0.000000,1.099695,0.00,5.089903,3.363787,1.28,330.944062,0.000000,0.23,0.000000,14.467514,1.94,2.10,1.299725,3.393268,1.696634,0.00,1.856470,2.232517,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,0.000000,8.812865,0.000000,0.000000,0.000000,88.463445,3.944705,47.393271,0.000000,0.000000,0.000000,123.890121,45.811718,36.478524,0.000000,80.693928,12.642280,17.465872,62.950813,18.079552,0.000000,0.000000,0.000000,6.187132,0.000000,0.000000,0.000000,118.083735,29.760103,21.518384,1.077265,4.259232,0.000000,35.210761,42.752489,0.000000,464.259953,40.651823,22.429640,141.984045,0.000000,395.445000,0.000000,142.278820,7.67,0.000000,0.000000,1.78,0.000000,2.447618,3.65,1.791457,0.00,2.056526,0.000000,0.000000,1.87,1.877149,0.19,1.861130,4.078779,1.285329,0.94,2.570658,0.00,1.271619,44.751913,1.69,0.000000,19.994085,1.38,0.000000,1.099695,0.00,5.089903,3.363787,1.28,330.944062,0.000000,0.23,0.000000,14.467514,1.94,2.10,1.299725,3.393268,1.696634,0.00,1.856470,2.232517,0,0,0,0,0

