Block,Time,NAPP,RAPPB,AURY_CRF,UNCHAHAR3,KOTESHWR,ANTA_CRF,PARBATI3,RIHAND1,SINGRAULI,DADRI_RF,AURY_LF,ANTA_RF,NJPC,DADRI_LF,RAPPC,JHAJJAR,SEWA2,KOLDAM,UNCHAHAR4,RAMPUR,AURY_GF,UNCHAHAR2,ANTA_GF,DADRI_CRF,RIHAND2,SINGRAULI_HYDRO,CHAMERA2,CHAMERA1,KISHANGANGA,DULHASTI,TEHRI,BSIUL,TANDA2,ANTA_LF,RIHAND3,AURY_RF,SALAL,DADRI_GF,UNCHAHAR1,URI2,DHAULIGNGA,URI,DADRT2,CHAMERA3,TANAKPUR,SASAN,TALA,KHSTPP-II,BRBCL,KHSTPP-I,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,20.913533,0.000000,0.000000,17.845021,8.707445,0.000000,0.000000,88.310800,133.723669,0.000000,0.000000,0.000000,0.000000,0.000000,52.257052,230.648036,0.000000,0.000000,0.000000,0.000000,0.000000,28.430030,0.000000,0.000000,56.691694,0.844693,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,118.706633,0.000000,1.338485,0.000000,9.251516,4.519401,0.000000,2.119459,493.727459,0.000000,0.000000,331.525462,0.000000,112.558738,17.896229,35.674204,10.659306,0,0,0,0,0

2,00:15-00:30,20.913533,0.000000,0.000000,17.845021,8.707445,0.000000,0.000000,88.310800,133.723669,0.000000,0.000000,0.000000,0.000000,0.000000,52.257052,230.648036,0.000000,0.000000,0.000000,0.000000,0.000000,28.430030,0.000000,0.000000,56.691694,0.844693,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,118.706633,0.000000,1.338485,0.000000,9.251516,4.519401,0.000000,2.119459,414.676800,0.000000,0.000000,331.525462,0.000000,112.558738,16.148750,35.674204,10.659306,0,0,0,0,0

3,00:30-00:45,20.913533,0.000000,0.000000,17.845021,8.707445,0.000000,0.000000,88.310800,133.723669,0.000000,0.000000,0.000000,0.000000,0.000000,52.257052,230.648036,0.000000,0.000000,0.000000,0.000000,0.000000,28.430030,0.000000,0.000000,56.691694,0.844693,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,118.706633,0.000000,1.338485,0.000000,9.251516,8.005796,0.000000,25.433510,337.884800,0.000000,0.000000,331.525462,0.000000,112.558738,15.536709,35.674204,10.659306,0,0,0,0,0

4,00:45-01:00,20.913533,0.000000,0.000000,17.845021,8.707445,0.000000,0.000000,88.310800,133.723669,0.000000,0.000000,0.000000,0.000000,0.000000,52.257052,230.648036,0.000000,0.000000,0.000000,0.000000,0.000000,28.430030,0.000000,0.000000,56.691694,0.844693,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,118.706633,0.000000,1.338485,0.000000,9.251516,8.005796,0.000000,25.433510,337.884800,0.000000,0.000000,331.525462,0.000000,112.558738,14.275515,35.674204,10.659306,0,0,0,0,0

5,01:00-01:15,20.913533,0.000000,0.000000,17.845021,8.707445,0.000000,0.000000,88.310800,133.723669,0.000000,0.000000,0.000000,0.000000,0.000000,52.257052,230.648036,0.000000,0.000000,0.000000,0.000000,0.000000,28.430030,0.000000,0.000000,56.691694,0.844693,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,118.706633,0.000000,1.338485,0.000000,9.251516,4.519401,0.000000,2.649324,337.884800,0.000000,0.000000,331.525462,0.000000,112.558738,13.306777,35.674204,10.659306,0,0,0,0,0

