Block,Time,DADRI_RF,AURY_GF,NAPP,TANDA2,DADRI_GF,UNCHAHAR1,SINGRAULI,DADRI_LF,UNCHAHAR2,PARBATI3,RIHAND1,SEWA2,UNCHAHAR4,SINGRAULI_HYDRO,DADRI_CRF,AURY_RF,TEHRI,BSIUL,URI2,KOTESHWR,DHAULIGNGA,RIHAND2,URI,RAPPB,CHAMERA3,KOLDAM,SALAL,CHAMERA2,DADRT2,NJPC,AURY_LF,DULHASTI,TANAKPUR,RIHAND3,AURY_CRF,RAPPC,RAMPUR,UNCHAHAR3,CHAMERA1,JHAJJAR,ANTA_RF,KISHANGANGA,ANTA_LF,ANTA_GF,ANTA_CRF,FSTPP I & II,TALA,SASAN,KHSTPP-II,KHSTPP-I,BRBCL,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
14,03:15-03:30,0.000000,0.000000,37.993630,0.000000,0.000000,11.340818,134.670977,0.000000,21.215295,0.000000,88.936400,0.000000,0.000000,1.054099,0.000000,0.000000,29.233008,6.335558,9.753036,9.531662,17.622748,114.191438,11.739605,0.000000,18.711136,0.000000,73.014851,38.194433,362.080593,113.059915,0.000000,47.790319,7.925393,119.547560,0.000000,49.437715,0.000000,12.794953,0.000000,407.947400,0.000000,0.000000,0.000000,0.000000,0.000000,8.715381,19.894686,403.476412,72.646635,29.988097,18.934020,48.34,0,0,0,0,0

15,03:30-03:45,0.000000,0.000000,37.993630,0.000000,0.000000,11.340818,122.560449,0.000000,21.215295,0.000000,61.120188,0.000000,0.000000,1.054099,0.000000,0.000000,29.233008,6.335558,9.753036,9.531662,17.622748,93.042265,11.739605,0.000000,18.711136,0.000000,73.014851,38.194433,362.080593,113.059915,0.000000,47.790319,7.925393,87.373439,0.000000,49.437715,0.000000,12.794953,0.000000,369.279400,0.000000,0.000000,0.000000,0.000000,0.000000,8.715381,19.894686,403.476412,72.646635,29.988097,19.334041,48.34,0,0,0,0,0

16,03:45-04:00,0.000000,0.000000,37.993630,0.000000,0.000000,11.340818,122.560449,0.000000,21.215295,0.000000,61.120188,0.000000,0.000000,1.054099,0.000000,0.000000,29.233008,6.335558,9.753036,9.531662,17.622748,93.042265,11.739605,0.000000,18.711136,0.000000,73.014851,38.194433,362.080593,113.059915,0.000000,47.790319,7.925393,87.373439,0.000000,49.437715,0.000000,12.794953,0.000000,359.612400,0.000000,0.000000,0.000000,0.000000,0.000000,8.715381,19.894686,403.476412,72.646635,29.988097,19.334041,48.34,0,0,0,0,0

17,04:00-04:15,0.000000,0.000000,37.993630,0.000000,0.000000,11.340818,122.560449,0.000000,21.215295,0.000000,61.120188,0.000000,0.000000,1.054099,0.000000,0.000000,16.139056,6.335558,9.753036,9.531662,17.622748,93.042265,11.739605,0.000000,18.711136,0.000000,73.014851,38.194433,362.080593,113.059915,0.000000,47.790319,7.925393,87.373439,0.000000,49.437715,0.000000,12.794953,0.000000,328.678000,0.000000,0.000000,0.000000,0.000000,0.000000,8.715381,19.894686,403.476412,72.646635,29.988097,19.334041,43.50,0,0,0,0,0

18,04:15-04:30,0.000000,0.000000,37.993630,0.000000,0.000000,11.340818,122.560449,0.000000,18.142156,0.000000,61.120188,0.000000,0.000000,1.054099,0.000000,0.000000,16.139056,6.335558,9.753036,9.531662,17.622748,93.042265,11.739605,0.000000,18.711136,0.000000,73.014851,38.194433,361.474386,113.059915,0.000000,47.790319,7.925393,87.373439,0.000000,49.437715,0.000000,12.794953,0.000000,328.678000,0.000000,0.000000,0.000000,0.000000,0.000000,8.715381,19.894686,403.476412,72.646635,29.988097,19.334041,43.50,0,0,0,0,0

